run,n_steps,observed_delta,bootstrap_mean,bootstrap_std,ci_lo_95,ci_hi_95,ci_lo_99,ci_hi_99,pr_delta_gt_0,z_score_vs_zero
K10A,11429,0.17623161245515961,0.18861616654786847,0.21940861601735617,-0.23230833165873924,0.5988138609421342,-0.351039998267719,0.7493662684751559,0.807,0.8032119050439465
K10B,11429,0.2902832641131362,0.29896148506998055,0.19981829133018286,-0.09711398953769594,0.6964458853821096,-0.1998648069094598,0.838790535752084,0.934,1.4527361943657844
K10C,11429,0.45977004799456733,0.4609965237939359,0.24098573217951186,0.00470128973343522,0.973031277778003,-0.09795110784875634,1.1335569355455701,0.975,1.907872486202518
