domain,total_contribution,contribution_share_of_total_return
best-of-2025,0.2001547639177882,0.4269990137955185
colombia-election,0.14193064936747152,0.3027869340754764
serie-a,0.09042235049108663,0.19290200107665453
nba-champion,0.0759959121397298,0.16212544183801753
taylor-swift,0.06198498506886905,0.13223531119853
new-mexico-primary,-0.05152036612278224,-0.1099106765894816
ufc,-0.044805097849677,-0.09558469766266456
airdrops,0.04336156791126997,0.09250515137548611
primaries,-0.04203580077986531,-0.08967683369494953
uefa-europa-league,0.04070845369078334,0.08684514542079408
roland-garros,-0.039019877846553405,-0.0832428318605669
la-liga,-0.03317114412784576,-0.07076546943882336
nba,-0.03301574117043723,-0.07043394143391608
ligue-1,0.02603203244507314,0.05553528661303724
trump,0.020445906184814178,0.04361815630157708
prediction-markets,0.005434825171293983,0.011594353003992369
south-dakota-primary,0.004021913065100361,0.00858012509297332
fifa-world-cup,0.001822270782930513,0.003887530888344568
