domain,total_contribution,contribution_share_of_total_return
felix,0.11409549317794812,0.7465340359787049
best-of-2025,0.07529842176998093,0.49268234126565147
colombia-election,0.06801764210802504,0.4450437389447482
claude-5,-0.04763232793127353,-0.31166133756164477
epstein,-0.029358950172956345,-0.19209746988455903
fifa-world-cup,0.025012769061581352,0.16366013168830953
congress,-0.02025354969463596,-0.1325202580337693
economic-policy,-0.017066119522118416,-0.11166470059839703
2026-fifa-world-cup,-0.014146130681037903,-0.09255902872803842
california-midterm,-0.012417866811156274,-0.08125088879996391
comex-silver-futures,0.007719884689587471,0.05051169431924437
bernie-sanders,-0.007122437181649786,-0.046602557446585285
2025-predictions,-0.00530608456056888,-0.03471804724195169
fdv,0.004684050758990345,0.030648040693285028
extended,0.004536691180439136,0.029683857640547085
acquisitions,-0.00446766581872533,-0.02923222032841654
brazil,0.004433825511146907,0.029010801053284612
abraham-accords,0.0041181182312252105,0.026945108331309902
airdrops,0.003522745183731935,0.023049544784685953
elon-musk,0.0034444438001858093,0.022537213874382272
base,0.0033306499870034492,0.02179265374971599
foreign-policy,-0.003108471721917692,-0.020338927293732937
business,-0.0023656746832915604,-0.015478759238770958
connecticut-primary,-0.0023582255268748955,-0.015430018936682983
bitcoin,-0.002160672786349576,-0.014137418847098333
big-tech,-0.0019171454075187638,-0.012544003788132455
colorado-midterm,0.0015116101957730003,0.009890561220651998
comex-gold-futures,0.0011983784915261262,0.007841066347062177
celebrities,0.00115365917607857,0.007548465034622946
democratic-primary,0.0007659124024157235,0.0050114133438188
anthropic,-0.0003457365514780745,-0.002262176147113333
crypto-prices,-0.00018557080221867086,-0.0012142015085911018
commodities,0.0001709609185745563,0.0011186081148624866
bundesliga,3.09851806037415e-05,0.00020273799856023567
basketball,0.0,0.0
delaware-midterm,0.0,0.0
champions-league,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
climate-science,0.0,0.0
