label,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,2025-predictions::16201530957950630406397949502319734794139620443510795733205872225099141120819,climate-science::106675477628507501040585426713979928715996831915977868937330396914038840931958,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,foreign-policy::94559586571241563470235664821564670251180951772614764383113614156422396181162,connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,1.0,0.09808682709829734,-0.0002631106094337796,-0.00011032895710376512,-0.10320397189983466,-1.9178246449361842e-05,0.00034665352713087534,2.5687042091581614e-06,0.0003018448616027713,0.0004267418019734442,0.0003018448616027719,0.0001978757733731701,-0.00016972726605434755,-7.057954970583341e-05,0.00011349807134909093,-0.00038938000066306345,-0.00010982585567518349,-0.0001294159816329386,0.0003294385872987241,6.14482217746406e-05
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,0.09808682709829734,1.0,-0.0011549322642983627,-3.386271935427499e-05,0.08423938955828165,-5.886284020713904e-06,0.00010639664699597207,7.883996370689872e-07,9.264374562493068e-05,0.00013097774379734116,9.264374562493086e-05,6.073302926668657e-05,-5.209354758752439e-05,0.0005631617850863453,3.483539986452865e-05,-0.00011951047150948953,-0.015762673805692788,-3.9721005083665817e-05,0.00010111295093339616,1.8859997804720173e-05
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,-0.0002631106094337796,-0.0011549322642983627,1.0,-0.00015208145958370108,0.0018007906556356127,-2.6435994582382286e-05,0.00047783986869666606,3.540795595482498e-06,0.0004160739693860909,0.0005882364685860554,0.00041607396938609216,0.0002727591850845034,-0.0002339582556592134,-9.728942625577542e-05,0.1911245571151843,-0.0005367355985958249,0.7555009833477128,-0.00017839171054326503,0.00045411016758241623,8.470247069880139e-05
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-0.0001103289571037651,-3.386271935427499e-05,-0.00015208145958370108,1.0,7.433346518901775e-05,-1.1085283556417345e-05,0.00020037038601126127,1.4847454696264063e-06,0.00017447037661909697,0.00024666248255502575,0.00017447037661909724,0.00011437484978507073,-9.810463518839282e-05,-4.0795925938232106e-05,6.560340682517973e-05,-0.00022506686051535266,-6.348081693496008e-05,-7.480417236899344e-05,0.0001904199200002008,3.551789597698934e-05
congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,-0.10320397189983466,0.08423938955828165,0.0018007906556356125,7.433346518901774e-05,1.0,1.292122713975662e-05,-0.00023355570983416831,-1.7306488697481786e-06,-0.00020336614340812952,-0.0002875146989004766,-0.00020336614340812965,-0.00013331760127081887,0.00011435271531672804,-0.07533870638816159,-7.646863667635424e-05,0.0002623424120411664,-0.02017244813098203,8.719323211373396e-05,-0.00022195724861114876,-4.140036645063524e-05
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-1.9178246449361846e-05,-5.886284020713904e-06,-2.6435994582382283e-05,-1.1085283556417345e-05,1.292122713975662e-05,1.0,3.482995529871594e-05,2.5809012682216997e-07,3.0327812106181246e-05,4.287681135064691e-05,3.0327812106181276e-05,1.9881535313741683e-05,-1.7053318737514207e-05,-7.091468480368552e-06,1.1403699781443186e-05,-3.9122890597868127e-05,-1.1034734524324261e-05,-1.3003049161281083e-05,3.310028709142322e-05,6.173999830061447e-06
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.00034665352713087534,0.00010639664699597207,0.000477839868696666,0.00020037038601126124,-0.0002335557098341683,3.4829955298715934e-05,1.0,-4.665069510745881e-06,-0.0005481858346397637,-0.000775013394789361,-0.0005481858346397663,-0.00035936571987868205,0.00030824471388740405,0.0001281807785580498,-0.0002061258708931964,0.0007071599613195149,0.00019945669453720375,0.00023503467155435156,-0.0005982992918347538,-0.00011159721110307774
epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,2.5687042091581614e-06,7.883996370689872e-07,3.5407955954824978e-06,1.4847454696264063e-06,-1.7306488697481788e-06,2.5809012682216997e-07,-4.665069510745881e-06,1.0,-4.062059522353535e-06,-5.742852772404683e-06,-4.062059522353543e-06,-2.662901615102733e-06,2.2840947287244938e-06,9.498201508010557e-07,-1.5273936387193505e-06,-0.0064340096212971085,1.4779750116583368e-06,1.7416079828062218e-06,-4.433400467581131e-06,-8.26935840702178e-07
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.00030184486160277123,9.264374562493067e-05,0.00041607396938609086,0.00017447037661909694,-0.00020336614340812955,3.032781210618125e-05,-0.0005481858346397637,-4.0620595223535346e-06,0.9999999999999998,-0.0006748346478014393,-0.00047732696897374703,-0.00031291386785921283,0.0002684007971106032,0.000111612045849408,-0.0001794819036963565,0.0006157519942813805,0.00017367478951280774,0.00020465393355247985,-0.000520962727353743,-9.717208135587718e-05
crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,0.00042674180197344426,0.00013097774379734113,0.0005882364685860554,0.00024666248255502575,-0.0002875146989004766,4.287681135064692e-05,-0.000775013394789361,-5.742852772404683e-06,-0.0006748346478014393,1.0,-0.0006748346478014416,-0.00044239092599975753,0.0003794592997273513,0.00015779472048922836,-0.00025374767222575387,0.0008705369845062387,0.0002455376985399517,0.00028933534903129415,-0.0007365259486328534,-0.00013737980788915027
california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,0.00030184486160277183,9.264374562493086e-05,0.0004160739693860922,0.00017447037661909724,-0.00020336614340812963,3.0327812106181273e-05,-0.0005481858346397665,-4.062059522353543e-06,-0.0004773269689737471,-0.0006748346478014415,1.0,-0.0003129138678592117,0.0002684007971106042,0.0001116120458494082,-0.00017948190369635684,0.0006157519942813804,0.00017367478951280853,0.00020465393355247993,-0.0005209627273537438,-9.717208135587628e-05
bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,0.00019787577337317014,6.0733029266686564e-05,0.0002727591850845034,0.00011437484978507073,-0.0001333176012708189,1.9881535313741683e-05,-0.00035936571987868205,-2.6629016151027332e-06,-0.00031291386785921283,-0.0004423909259997576,-0.0003129138678592117,1.0,0.00017595136461898787,7.316778484464636e-05,0.006709950499758713,0.00040365902347162466,0.00011385329903510459,0.00013416181796347437,-0.0003415194879460342,-6.370160037337065e-05
comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,-0.00016972726605434755,-5.209354758752439e-05,-0.00023395825565921346,-9.810463518839283e-05,0.00011435271531672804,-1.7053318737514207e-05,0.00030824471388740405,2.284094728724494e-06,0.00026840079711060324,0.00037945929972735124,0.0002684007971106042,0.00017595136461898787,1.0,-6.27594165431986e-05,0.00010092261520986884,-0.0003462371431534502,-9.76572768211146e-05,-0.00011507683928985831,0.0002929371696455462,5.463982927444538e-05
2025-predictions::16201530957950630406397949502319734794139620443510795733205872225099141120819,-7.057954970583343e-05,0.0005631617850863454,-9.728942625577541e-05,-4.0795925938232106e-05,-0.07533870638816159,-7.0914684803685515e-06,0.0001281807785580498,9.498201508010557e-07,0.000111612045849408,0.00015779472048922834,0.00011161204584940823,7.316778484464634e-05,-6.27594165431986e-05,1.0,4.1967757463121536e-05,-0.00014397958691786774,-4.0609896004130486e-05,-4.7853663630260964e-05,0.00012181527462454424,2.2721479205108027e-05
climate-science::106675477628507501040585426713979928715996831915977868937330396914038840931958,0.00011349807134909093,3.483539986452865e-05,0.1911245571151843,6.560340682517973e-05,-7.646863667635424e-05,1.1403699781443188e-05,-0.00020612587089319644,-1.5273936387193505e-06,-0.0001794819036963565,-0.00025374767222575387,-0.00017948190369635684,0.006709950499758713,0.00010092261520986884,4.1967757463121536e-05,1.0,0.00023153173259005081,0.09108413454286395,7.695286455722243e-05,-0.00019588958541632285,-3.653812015983022e-05
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.0003893800006630635,-0.00011951047150948955,-0.0005367355985958249,-0.0002250668605153527,0.0002623424120411664,-3.9122890597868127e-05,0.0007071599613195149,-0.0064340096212971085,0.0006157519942813805,0.0008705369845062386,0.0006157519942813805,0.0004036590234716246,-0.0003462371431534502,-0.0001439795869178677,0.00023153173259005081,1.0,-0.00022404055280772386,-0.0002640036618785763,0.013562061105768264,0.0001253520265406273
fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,-0.00010982585567518349,-0.01576267380569279,0.7555009833477128,-6.348081693496006e-05,-0.020172448130982033,-1.1034734524324261e-05,0.00019945669453720375,1.4779750116583368e-06,0.00017367478951280774,0.0002455376985399517,0.00017367478951280856,0.00011385329903510458,-9.76572768211146e-05,-4.0609896004130486e-05,0.09108413454286395,-0.00022404055280772386,1.0,-7.446306440450096e-05,0.00018955160277598967,3.53559339257267e-05
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-0.0001294159816329386,-3.9721005083665817e-05,-0.00017839171054326503,-7.480417236899344e-05,8.719323211373396e-05,-1.3003049161281082e-05,0.00023503467155435158,1.7416079828062218e-06,0.00020465393355247985,0.00028933534903129415,0.00020465393355247996,0.0001341618179634744,-0.00011507683928985832,-4.7853663630260964e-05,7.695286455722243e-05,-0.00026400366187857627,-7.446306440450096e-05,1.0,0.0002233627645561249,4.166252898661616e-05
