label,best-of-2025::46551195771960533081545368009925141952498658652959429196677286705276507790996,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,champions-league::76184513907290761912636659055080401703643418316153242056949287928791438454394,connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,business::50967548204329017987830198881678379324925229642745345006556239550086450305683,bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,climate-science::93766990226491733942214251921024942451432775407674989883724893659074859142435,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,fifa-world-cup::76641034721053425080952855862174690067662519247667787282293691334146019135577,brazil::89033597404049535329336367676897002196779443515433514040396661411543836790585,base::22056280440419108399189383402666130126211471357531451866320292446775191982898
best-of-2025::46551195771960533081545368009925141952498658652959429196677286705276507790996,1.0,-0.0002535665899150058,-0.0002442187648982188,0.0002477406541990118,-0.00037335978113643204,0.0003061855532097214,-0.00010956988239780644,-0.0004797649355492986,-0.006540767418252041,1.180950060452556e-05,0.003408959543870403,0.00029079565371268104,0.00018825651796296398,0.00025753058120978246,-5.461480581670868e-05,2.4667751315404336e-06,-4.256474939777281e-05,0.0012665328085950782,0.0001719146573357625,-0.00033943085716563843
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.00025356658991500583,1.0,-5.450931463153557e-05,5.529539579968304e-05,-8.333342357705033e-05,6.834022218765671e-05,-2.445585701103405e-05,-0.00010708291736687303,8.167346962202335e-06,2.6358653658798352e-06,5.790296573837283e-06,6.490521638791302e-05,4.201861299788935e-05,5.748049493353717e-05,-1.2189954506747142e-05,5.505810408382054e-07,-9.50039739207826e-06,-7.496957209246777e-05,3.8371130696665203e-05,-7.57605313277409e-05
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,-0.0002442187648982188,-5.450931463153557e-05,1.0,5.325691082284623e-05,0.0015611282275462413,6.582083491809452e-05,-2.3554282903612187e-05,-0.00010313526647892316,7.866254731243085e-06,2.538693225748174e-06,5.576835174266509e-06,6.251246186266332e-05,4.046958147175742e-05,5.5361455478469185e-05,-1.174056737837926e-05,5.302836695288325e-07,-0.008692902930734606,-7.220579141560875e-05,3.695656493873443e-05,-7.296759164957777e-05
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,0.0002477406541990118,5.529539579968304e-05,5.325691082284622e-05,1.0,0.002707798325138012,-6.677004000625929e-05,2.389396022931205e-05,0.00010462258458774178,-7.979694328675148e-06,-2.57530382982405e-06,-5.657258953908831e-06,-6.341395676086519e-05,-4.105319504482782e-05,-5.615982540637683e-05,1.1909878604945152e-05,-5.379309131127174e-07,9.282116645778433e-06,7.324707423573904e-05,0.019577912073080798,7.401986042360846e-05
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,-0.000373359781136432,-8.333342357705033e-05,0.0015611282275462413,0.0027077983251380124,0.9999999999999999,0.008994486435867274,-3.6009607670333324e-05,-0.0001576724070980637,1.202587010889316e-05,3.881134799502048e-06,8.525822988933538e-06,9.556857389345655e-05,6.18695868324256e-05,8.463616999066515e-05,-1.794888967125803e-05,8.106936208554644e-07,0.005494072398794501,-0.0001103876620248677,5.649891400782293e-05,-0.00011155229639988148
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.0003061855532097214,6.834022218765671e-05,6.582083491809452e-05,-6.677004000625928e-05,0.008994486435867276,0.9999999999999999,2.953082308931889e-05,0.00012930426798056215,-9.862196942885651e-06,-3.182847927673153e-06,-6.9918720770865915e-06,-7.837404601525403e-05,-5.0738120783879515e-05,-6.940858078303226e-05,1.471955735769644e-05,-6.64835066136276e-07,1.1471875818420446e-05,9.052691016084813e-05,-4.633372986393393e-05,9.148200559002088e-05
epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,-0.00010956988239780643,-2.445585701103405e-05,-2.3554282903612187e-05,2.389396022931205e-05,-3.600960767033332e-05,2.9530823089318887e-05,1.0,-4.6272116001695744e-05,3.5292316959046586e-06,1.1389964989186534e-06,2.5020729854687733e-06,2.804650616239083e-05,0.00015655750827514114,2.483817395716986e-05,-5.267460047423406e-06,2.379142296129312e-07,-4.105262547921523e-06,-3.239546345730793e-05,1.6580734391362935e-05,-3.2737248668123746e-05
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-0.00047976493554929866,-0.00010708291736687302,-0.00010313526647892316,0.0001046225845877418,-0.0001576724070980637,0.00012930426798056212,-4.627211600169574e-05,1.0,1.5453166327011106e-05,-0.01615751707690851,1.0955628119183098e-05,0.0001228050074246724,7.950202415689347e-05,0.00010875693819273978,-2.3064208657135706e-05,1.0417361280219205e-06,-1.7975386836374704e-05,-0.00014184744108108974,7.260074385907852e-05,-0.00014334398881894864
bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,-0.00654076741825204,8.167346962202335e-06,7.866254731243086e-06,-7.979694328675148e-06,1.2025870108893159e-05,-9.86219694288565e-06,3.5292316959046586e-06,1.5453166327011106e-05,1.0,-3.8038248224949893e-07,-0.07227095614566728,-9.366490276846976e-06,-6.06371801827315e-06,-8.295026607500316e-06,1.7591358093662179e-06,-7.945450693532717e-08,1.3710050555448638e-06,-0.026987296003646674,-5.5373488077423795e-06,1.0933023869898485e-05
champions-league::76184513907290761912636659055080401703643418316153242056949287928791438454394,1.180950060452556e-05,2.6358653658798356e-06,2.538693225748174e-06,-2.57530382982405e-06,3.881134799502048e-06,-3.182847927673153e-06,1.1389964989186534e-06,-0.01615751707690851,-3.803824822494989e-07,1.0,-2.696747663484859e-07,-3.0228674543692354e-06,-1.956956694357128e-06,-2.677071691083135e-06,5.677296648770434e-07,-2.564252308162421e-08,4.42467395970745e-07,3.491600400680999e-06,-1.7870804324425137e-06,3.528438193744029e-06
