token_id,domain,question,market_id,market_slug,mean_weight,total_contribution,mean_step_contribution,contribution_share_of_total_return
43730668550917761725713780192382120243054780302570603837017194778854370301083,best-of-2025,Will James rank #1 among boy names on the SSA’s official list for 2025?,651486,will-james-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,0.024999999999999137,0.13273601398601406,6.9025488292259e-05,0.4708470615397428
94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,Felix Protocol FDV above $300M one day after launch?,716905,felix-protocol-fdv-above-300m-one-day-after-launch-953-129,0.024999999999999137,0.08480598962609212,4.410087864071353e-05,0.30082755852999127
36553834009124167357981460132800746681781045509640776189348736916365216865880,colombia-election,Will Daniel Quintero win the 2026 Colombian presidential election?,569369,will-daniel-quintero-win-the-2026-colombian-presidential-election,0.024999999999999137,0.03333333333333334,1.733402669440111e-05,0.11824147478903865
57301498276970257025109591078431189727442302532145853906375186182281603517458,airdrops,MegaETH market cap (FDV) >$2B one day after launch?,556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,0.024999999999999137,0.023805702674010366,1.2379460568908147e-05,0.08444464177693038
9556122149160720922715284597610520228366807023831966638741974320131898296289,economic-policy,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,669663,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,0.024999999999999137,-0.018365533567739446,-9.550459473603455e-06,-0.06514703323011319
11966409881281293602137861492007400834690026843003461391578987664208256196909,claude-5,"Will Claude 5 be released by April 30, 2026?",1363116,will-claude-5-be-released-by-april-30-2026,0.024999999999999137,0.017919752227396765,9.318643904002478e-06,0.0635657379366466
94387913280398317052582281843978069916338462525042652614881277797162415545237,colorado-midterm,Will the Republicans win the Colorado Senate race in 2026?,630667,will-the-republicans-win-the-colorado-senate-race-in-2026,0.024999999999999137,0.015015488897067848,7.808366561137726e-06,0.05326360655603212
107870429546933970357003646744953533078588414978993746450690176970570179686431,comex-silver-futures,Will Silver (SI) hit (HIGH) $250 by end of June?,1294089,will-silver-si-hit-high-250-by-end-of-june-218,0.024999999999999137,0.01017277546915853,5.290054846156282e-06,0.036085319225131765
113379015922744700109400673843380371641970914885846970213129353605968934558386,2026-fifa-world-cup,Will Haiti win the 2026 FIFA World Cup?,558977,will-haiti-win-the-2026-fifa-world-cup,0.024999999999999137,-0.010000000000000002,-5.2002080083203335e-06,-0.0354724424367116
97079880955117270083666806029014143818118511996487378321036003805764596740938,california-midterm,Will Rick Caruso win the California Governor Election in 2026?,628936,will-rick-caruso-win-the-california-governor-election-in-2026,0.024999999999999137,-0.010000000000000002,-5.2002080083203335e-06,-0.0354724424367116
17988517666865803556038348708000324994436319684963570400912948173818975836974,crypto-prices,"Will Hyperliquid dip to $8 by December 31, 2026?",701744,will-hyperliquid-dip-to-8-by-december-31-2026,0.024999999999999137,-0.007756339377856406,-4.033457814797923e-06,-0.027513630210061073
106675477628507501040585426713979928715996831915977868937330396914038840931958,climate-science,Will 2026 be the third-hottest year on record?,678688,will-2026-be-the-third-hottest-year-on-record,0.024999999999999137,0.006792053574819455,3.5320091392716875e-06,0.02409307294598443
30199410412355494592582461157185905805005714926979062970059503436470906149649,congress,Will the number of Republican Senate members who retire in 2026 be exactly 5?,923035,will-the-number-of-republican-senate-members-who-retire-in-2026-be-exactly-5,0.024999999999999137,-0.006476441012622148,-3.3678840419251938e-06,-0.022973518101499724
100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,1089563,will-openai-acquire-pinterest-in-2026,0.024999999999999137,-0.0058210784313725466,-3.0270818675884276e-06,-0.020648786957644605
23005637933822940407409688590812244627276491317942755040724456648138996410008,celebrities,Will Mike Pence announce a presidential run before 2027?,692319,will-mike-pence-announce-a-presidential-run-before-2027,0.024999999999999137,0.005630117878585857,2.927778408000966e-06,0.01997140323600376
78994096084018614649961134380557835172033452849084058029827070275341232468538,bernie-sanders,Will Bernie endorse Antonio Delgado for NY-Gov by Nov 2 2026 ET?,593975,will-bernie-endorse-antonio-delgado-for-ny-gov-by-nov-2-2026-et,0.024999999999999137,-0.004058436645177718,-2.1104714743513874e-06,-0.01439626602791075
70026524713009669538763377800911903794570186848119999786864842995489783143838,abraham-accords,Will Somaliland join the Abraham Accords before 2027?,1076686,will-somaliland-join-the-abraham-accords-before-2027,0.024999999999999137,0.0035233267231702383,1.832203184175891e-06,0.012498100437338394
73927186257882802877663040737479279251981612783026680169571204930062095676076,business,Will Saudi Aramco be the largest company in the world by market cap on December 31?,676744,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31-584,0.024999999999999137,-0.0028069153069153084,-1.4596543457697912e-06,-0.009956814164927792
3783874556587832518151104525711027133710881159533628607061884012946071097261,fdv,Opensea FDV above $2B one day after launch?,936450,opensea-fdv-above-2b-one-day-after-launch-771-639-367-482-177-837,0.024999999999999137,0.0024614172592113785,1.2799881743168895e-06,0.008731248204010403
22056280440419108399189383402666130126211471357531451866320292446775191982898,base,Base FDV above $2B one day after launch?,1068307,base-fdv-above-2b-one-day-after-launch,0.024999999999999137,0.0023939965142978138,1.2449279845542454e-06,0.00849209035471174
30168634295384984099987626703440157654602987915064535215384295190163901851184,extended,Extended FDV above $300M one day after launch?,904737,extended-fdv-above-300m-one-day-after-launch-351-333,0.024999999999999137,0.0023521795301449486,1.223182282966692e-06,0.0083437552983878
