category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy
congress,-0.06797340137138272,5.864254033854908e-06,0.0,2.250929373682067e-05,-0.0014126292861630658,-6.880326141283491e-07,1.3789288428689213e-05,0.0,1.0075252953637013e-05,-4.741870902443578e-06,-6.685466594991881e-06,1.7184856174091568e-05,-0.0006917587815891752,3.7237951387695237e-06,0.010377221660779914,2.0260667033926665e-05,-1.7179045751064195e-05,1.1153688164877633e-05,7.46736079842116e-06,2.686590488731199e-06,0.1111006507147546,1.426364553521733e-05,1.3003069030591194e-05,1.2738544654757898e-05,-2.617776588037094e-06,-3.609535804137016e-06,7.97054921041574e-06,1.0,2.57902904149392e-06,-2.26327416520109e-05,-1.778077987159561e-05,0.010182383958830235,-2.641796644104488e-06,1.2019329082851885e-05,-2.1385942186457023e-05,-4.0172398612948275e-06,-0.0053749343894893865,0.0005074475640727265,1.2707508961412488e-06,-1.0227234188205766e-05
connecticut-primary,6.3673879141830635e-06,-4.890392234911674e-06,0.0,-1.8771232396893125e-05,-3.7658829936128383e-06,5.737727823648574e-07,-1.149933626123758e-05,0.0,-8.402081240818326e-06,3.954400424401048e-06,5.5752281081552284e-06,-1.433101068041682e-05,-9.201019442620107e-06,-3.1053939215299616e-06,-3.638926353769411e-06,-1.6896029429294283e-05,1.4326165179609113e-05,-9.301423450836278e-06,-6.22727512366627e-06,-2.2404352179537938e-06,-7.328828551612347e-06,-1.1894918085790032e-05,-1.0843682325170377e-05,-1.0623086841746118e-05,2.183049067275079e-06,0.03453389383863288,-6.6469003118841895e-06,2.57902904149392e-06,0.9999999999999998,1.8874179629802575e-05,1.4827970840405618e-05,-2.7504930337140943e-05,2.203080173532822e-06,-1.0023309576340178e-05,1.7834432990306853e-05,3.3501070229967517e-06,-4.183309599964904e-06,-3.0894535792694214e-05,-1.059720516730593e-06,8.528823337100556e-06
crypto-prices,-5.5878178702617505e-05,4.2916532636493776e-05,0.0,0.00016473038748046487,3.304819585775172e-05,-5.035248126825592e-06,0.00010091453123746289,0.0,0.009442014182120451,-3.470256509488533e-05,0.0031632147078914027,0.00012576440866838583,8.074523110422052e-05,2.7251953050124073e-05,3.193406461519634e-05,0.00014827420043180215,-0.0001257218860886906,8.162634486532316e-05,5.464859325053505e-05,1.966134954674446e-05,6.431547708529415e-05,0.00010438603198183453,9.516072005140577e-05,9.322484398889411e-05,-1.9157746872315526e-05,-2.6415765798432785e-05,0.0066558286031346975,-2.26327416520109e-05,1.8874179629802575e-05,1.0,-0.00013012557356082533,0.00024137455315987601,0.00032497204672587423,8.796138875893258e-05,-0.00015650933273162707,-2.9399477686429794e-05,3.671139948526833e-05,0.00027112065657457283,9.299771461510351e-06,-7.484625108076087e-05
delaware-midterm,-4.3899126778956895e-05,3.3716172410508186e-05,0.0,0.00012941581726988072,2.596338988599312e-05,-3.9558017282465076e-06,7.92806763479046e-05,0.0,5.792705495076952e-05,-2.7263098762811832e-05,-3.8437684155592095e-05,9.880328687512013e-05,6.343523034107684e-05,2.1409733990945905e-05,2.5088103865563348e-05,0.00011648747460874805,-9.876988020081197e-05,6.412745270056587e-05,4.293313739097852e-05,1.5446388848703007e-05,5.0527654049757665e-05,8.200796372248524e-05,7.476035566846378e-05,7.323948883511435e-05,-1.5050747505979171e-05,-2.0752806885856193e-05,4.5826188605301087e-05,-1.778077987159561e-05,1.4827970840405618e-05,-0.00013012557356082533,1.0,0.0001896291603699579,0.05954447413380926,6.910440258498691e-05,-0.00012295717575622908,-2.3096876601159574e-05,2.8841283263966933e-05,0.0002129983537706795,7.306105100112795e-06,-5.880086182855705e-05
democratic-primary,8.143005114537777e-05,-6.254132702088567e-05,0.0,-0.00024005800097961892,-4.8160415057216576e-05,7.337757278727443e-06,-0.00014706054547181482,0.0,-0.00010745095389011662,5.057129126544286e-05,7.129942703552868e-05,-0.000183273729887242,-0.00011766826427101069,-3.971367682710489e-05,-0.023165571373838352,0.05457437586347407,0.00018321176265925657,-0.0001189522921383666,-7.963820308276989e-05,0.006738751566869473,0.01730923128583954,-0.024034253955653805,-0.000138675641918412,0.021668355767973345,0.0006844125449837166,3.8495119382084205e-05,-8.500462664592814e-05,0.010182383958830235,-2.7504930337140943e-05,0.00024137455315987601,0.0001896291603699579,1.0,2.8174336733677314e-05,-0.000128184213440063,0.00022807763719164266,4.284321764304891e-05,-0.002112320947501614,-0.017513670707975364,-1.3552354127029164e-05,0.0026607783342013536
economic-policy,-6.522355410801433e-06,5.009413072394147e-06,0.0,1.9228080783102727e-05,3.857535876700382e-06,0.005853504276410902,1.1779203512483133e-05,0.0,8.606568467576318e-06,-4.050641385788605e-06,-5.7109162670414755e-06,1.4679794338501084e-05,9.42495097758495e-06,3.1809720280490266e-06,3.72748940584253e-06,1.7307239711861575e-05,-1.4674830909409627e-05,9.527798587167662e-06,6.3788325989867905e-06,2.294962229931188e-06,7.5071952899194586e-06,0.003584819722773924,1.1107592475879093e-05,1.0881628208536323e-05,-2.236179433055988e-06,-3.0833684451817794e-06,6.808670493862048e-06,-2.641796644104488e-06,2.203080173532822e-06,0.00032497204672587423,0.05954447413380926,2.8174336733677314e-05,1.0,-0.003742985438412712,-1.8268481845401966e-05,-3.431640880482556e-06,4.2851216813113e-06,3.282761998426226e-05,1.0855116633992933e-06,-8.736395173378738e-06
elon-musk,2.967462929165464e-05,-2.279122594973786e-05,0.0,-8.748161259100524e-05,-1.7550553429025683e-05,0.002756205117907182,-5.3591605419889205e-05,0.0,-3.915713153650608e-05,1.8429121681664364e-05,2.598284093189747e-05,-6.678836518956825e-05,-4.288050999011073e-05,-1.4472404487982228e-05,-1.695888361492583e-05,-7.874240058443413e-05,6.676578317601224e-05,-4.334843369184077e-05,0.011586139452099527,-1.0441343521204587e-05,-3.415533549114516e-05,-5.543517835062397e-05,-5.053599018824244e-05,-4.950792510374447e-05,1.0173900611987358e-05,1.4028339429161997e-05,-3.0977271269175856e-05,1.2019329082851885e-05,-1.0023309576340178e-05,8.796138875893258e-05,6.910440258498691e-05,-0.000128184213440063,-0.003742985438412712,0.9999999999999999,8.31157445952615e-05,1.5612867526625236e-05,-1.9495931968377938e-05,-0.0001439811598008219,-4.938730592602613e-06,-0.0014561155568437554
epstein,-5.279994432811511e-05,4.05523334255786e-05,0.0,0.003583127767513655,3.122762663258344e-05,-4.757864822145126e-06,9.535532035847114e-05,0.0,6.967212108552018e-05,0.011407839494709505,-4.6231160672873435e-05,0.00011883626006296031,7.629711286320251e-05,2.575068903975651e-05,3.0174870996177454e-05,0.000140106025462282,-0.00011879607998027752,7.712968755717246e-05,5.163809465935654e-05,1.8578239047636206e-05,6.077244621039793e-05,9.863558199715446e-05,8.991847690093316e-05,8.808924497713357e-05,0.0247019873403663,-2.4960565929764045e-05,5.511772977428394e-05,-2.1385942186457023e-05,1.7834432990306853e-05,-0.00015650933273162707,-0.00012295717575622908,0.00022807763719164266,-1.8268481845401966e-05,8.31157445952615e-05,0.9999999999999998,-2.777991017532325e-05,0.0029512300959789227,0.00025618507806999657,8.787462777649085e-06,-7.072309767403311e-05
extended,-9.918199496644912e-06,7.617548429026421e-06,0.0,2.923912131936242e-05,5.8659499491891304e-06,-8.937405727334084e-07,1.7912009234413344e-05,0.0,1.3087551607751892e-05,-6.15959524178891e-06,-8.684287083062155e-06,0.000273627697838752,1.4332022429659527e-05,4.837135234182666e-06,0.004391768221683457,2.631820031062104e-05,-2.2315236041571196e-05,1.4488417327717025e-05,9.699951978651172e-06,3.4898271866678124e-06,1.1415793199858846e-05,0.006670161427890521,1.6890725997660944e-05,1.6547114136383547e-05,-3.400439309182288e-06,-4.68871464905579e-06,1.0353583638391599e-05,-4.0172398612948275e-06,3.3501070229967517e-06,-2.9399477686429794e-05,-2.3096876601159574e-05,4.284321764304891e-05,-3.431640880482556e-06,1.5612867526625236e-05,-2.777991017532325e-05,1.0,6.516156974866671e-06,4.8123056656496375e-05,1.6506799392905112e-06,-1.3284972184682243e-05
fdv,1.2384947371495531e-05,-9.512103121663899e-06,0.0,-0.007556687883099267,-7.324865912317403e-06,1.1160221127653347e-06,-2.2366891466645443e-05,0.0,-1.6342546642521407e-05,7.69154350293768e-06,1.0844149537328914e-05,-0.00022262865813786018,-1.7896528858737473e-05,-6.0401754697937335e-06,-0.047788466235219734,-0.022517056902241386,2.7865241473602725e-05,-1.8091820613280944e-05,-1.21124196788191e-05,-4.357779459580137e-06,-0.004713539947840078,0.008887049915338672,-2.109160565061673e-05,0.20757815929108056,4.246159990876362e-06,5.854841313502198e-06,-1.2928615572939407e-05,-0.0053749343894893865,-4.183309599964904e-06,3.671139948526833e-05,2.8841283263966933e-05,-0.002112320947501614,4.2851216813113e-06,-1.9495931968377938e-05,0.0029512300959789227,6.516156974866671e-06,1.0,0.09139295401286018,-2.061219295115896e-06,1.6589067541416304e-05
