domain,total_contribution,contribution_share_of_total_return
bundesliga,-0.0653193532278348,-2.9031690949872084
felix,0.057785199731989284,2.568307824855897
colombia-election,0.03393804530302684,1.508402631060303
bernie-sanders,-0.025092011639474786,-1.11523383381788
economic-policy,-0.02248184952944044,-0.9992231632234078
2026-fifa-world-cup,-0.022170495986938477,-0.9853848145941182
colorado-midterm,0.01780666214955805,0.7914308498609889
best-of-2025,0.017758267616481062,0.7892799174672557
comex-gold-futures,0.013257887077793743,0.5892570291507297
claude-5,-0.012418534029867073,-0.5519513347721512
acquisitions,-0.012209038446536574,-0.5426401417947803
airdrops,0.011282197430916326,0.5014459771322829
celebrities,0.011183373233606105,0.49705365936901247
fifa-world-cup,0.011139964366670568,0.49512431875695695
california-midterm,-0.009573298692703248,-0.4254926530701472
extended,0.006801387967094211,0.30229294035127596
abraham-accords,0.005912869717765357,0.26280206063012695
congress,-0.00569419086018344,-0.25308270993716275
business,-0.0050914474826810364,-0.2262933150748219
brazil,0.003897437362970182,0.17322461326824348
big-tech,0.0038215114311738446,0.16985002659818899
fdv,0.0020906402813433245,0.09292012173422576
base,0.0020786343125721567,0.09238650718096679
2025-predictions,0.0015210263608542104,0.06760319117200143
bitcoin,0.00106019171876793,0.04712103963970083
democratic-primary,0.0007786511238642513,0.03460775048850991
comex-silver-futures,0.0005060920128547727,0.022493650324659657
epstein,-0.0004930998360937132,-0.021916202995722455
foreign-policy,0.00045620532374357253,0.020276397903716298
climate-science,0.00035845737574838907,0.01593191487235178
anthropic,-0.000345272036712848,-0.015345882296961868
commodities,-0.00019378908948199802,-0.008613105729437983
connecticut-primary,0.00014700679390539052,0.00653383047640796
basketball,0.0,0.0
crypto-prices,0.0,0.0
delaware-midterm,0.0,0.0
formula1,0.0,0.0
champions-league,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
