domain,ticker,pm_stock_corr,pm_mean_return,stock_mean_return,pm_volatility,stock_volatility,n_obs
2025-predictions,SPY,-0.0004946149640774009,3.462474534830647e-06,-0.0003803763938553808,0.0026575266120627563,0.011673134945195129,60593
2026-fifa-world-cup,SPY,-0.004924774034073726,4.400948404381143e-06,-0.0003803763938553808,0.0031583957449287025,0.011673134945195129,60593
2026-nfl-draft,SPY,0.0,0.0,-0.0003803763938553808,0.0,0.011673134945195129,60593
abraham-accords,SPY,-0.0003077350876667189,2.179925341523838e-05,-0.0003803763938553808,0.006107682232460006,0.011673134945195129,60593
acquisitions,SPY,0.0006602386669301196,3.871334334922299e-06,-0.0003803763938553808,0.0018625966533692268,0.011673134945195129,60593
airdrops,SPY,-0.0008270254534150864,-1.4907980800013114e-06,-0.0003803763938553808,0.002608815233901041,0.011673134945195129,60593
anthropic,SPY,0.0005916294218017997,5.574810600441778e-07,-0.0003803763938553808,0.00013991786077178814,0.011673134945195129,60593
awards,SPY,-0.002339627015112014,4.6760076796549656e-05,-0.0003803763938553808,0.012648740066879813,0.011673134945195129,60593
base,SPY,0.0007680332992759525,1.5353075835337784e-06,-0.0003803763938553808,0.0007547924635710803,0.011673134945195129,60593
basketball,SPY,0.0011086257850272372,0.0002896999998498789,-0.0003803763938553808,0.05519112609149444,0.011673134945195129,60593
bernie-sanders,SPY,0.0009477394270972603,2.9828100510599267e-05,-0.0003803763938553808,0.00814111543322971,0.011673134945195129,60593
best-of-2025,SPY,0.016042100885004663,0.0020468732440412337,-0.0003803763938553808,0.10213436754413954,0.011673134945195129,60593
big-tech,SPY,-0.0028354026508319156,4.865796747697297e-05,-0.0003803763938553808,0.009201007022346448,0.011673134945195129,60593
bitcoin,SPY,0.00098465433092478,7.146393343478696e-07,-0.0003803763938553808,0.0011955638370909811,0.011673134945195129,60593
brazil,SPY,-0.00010111384241541796,6.636482068042711e-07,-0.0003803763938553808,0.0010552589022843365,0.011673134945195129,60593
bundesliga,SPY,0.001300762588646402,3.139867849714899e-07,-0.0003803763938553808,9.874022854356711e-05,0.011673134945195129,60593
business,SPY,-0.0024015514735453354,-1.1489587618951722e-05,-0.0003803763938553808,0.0035489422480760977,0.011673134945195129,60593
california-midterm,SPY,-0.008670556470477903,2.698081436549576e-05,-0.0003803763938553808,0.0077851757983855375,0.011673134945195129,60593
celebrities,SPY,-0.0017130856136537101,-1.7468050079077783e-06,-0.0003803763938553808,0.0012236601691512573,0.011673134945195129,60593
champions-league,SPY,0.001478889883749901,3.1582806788709408e-06,-0.0003803763938553808,0.001998824147913236,0.011673134945195129,60593
claude-5,SPY,-0.001890061385523119,1.5475489745567918e-06,-0.0003803763938553808,0.010282784498232408,0.011673134945195129,60593
climate-science,SPY,-0.003412166233047522,5.30208704215911e-06,-0.0003803763938553808,0.0013452882187688848,0.011673134945195129,60593
colombia-election,SPY,0.004556040504753169,3.3007113032858576e-05,-0.0003803763938553808,0.009810775687544206,0.011673134945195129,60593
colorado-midterm,SPY,0.0008617393167124633,3.997746416323382e-05,-0.0003803763938553808,0.011054301965738507,0.011673134945195129,60593
comex-gold-futures,SPY,-0.0027944669748256523,5.758947567599788e-06,-0.0003803763938553808,0.006037949326001618,0.011673134945195129,60593
comex-silver-futures,SPY,-0.004093072759866134,-7.2424515539302595e-06,-0.0003803763938553808,0.004091016079596886,0.011673134945195129,60593
commodities,SPY,-0.001503697203941525,1.961121414939972e-06,-0.0003803763938553808,0.0014647122590403375,0.011673134945195129,60593
congress,SPY,-0.001271929882495622,4.203922074356623e-05,-0.0003803763938553808,0.009713521949580927,0.011673134945195129,60593
connecticut-primary,SPY,0.0008387228394187115,5.108272916042912e-07,-0.0003803763938553808,0.0012882625900810336,0.011673134945195129,60593
crypto-prices,SPY,0.00213687883516911,8.940371604876391e-07,-0.0003803763938553808,0.0013374165370860054,0.011673134945195129,60593
delaware-midterm,SPY,-0.00040940640258714083,-4.24239775319933e-06,-0.0003803763938553808,0.0013181469621389966,0.011673134945195129,60593
democratic-primary,SPY,-0.004591206142859515,4.118672037989352e-06,-0.0003803763938553808,0.0005706453560338146,0.011673134945195129,60593
economic-policy,SPY,-0.0015420607808936293,8.334650819882291e-07,-0.0003803763938553808,0.00021959015385427476,0.011673134945195129,60593
epstein,SPY,0.00015370351396102528,1.9691597649601353e-05,-0.0003803763938553808,0.00596926630136759,0.011673134945195129,60593
extended,SPY,0.0015134890963522786,1.4031067097214364e-06,-0.0003803763938553808,0.0022890980133984627,0.011673134945195129,60593
fdv,SPY,0.003012224662976214,6.093952650735946e-06,-0.0003803763938553808,0.0037940541867558923,0.011673134945195129,60593
felix,SPY,-0.0004447581833635832,0.0022673982579114317,-0.0003803763938553808,0.13057000953448322,0.011673134945195129,60593
fifa-world-cup,SPY,-0.001021631088002324,1.0121109423625645e-06,-0.0003803763938553808,0.00038889599940968565,0.011673134945195129,60593
foreign-policy,SPY,0.00013871529532852493,3.917108383950065e-07,-0.0003803763938553808,0.0021290307088805537,0.011673134945195129,60593
formula1,SPY,-0.00485676536530531,4.715301861836938e-06,-0.0003803763938553808,0.001160692409430825,0.011673134945195129,60593
