token_id,domain,question,market_id,market_slug,mean_weight,total_contribution,mean_step_contribution,contribution_share_of_total_return
94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,Felix Protocol FDV above $300M one day after launch?,716905,felix-protocol-fdv-above-300m-one-day-after-launch-953-129,0.025232442212398357,0.08815596969633835,4.062487082780569e-05,1.0103431029263246
11966409881281293602137861492007400834690026843003461391578987664208256196909,claude-5,"Will Claude 5 be released by April 30, 2026?",1363116,will-claude-5-be-released-by-april-30-2026,0.02497236132444728,-0.04681843229086305,-2.1575314419752556e-05,-0.5365794320887762
36553834009124167357981460132800746681781045509640776189348736916365216865880,colombia-election,Will Daniel Quintero win the 2026 Colombian presidential election?,569369,will-daniel-quintero-win-the-2026-colombian-presidential-election,0.024846362806416722,0.03312867134809494,1.5266668824006885e-05,0.3796830177349967
9556122149160720922715284597610520228366807023831966638741974320131898296289,economic-policy,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,669663,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,0.024666439690294542,-0.027924567845551113,-1.2868464444954429e-05,-0.3200395233826423
109303663734739671465714636465895865472163062510173069449390862173969575719974,congress,Will the number of Republican Senate members who retire in 2026 be less than 5?,909077,will-the-number-of-republican-senate-members-who-retire-in-2026-be-less-than-5,0.024800710591341667,-0.02066918835265668,-9.524971591086028e-06,-0.23688664496715522
94387913280398317052582281843978069916338462525042652614881277797162415545237,colorado-midterm,Will the Republicans win the Colorado Senate race in 2026?,630667,will-the-republicans-win-the-colorado-senate-race-in-2026,0.02500979221412002,0.019960507153553592,9.198390393342669e-06,0.22876454995585047
59293102456409671843831538939564589910493616612575646727452668236549896586814,fifa-world-cup,Will Oceania win the 2026 FIFA World Cup?,840932,will-oceania-win-the-2026-fifa-world-cup,0.02445422706579412,0.017521193603529002,8.074282766603228e-06,0.200807922292047
101572915378052466010537773686792142702472736962773444087157973880663103257016,big-tech,Will Saudi Aramco be the largest company in the world by market cap on June 30?,631186,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-june-30,0.025216821344217398,0.010749786986847115,4.953818887947979e-06,0.12320178857427123
92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,MegaETH market cap (FDV) >$3B one day after launch?,666614,megaeth-market-cap-fdv-2b-one-day-after-launch-392-656-565-965-418-578-388,0.02540736593904772,0.010713544389126865,4.93711723001238e-06,0.12278641728671214
113379015922744700109400673843380371641970914885846970213129353605968934558386,2026-fifa-world-cup,Will Haiti win the 2026 FIFA World Cup?,558977,will-haiti-win-the-2026-fifa-world-cup,0.024583020569726586,-0.009994926303625107,-4.605956821947054e-06,-0.11455043702552538
46016408901619903295207375832539898750164493226855442884509133805980187874445,brazil,Will Tarcisio de Frietas qualify for Brazil's presidential runoff?,601921,will-tarcisio-de-frietas-qualify-for-brazils-presidential-runoff,0.025037233281262596,0.007914498664024883,3.6472344073847384e-06,0.09070695003255448
100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,1089563,will-openai-acquire-pinterest-in-2026,0.02479854437548341,-0.007289684758052908,-3.3593017318216167e-06,-0.08354604620850566
63415064977569429650854303533694905713854849186055984415925532647266316927744,best-of-2025,Will Theodore rank #1 among boy names on the SSA’s official list for 2025?,651485,will-theodore-rank-1-among-boy-names-on-the-ssas-official-list-for-2025,0.02525512852796143,-0.007231992025288243,-3.33271521902684e-06,-0.08288483795637555
30168634295384984099987626703440157654602987915064535215384295190163901851184,extended,Extended FDV above $300M one day after launch?,904737,extended-fdv-above-300m-one-day-after-launch-351-333,0.024962654394689896,0.006358126706713471,2.930012307241231e-06,0.07286959110979463
65727333669531232905091448824819612789481034857852260350036556651884360807432,climate-science,Will SpaceX's public ticker be $MARS?,929495,will-spacexs-public-ticker-be-mars-627,0.024443130115635075,-0.006301094777882099,-2.903730312388064e-06,-0.0722159562381025
70026524713009669538763377800911903794570186848119999786864842995489783143838,abraham-accords,Will Somaliland join the Abraham Accords before 2027?,1076686,will-somaliland-join-the-abraham-accords-before-2027,0.02514646819632818,0.006132125084483892,2.825864094232208e-06,0.07027941847535646
391670908629060088409431896998377161667071768186645889213963384874929102170,business,Will Microsoft be the largest company in the world by market cap on December 31?,676740,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-december-31-481,0.024861572956943172,-0.003803547911232545,-1.7527870558675323e-06,-0.043591924766987714
3783874556587832518151104525711027133710881159533628607061884012946071097261,fdv,Opensea FDV above $2B one day after launch?,936450,opensea-fdv-above-2b-one-day-after-launch-771-639-367-482-177-837,0.024692414234518952,0.0037333947022276364,1.7204583881233347e-06,0.042787908758651495
108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,Epstein client list released by June 30?,996893,epstein-client-list-released-by-june-30,0.025347787898821403,0.003336624379184417,1.5376149212831416e-06,0.03824058019186906
32431890167345181985795456212069136470689842825539004695200064630822423107335,elon-musk,Elon Musk trillionaire before 2027?,836162,elon-musk-trillionaire-before-2027,0.02522675993257902,0.0030302261941485688,1.396417600990124e-06,0.034728993919646685
33970361138937631470073795943535268274491124306414028184433322285876577197264,bernie-sanders,Will Bernie endorse Dan Osborn for NE-Sen by Nov 2 2026 ET?,593974,will-bernie-endorse-dan-osborn-for-ne-sen-by-nov-2-2026-et,0.025380297456567565,0.0028797143879394655,1.32705732163109e-06,0.03300399939192309
22056280440419108399189383402666130126211471357531451866320292446775191982898,base,Base FDV above $2B one day after launch?,1068307,base-fdv-above-2b-one-day-after-launch,0.02488422928171979,0.0019365123538598698,8.924020063870368e-07,0.022194094253553523
5161623255678193352839985156330393796378434470119114669671615782853260939535,foreign-policy,Will Trump acquire Greenland before 2027?,997488,will-trump-acquire-greenland-before-2027,0.025135972905176593,0.001393419767513586,6.421289251214682e-07,0.015969786917868024
51273396751548994017117054764897754414228591289652072971120018616721173971444,democratic-primary,Will Graham Platner be the Democratic nominee for Senate in Maine?,599323,will-graham-platner-be-the-democratic-nominee-for-senate-in-maine,0.02498991841515784,0.001136795205907386,5.238687584826664e-07,0.01302864910549495
91179457738197972030536046159970584284769890945507129337353196559348761227632,comex-gold-futures,"Will Gold (GC) hit (HIGH) $9,000 by end of June?",1295944,will-gold-gc-hit-high-9000-by-end-of-june,0.02536143044922887,-0.0011009309037738075,-5.073414303105104e-07,-0.012617613410161523
105553217293060706571503179519164863553151391260530944399118771327258349812919,connecticut-primary,Will Erin Stewart win the 2026 Connecticut Governor Republican primary election?,826143,will-erin-stewart-win-the-2026-connecticut-governor-republican-primary-election,0.025178507638372018,-0.00048077041760233015,-2.215531878351752e-07,-0.005510041772425753
13894075309136465288344590624962399806634179813543146659957916315803696399619,comex-silver-futures,Will Silver (SI) hit (HIGH) $200 by end of June?,1032334,si-hit-200-high-jun-2026-446-464-464,0.025133859827440697,0.0004669504017003043,2.1518451691258263e-07,0.005351652524402724
47113934605305582772590235372495078183833796521066344951188393486940857661087,bitcoin,Will Bitcoin outperform Gold in 2026?,1068346,will-bitcoin-outperform-gold-in-2026,0.024867032620839107,0.00034403357226720253,1.5854081671299656e-07,0.0039429201234197405
14495888673864948586083280727326896461319586754303430637766841544809472748499,anthropic,"Will Anthropic not IPO by June 30, 2026?",608410,will-anthropic-not-ipo-by-june-30-2026,0.02491371944940473,-0.00028852514436944883,-1.3296089602278748e-07,-0.0033067458804959733
65593147993933210668913649351930844723488198276524447779995000909538215097563,bundesliga,Will Bayern Munich win the 2025–26 Bundesliga?,566536,will-bayern-munich-win-the-202526-bundesliga,0.024981699869721218,0.0002530792050258257,1.1662636176305332e-07,0.00290050498193931
16201530957950630406397949502319734794139620443510795733205872225099141120819,2025-predictions,"Macron out by June 30, 2026?",597964,macron-out-by-june-30-2026-273,0.02532450618085018,7.916177284557346e-05,3.6480079652338e-08,0.0009072618846511041
108251591904413063139495882252154135107497878738832930637657538583440424739851,commodities,Will Bitcoin have the best performance in 2026?,950852,will-bitcoin-have-the-best-performance-in-2026-749,0.02498842799560755,-6.717705639976623e-05,-3.095716884781854e-08,-0.0007699067441738509
14148326570482997647796472124635529527670136157918554047135459073661353551014,basketball,Will Doc Rivers win the 2025–2026 NBA Coach of the Year?,643782,nba-2025-26-coach-of-the-year-doc-rivers,0.02508394355716158,0.0,0.0,0.0
18571303954259773157233385333455041418270179723020753158306812650937565180666,crypto-prices,"Will Bitcoin reach $1,000,000 by December 31, 2026?",1393070,will-bitcoin-reach-1000000-by-december-31-2026-946,0.024977122718030546,0.0,0.0,0.0
18791277393217683755628516529477058015186638022373024614300661393042993809537,delaware-midterm,Will the Republicans win the Delaware Senate race in 2026?,630680,will-the-republicans-win-the-delaware-senate-race-in-2026,0.024873561758123133,0.0,0.0,0.0
43478780997313571844864646081201368302664941062507392308569466005072068318763,champions-league,Will Club Brugge win the 2025–26 Champions League?,566170,will-club-brugge-win-the-202526-champions-league,0.025074538695819094,0.0,0.0,0.0
45014676111572901552217363692090679327003594688155466306257909550735876308571,awards,Will Giannis Antetokounmpo win the 2025–2026 NBA MVP?,564164,will-giannis-antetokounmpo-win-the-20252026-nba-mvp,0.025074538695819094,0.0,0.0,0.0
52687837122619369610030804114166340063089308639039605237541487600082955039632,california-midterm,Will Kyle Langford win the California Governor Election in 2026?,628946,will-kyle-langford-win-the-california-governor-election-in-2026,0.02495189941877688,0.0,0.0,0.0
59801599589331564958419038840742132244534089579130164061189424955463347433097,celebrities,Will Hillary Clinton announce a Presidential run before 2027?,692284,will-hillary-clinton-announce-a-presidential-run-before-2027,0.024789017798864037,0.0,0.0,0.0
61333438224991090029549325331522226961828740049006775405883405120037322223568,2026-nfl-draft,Will Nico Iamaleava be the first pick of the 2026 NFL Draft?,580109,will-nico-iamaleava-be-the-first-pick-of-the-2026-nfl-draft,0.025074538695819094,0.0,0.0,0.0
