domain,total_contribution,contribution_share_of_total_return
tennis,0.945583918835177,0.8545058612901192
republican-primary,0.1885359458625317,0.17037628030082
primaries,0.14264498370437573,0.12890550720149163
claude-5,-0.10163554589785956,-0.09184607305095284
celebrities,0.09775560468158778,0.08833984537012522
nba,-0.06052456258011422,-0.05469487418994822
middle-east,-0.05422030072482535,-0.04899783493288461
south-dakota-midterm,-0.04815574791552868,-0.043517416094934
hockey,0.03933665327005501,0.035547771184820914
nba-champion,-0.01939594630973834,-0.01752774077139191
serie-a,-0.017184858409953978,-0.015529623488982063
ligue-1,0.01534658074378966,0.013868407589338641
best-of-2025,-0.011319263086607571,-0.0102289986751319
epstein,-0.01018181815220363,-0.009201111732489909
