category,baseline_exposure,equity_hedge_portfolio_exposure,delta_exposure
epstein,0.025,0.07592828095927961,0.05092828095927961
crypto-prices,0.025,0.03730427176689734,0.012304271766897336
2026-nfl-draft,0.025,0.037300643187920014,0.012300643187920013
formula1,0.025,0.037300529247111185,0.012300529247111183
delaware-midterm,0.025,0.03730051029107409,0.012300510291074089
awards,0.025,0.037300468259078845,0.012300468259078844
celebrities,0.025,0.037259251652326596,0.012259251652326594
economic-policy,0.025,0.037229681549308107,0.012229681549308105
big-tech,0.025,0.03675145190021164,0.011751451900211637
base,0.025,0.03670419974103925,0.01170419974103925
bundesliga,0.025,0.0361366119126717,0.0111366119126717
anthropic,0.025,0.03463582256605555,0.009635822566055552
fifa-world-cup,0.025,0.03417551802630472,0.009175518026304716
best-of-2025,0.025,0.03293258776882396,0.00793258776882396
extended,0.025,0.030774058358092535,0.005774058358092533
colombia-election,0.025,0.028522430319863044,0.0035224303198630423
bitcoin,0.025,0.028398124770027577,0.0033981247700275753
climate-science,0.025,0.026557370812410597,0.001557370812410596
basketball,0.025,0.025114955987630937,0.00011495598763093529
democratic-primary,0.025,0.024732653600891184,-0.0002673463991088171
connecticut-primary,0.025,0.02435413432030804,-0.0006458656796919614
felix,0.025,0.022896168811139657,-0.0021038311888603445
airdrops,0.025,0.022888595111003385,-0.0021114048889966167
acquisitions,0.025,0.02261274504403473,-0.0023872549559652706
colorado-midterm,0.025,0.022263290904189614,-0.0027367090958103878
commodities,0.025,0.02107144357133065,-0.00392855642866935
foreign-policy,0.025,0.020919548867483873,-0.004080451132516129
brazil,0.025,0.02050352246803135,-0.004496477531968652
2026-fifa-world-cup,0.025,0.01987677960353815,-0.005123220396461851
2025-predictions,0.025,0.019801858783313014,-0.005198141216686988
congress,0.025,0.0186448858064442,-0.006355114193555802
fdv,0.025,0.01430356032639142,-0.01069643967360858
champions-league,0.025,0.01358867371363455,-0.011411326286365452
bernie-sanders,0.025,0.011198068723125346,-0.013801931276874655
claude-5,0.025,0.007738436826868569,-0.017261563173131433
business,0.025,0.004784671956203887,-0.020215328043796114
comex-silver-futures,0.025,4.856273303014241e-05,-0.02495143726696986
abraham-accords,0.025,4.855901790191476e-05,-0.024951440982098085
california-midterm,0.025,4.8548346614105104e-05,-0.024951451653385897
comex-gold-futures,0.025,4.85223883947497e-05,-0.024951477611605252
