domain,total_contribution,contribution_share_of_total_return
nba-champion,0.18143664783135385,0.42919495953484627
colombia-election,0.15426494368662436,0.36491930960259095
serie-a,0.0693416665511375,0.16403022280899573
airdrops,0.04364566463211502,0.10324539992088046
uefa-europa-league,0.042857117110930765,0.10138006220939141
roland-garros,-0.038201022292491976,-0.09036590133794642
primaries,-0.03553077373084344,-0.08404933168642822
awards,0.033171927224467795,0.07846939487127144
hockey,-0.03021300550518088,-0.07146995841366804
ligue-1,0.026054323340455696,0.061632445183890064
middle-east,0.022620957265852525,0.0535106934260681
stanley-cup,-0.02021652139735511,-0.0478229133242052
nba,-0.013467535051308483,-0.03185794176903658
new-mexico-primary,-0.010652204815294011,-0.02519817616398305
la-liga,-0.002375049195395277,-0.005618264862666795
