category,awards,basketball,best-of-2025,colombia-election,hockey,la-liga,ligue-1,natural-disasters,nba,nba-champion,new-mexico-primary,primaries,roland-garros,serie-a,uefa-europa-league,usdptai
awards,0.0005993982080964692,-2.7623971066203037e-08,-1.1524948872755849e-06,-5.753317819339255e-08,-6.432851688142502e-08,-5.553667475743853e-08,-8.970226707571825e-08,-3.1876885360781465e-07,3.6956363239551965e-08,-3.3873440984680595e-08,-1.7887853589980328e-06,-5.08619233588729e-08,5.929221763478245e-07,-1.683107224869559e-05,4.5186758938460104e-08,-2.0061492242550946e-08
basketball,-2.7623971066203037e-08,0.0008617727883716729,-4.003228385587658e-07,-1.9984336121552504e-08,-2.2344719063460746e-08,-3.5747907027932596e-08,-3.1158373522850294e-08,-1.1072539559985977e-07,1.2836912682397669e-08,-1.1766049634107775e-08,-8.156658355648893e-07,-1.7667054108773476e-08,4.842131152240004e-09,-2.468460958172458e-08,-1.3291398319584471e-08,-6.968424423336741e-09
best-of-2025,-1.1524948872755849e-06,-4.003228385587658e-07,0.11978896819742163,-8.337630078778127e-07,-9.322401336336204e-07,-1.4914322050859153e-06,-1.2999530767987335e-06,-4.619554951552041e-06,5.355665990023828e-07,-4.908893082114036e-07,2.9318612785405837e-07,-7.370840884818916e-07,2.0201771074479304e-07,-1.029862298550506e-06,-5.5452811514148e-07,-2.9072842210179367e-07
colombia-election,-5.753317819339255e-08,-1.9984336121552504e-08,-8.337630078778127e-07,0.0003237886912277074,-3.5134239038168664e-06,-7.44531153811996e-08,-6.489437205861116e-08,-2.3061072212657152e-07,2.6735778973971946e-08,-2.4505464062683557e-08,1.4636012639963132e-08,-3.6795642804445936e-08,1.0084835150962307e-08,-5.141129196436324e-08,-2.768234828104001e-08,-1.451332261803426e-08
hockey,-6.432851688142502e-08,-2.2344719063460746e-08,-9.322401336336204e-07,-3.5134239038168664e-06,0.000514422774147903,-2.66006978372491e-07,-7.255915351050846e-08,-2.5784853535278173e-07,2.989358598066737e-08,-2.7399844892012915e-08,1.6364696263116584e-08,-4.114163694124847e-08,1.1275971684970933e-08,-5.748356456006224e-08,-3.0951956151779825e-08,-1.6227515120084456e-08
la-liga,-5.553667475743853e-08,-3.5747907027932596e-08,-1.4914322050859153e-06,-7.44531153811996e-08,-2.66006978372491e-07,0.001557612669158393,-1.1608281430401873e-07,-4.125156124317948e-07,1.4518878705237167e-06,-4.3835284077531996e-08,2.6180845634836038e-08,-6.581991065431472e-08,1.1667071776086858e-07,1.3435681896293018e-05,-5.8990344780913084e-08,-2.5961378174395314e-08
ligue-1,-8.970226707571825e-08,-3.1158373522850294e-08,-1.2999530767987335e-06,-6.489437205861116e-08,-7.255915351050846e-08,-1.1608281430401873e-07,0.0006443418024815161,-3.5955435170271984e-07,4.168481667984789e-08,-3.820744396869925e-08,1.2587905467544003e-06,-5.736955060908259e-08,1.5723667708489752e-08,-8.015739069712654e-08,-4.3160650545707944e-08,-2.262829870553749e-08
natural-disasters,-3.1876885360781465e-07,-1.1072539559985977e-07,-4.619554951552041e-06,-2.3061072212657152e-07,-2.5784853535278173e-07,-4.125156124317948e-07,-3.5955435170271984e-07,0.020629592766235483,1.48132501653174e-07,-1.3577519844516188e-07,8.109242557308157e-08,-2.0387027525420693e-07,5.587612992784797e-08,-2.84849874743389e-07,-1.533770722183538e-07,-8.041264811479337e-08
nba,3.6956363239551965e-08,1.2836912682397669e-08,5.355665990023828e-07,2.6735778973971946e-08,2.989358598066737e-08,1.4518878705237167e-06,4.168481667984789e-08,1.48132501653174e-07,0.0003279707828060028,1.5741053418083047e-08,-9.401423951984373e-09,2.3635633973548597e-08,3.755252319347502e-06,3.302397747023527e-08,1.7781720922126855e-08,9.322614173719777e-09
nba-champion,-3.3873440984680595e-08,-1.1766049634107775e-08,-4.908893082114036e-07,-2.4505464062683557e-08,-2.7399844892012915e-08,-4.3835284077531996e-08,-3.820744396869925e-08,-1.3577519844516188e-07,1.5741053418083047e-08,0.001055232663609513,8.617151459012495e-09,-2.1663935040059527e-08,5.937583826467245e-09,-3.02690972232961e-08,-1.6298358968857848e-08,-8.544916040290276e-09
