category,baseline_exposure,constrained_exposure,delta_exposure
base,0.025,0.029781421646475792,0.0047814216464757905
colorado-midterm,0.025,0.02930540032684803,0.004305400326848029
bundesliga,0.025,0.02921242266893387,0.004212422668933867
2026-nfl-draft,0.025,0.02916172333061695,0.00416172333061695
awards,0.025,0.02916172333061695,0.00416172333061695
champions-league,0.025,0.02916172333061695,0.00416172333061695
formula1,0.025,0.02916172333061695,0.00416172333061695
delaware-midterm,0.025,0.029154714196920395,0.0041547141969203935
anthropic,0.025,0.029112916439771652,0.004112916439771651
crypto-prices,0.025,0.0290309339761734,0.0040309339761733995
connecticut-primary,0.025,0.028755348175764084,0.0037553481757640825
2026-fifa-world-cup,0.025,0.028452081605792046,0.003452081605792044
colombia-election,0.025,0.027861338108778,0.0028613381087779985
california-midterm,0.025,0.02783012017607689,0.0028301201760768877
bitcoin,0.025,0.02760406769812107,0.0026040676981210695
foreign-policy,0.025,0.02687586098909378,0.0018758609890937791
2025-predictions,0.025,0.026588452979922295,0.0015884529799222932
brazil,0.025,0.02651985175907612,0.001519851759076117
extended,0.025,0.02566285990178585,0.0006628599017858491
commodities,0.025,0.025141393765807152,0.0001413937658071504
airdrops,0.025,0.024829717352986336,-0.00017028264701366563
abraham-accords,0.025,0.024691779166460037,-0.00030822083353996416
fdv,0.025,0.024501875042915344,-0.0004981249570846571
climate-science,0.025,0.024190127849578857,-0.000809872150421144
fifa-world-cup,0.025,0.024068089202046394,-0.000931910797953607
business,0.025,0.024029606953263283,-0.0009703930467367186
celebrities,0.025,0.02374427020549774,-0.0012557297945022597
acquisitions,0.025,0.02365998551249504,-0.0013400144875049605
epstein,0.025,0.023578133434057236,-0.0014218665659427657
big-tech,0.025,0.023054374381899834,-0.0019456256181001677
congress,0.025,0.022881126031279564,-0.0021188739687204375
comex-gold-futures,0.025,0.020867694169282913,-0.004132305830717088
economic-policy,0.025,0.02085070125758648,-0.004149298742413522
best-of-2025,0.025,0.02079114131629467,-0.004208858683705331
comex-silver-futures,0.025,0.020504869520664215,-0.004495130479335786
democratic-primary,0.025,0.02025611512362957,-0.004743884876370431
bernie-sanders,0.025,0.019555142149329185,-0.005444857850670816
claude-5,0.025,0.017766086384654045,-0.007233913615345956
felix,0.025,0.017749905586242676,-0.007250094413757326
basketball,0.025,0.014893901534378529,-0.010106098465621473
