category,baseline_exposure,constrained_exposure,delta_exposure
2026-nfl-draft,0.025,0.03663904219865799,0.011639042198657988
awards,0.025,0.03663904219865799,0.011639042198657988
champions-league,0.025,0.03663904219865799,0.011639042198657988
base,0.025,0.035550232976675034,0.010550232976675032
basketball,0.025,0.03466641157865524,0.009666411578655242
delaware-midterm,0.025,0.03207650035619736,0.007076500356197356
democratic-primary,0.025,0.03149810805916786,0.0064981080591678606
climate-science,0.025,0.030997121706604958,0.005997121706604956
bundesliga,0.025,0.030553722754120827,0.005553722754120825
extended,0.025,0.030187491327524185,0.005187491327524184
anthropic,0.025,0.029214590787887573,0.004214590787887572
connecticut-primary,0.025,0.027235928922891617,0.0022359289228916154
abraham-accords,0.025,0.02689060941338539,0.0018906094133853898
acquisitions,0.025,0.026088589802384377,0.0010885898023843751
elon-musk,0.025,0.025210019201040268,0.00021001920104026656
2026-fifa-world-cup,0.025,0.02468004822731018,-0.0003199517726898207
crypto-prices,0.025,0.02448311448097229,-0.0005168855190277113
bitcoin,0.025,0.024227077141404152,-0.0007729228585958495
business,0.025,0.024185065180063248,-0.0008149348199367537
commodities,0.025,0.02398526668548584,-0.0010147333145141615
california-midterm,0.025,0.023638002574443817,-0.0013619974255561842
big-tech,0.025,0.02358144149184227,-0.0014185585081577315
colombia-election,0.025,0.023506823927164078,-0.0014931760728359236
comex-gold-futures,0.025,0.023430945351719856,-0.0015690546482801451
fifa-world-cup,0.025,0.022990915924310684,-0.002009084075689317
fdv,0.025,0.02269623801112175,-0.0023037619888782515
brazil,0.025,0.022663097828626633,-0.0023369021713733687
best-of-2025,0.025,0.022587211802601814,-0.002412788197398187
foreign-policy,0.025,0.02244729921221733,-0.0025527007877826705
airdrops,0.025,0.02212444879114628,-0.002875551208853723
colorado-midterm,0.025,0.02191178873181343,-0.0030882112681865706
celebrities,0.025,0.020182058215141296,-0.004817941784858705
bernie-sanders,0.025,0.019500792026519775,-0.005499207973480226
epstein,0.025,0.019148757681250572,-0.005851242318749429
comex-silver-futures,0.025,0.019007768481969833,-0.005992231518030168
2025-predictions,0.025,0.017408309504389763,-0.0075916904956102385
congress,0.025,0.016703162342309952,-0.00829683765769005
felix,0.025,0.016574133187532425,-0.008425866812467576
economic-policy,0.025,0.014303314499557018,-0.010696685500442983
claude-5,0.025,0.01394836325198412,-0.011051636748015882
