domain,total_contribution,contribution_share_of_total_return
colombia-election,0.049655984590450924,-0.8410571140122813
claude-5,-0.04248135448489108,0.7195355342780994
felix,0.03986108728125261,-0.6751542901962531
fifa-world-cup,0.026139796675186858,-0.4427474781504648
congress,-0.02161119558250538,0.3660434877465367
best-of-2025,-0.019790261343541143,0.33520108861859904
economic-policy,-0.01692919991360462,0.28674134929169004
epstein,-0.01651172204059744,0.2796702432018326
2026-fifa-world-cup,-0.01612696334719658,0.2731533240644545
crypto-prices,-0.01197259826035617,0.20278802289664113
california-midterm,-0.010464158840477467,0.17723856061914728
bernie-sanders,-0.009731168812652189,0.16482341101558742
comex-gold-futures,-0.00536771799687028,0.09091668294394614
2025-predictions,-0.004910375828918347,0.0831703682335186
climate-science,-0.0046167342130612205,0.07819676088238794
abraham-accords,0.00405666432409469,-0.06871047703675548
fdv,0.003547129398956836,-0.06008013817308266
extended,0.0034689501689087326,-0.05875596349117322
foreign-policy,-0.0034577615505860387,0.05856645426859143
connecticut-primary,-0.0031123761029453194,0.052716426518453825
acquisitions,-0.002898974111065911,0.04910189213966954
base,0.00272763122152296,-0.046199741323930156
business,-0.0024515438323469145,0.04152346182467631
airdrops,0.0022687342531259908,-0.03842709190307542
elon-musk,0.0021666284825162924,-0.03669765716401463
colorado-midterm,-0.0019028917228054495,0.03223056865875501
commodities,0.001768540057650691,-0.029954963317530232
comex-silver-futures,-0.0014791628819045474,0.0250535856829625
big-tech,0.0011407794149573712,-0.019322155232285417
democratic-primary,0.0005605714853336779,-0.009494779723751312
anthropic,-0.00037743523012504323,0.006392876669221784
bitcoin,-0.00024971757693323165,0.004229636091316026
brazil,-0.00016351440764194341,0.0027695545043569096
celebrities,0.00014770765897441113,-0.002501824873661222
bundesliga,5.6655670914857855e-05,-0.000959615552185493
basketball,0.0,-0.0
delaware-midterm,0.0,-0.0
champions-league,0.0,-0.0
awards,0.0,-0.0
2026-nfl-draft,0.0,-0.0
