label,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,congress::109303663734739671465714636465895865472163062510173069449390862173969575719974,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,california-midterm::97079880955117270083666806029014143818118511996487378321036003805764596740938,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,1.0,-0.000309225869482632,0.00046699969349641004,-0.0001645581418197603,-0.00040506390919652877,0.0002871691661532971,0.0005951908215201926,0.0004066352369304719,0.0004066352369304719,0.8669879036201481,-0.00041127968694879057,-0.00014863168997694093,-0.001153188665779677,0.7795521647773608,0.0004066352369304737,-0.0005245589998357718,-0.00017456706122862288,0.00016711306690713352,0.00018780827839657717,-0.00017434511136805495
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.000309225869482632,1.0,0.00041370823163223064,-0.0001457796628156929,-0.0003588402217506221,0.00025439898475970897,0.0005272708862211167,0.00036023223812062667,0.0003602322381206265,-0.00019541671724506874,-0.0003643466887952904,-0.00013167065092590242,-6.991710938464769e-05,-0.0002268284408847279,0.0003602322381206109,-0.0004646991833849937,-0.00015464641884755932,0.0001480430337655385,0.00016637662042049399,-0.00015444979669639345
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.00046699969349641004,0.00041370823163223064,1.0,0.00022015964565590986,0.000541928376988969,-0.0003841989291107836,-0.0007962960623793248,-0.0005440306306562088,-0.0005440306306562085,0.0002951226144507418,0.018695920882956407,0.00019885190630314933,0.00010559035279749976,0.0003425612887649471,-0.0005440306306562177,0.0007017989037330758,0.00023355041518019612,-0.00022357783812995786,-0.00025126562299375286,0.00023325347209299645
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-0.0001645581418197603,-0.0001457796628156929,0.00022015964565590986,1.0,-0.0001909609962461124,0.00013538137764130704,0.0002805933326903567,0.00019170177394239814,0.00019170177394239814,-0.00010399327819553514,-0.00019389132670771998,-7.00700678271725e-05,-3.720720268648968e-05,-0.00012070939215504005,0.00019170177394239833,-0.00024729507350382257,-8.229688986633417e-05,7.878282171726599e-05,0.17603864107416364,-8.219225510246402e-05
comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,-0.00040506390919652877,-0.0003588402217506221,0.000541928376988969,-0.0001909609962461124,0.9999999999999999,0.00033324458731347727,0.0006906873824482518,0.00047187862657120606,0.0004718786265712058,-0.0002559820093385822,-0.0004772682644991976,-0.00017247919354138475,-9.158644357423836e-05,-0.0002971291345560525,0.00047187862657119186,-0.0006087228993398471,-0.00020257581639737917,0.013334682992146836,0.00021794154667326534,-0.0002023182553552933
congress::109303663734739671465714636465895865472163062510173069449390862173969575719974,0.0002871691661532971,0.00025439898475970897,-0.0003841989291107836,0.00013538137764130702,0.00033324458731347727,0.9999999999999999,-0.011163756515221822,-0.0003345373128571415,-0.0003345373128571414,0.0001814778816454448,0.00033835828479393835,0.00012227874432535913,6.493000742606203e-05,0.00021064904542980663,-0.0003345373128571346,0.0004315527585969898,0.012897234345666178,-0.00013748330510763275,-0.00015450917943409412,0.000143433081469079
epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,0.0005951908215201926,0.0005272708862211167,-0.0007962960623793247,0.00028059333269035664,0.0006906873824482518,-0.011163756515221822,0.9999999999999999,-0.0006933667034513905,-0.0006933667034513903,0.0003761335902150175,0.0007012861032133395,0.00025343663201854883,0.00013457483955850552,0.0004365941513890825,-0.0006933667034513972,0.0008944422702454408,0.06680481157384409,-0.0002849498168916988,-0.00032023788163488973,0.00029728140641388127
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.00040663523693047196,0.00036023223812062667,-0.0005440306306562087,0.00019170177394239814,0.0004718786265712061,-0.0003345373128571415,-0.0006933667034513906,1.0,-0.00047370914258645436,0.0002569750171616292,0.00047911968804869085,0.00017314827645443725,9.194172656927906e-05,0.00029828176069501974,-0.00047370914258645187,0.0006110842629476573,0.0002033616504134562,-0.0001946781302996244,-0.0002187869875750379,0.00020310309023814952
california-midterm::97079880955117270083666806029014143818118511996487378321036003805764596740938,0.00040663523693047196,0.0003602322381206265,-0.0005440306306562085,0.00019170177394239814,0.0004718786265712058,-0.00033453731285714133,-0.0006933667034513903,-0.00047370914258645436,1.0,0.0002569750171616292,0.00047911968804869107,0.00017314827645443725,9.194172656927906e-05,0.00029828176069501974,-0.0004737091425864521,0.0006110842629476574,0.0002033616504134562,-0.0001946781302996244,-0.0002187869875750379,0.00020310309023814952
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,0.866987903620148,-0.00019541671724506872,0.00029512261445074184,-0.00010399327819553512,-0.0002559820093385822,0.0001814778816454448,0.00037613359021501744,0.00025697501716162927,0.00025697501716162927,1.0,-0.0002599100988141031,-9.392848335255835e-05,-4.987602019671279e-05,0.7736674918725606,0.00025697501716162417,-0.0003314974840907108,-0.00011031846107018528,0.00010560787491157378,0.00011868630945111265,-0.0001101781988301029
