learning_rate,lambda_penalty,rolling_window,domain_limit,max_weight,uniform_mix,evaluation_mode,sortino_ratio,max_drawdown,mean_return,volatility,concentration_penalty_lambda,covariance_penalty_lambda,covariance_shrinkage,entropy_lambda,variance_penalty,downside_penalty,equity_signal_lambda,max_domain_exposure,max_domain_exposure_threshold,domain_exposure_json
0.006625527512854787,1.6148578864202006,96,0.09224869267115947,0.06952828781120583,0.013187269381181022,online,-0.024363901436090536,-0.09285978589941635,5.230451569608244e-05,0.0030640814158377884,9.996218562623252,3.8253273296093515,0.08429912288835004,0.007618822662970768,0.9322183989619903,2.8191870554392273,0.25,0.07548671516332031,0.12,"{""acquisitions"": 0.02368106662065547, ""connecticut-primary"": 0.02365239663694494, ""comex-silver-futures"": 0.023612864852341514, ""commodities"": 0.02366611829241656, ""epstein"": 0.07548671516332031, ""2025-predictions"": 0.023669168240791443, ""2026-fifa-world-cup"": 0.023693301551939508, ""claude-5"": 0.023834737555720194, ""anthropic"": 0.023648478563269966, ""basketball"": 0.023979031716940106, ""crypto-prices"": 0.02364817344869073, ""delaware-midterm"": 0.023630745844276848, ""base"": 0.023648765944518525, ""comex-gold-futures"": 0.023717761179815514, ""celebrities"": 0.023641631602951324, ""extended"": 0.02364358875983401, ""congress"": 0.023857515970527356, ""fdv"": 0.023674086882451373, ""formula1"": 0.02366751368292231, ""awards"": 0.023706150456086136, ""best-of-2025"": 0.024015997362012483, ""bitcoin"": 0.02364916315701559, ""business"": 0.02363013083845978, ""democratic-primary"": 0.02366013854709408, ""foreign-policy"": 0.023646217010593957, ""california-midterm"": 0.02375928168812121, ""2026-nfl-draft"": 0.02364667359592383, ""economic-policy"": 0.023649114957627688, ""bundesliga"": 0.02364691864462333, ""abraham-accords"": 0.0237404117322691, ""colombia-election"": 0.02364667359592383, ""big-tech"": 0.023862214201204445, ""champions-league"": 0.023654460814708976, ""fifa-world-cup"": 0.023647987618420185, ""bernie-sanders"": 0.02382889480694083, ""brazil"": 0.023651735256893503, ""airdrops"": 0.023630119005096043, ""climate-science"": 0.02367066218458997, ""felix"": 0.02390067057759589, ""colorado-midterm"": 0.02370272143847118}"
0.005000000000000002,0.25,288,0.08,0.04,0.0,online,0.020281841727797754,-0.27443709474710565,0.00013633994379132604,0.00667151148288052,2.0,0.5,0.02,0.0,0.5,1.0,0.0,0.07552646085357796,0.12,"{""acquisitions"": 0.023696556284417667, ""connecticut-primary"": 0.024703848976980945, ""comex-silver-futures"": 0.01852539257000054, ""commodities"": 0.022991703339179364, ""epstein"": 0.07552646085357796, ""2025-predictions"": 0.019276080712390398, ""2026-fifa-world-cup"": 0.02642114723137654, ""claude-5"": 0.020374933103727358, ""anthropic"": 0.027259622730052276, ""basketball"": 0.019237901583124477, ""crypto-prices"": 0.024345341648921028, ""delaware-midterm"": 0.024007037895276237, ""base"": 0.02439490154284475, ""comex-gold-futures"": 0.023604955293610192, ""celebrities"": 0.02672262285642994, ""extended"": 0.0193195995536579, ""congress"": 0.02320535456237022, ""fdv"": 0.021939895938261685, ""formula1"": 0.026426251497622014, ""awards"": 0.02588140839655774, ""best-of-2025"": 0.024574161430945738, ""bitcoin"": 0.022206480288109707, ""business"": 0.021562703610384606, ""democratic-primary"": 0.027420363425347427, ""foreign-policy"": 0.021898929273903175, ""california-midterm"": 0.02415614004489081, ""2026-nfl-draft"": 0.026095007301753275, ""economic-policy"": 0.027479670155197606, ""bundesliga"": 0.026827893482602207, ""abraham-accords"": 0.022995578149798808, ""colombia-election"": 0.026095007301753275, ""big-tech"": 0.021557979727524917, ""champions-league"": 0.024726375946959728, ""fifa-world-cup"": 0.026523820769730047, ""bernie-sanders"": 0.019867580695801614, ""brazil"": 0.024274331496503564, ""airdrops"": 0.01810398076683783, ""climate-science"": 0.024328409114642017, ""felix"": 0.02592524403608684, ""colorado-midterm"": 0.025519326410847594}"
0.0316227766016838,1.125,96,0.16499999999999998,0.095,0.1,online,-0.022535025399471817,-0.09883251451278863,5.4911516463148144e-05,0.0032553603785103083,9.999999999999998,2.2360679774997902,0.06,0.01,1.25,2.0,1.0,0.10059926989723297,0.12,"{""acquisitions"": 0.023006520861771428, ""connecticut-primary"": 0.02298671109702007, ""comex-silver-futures"": 0.02295618623749727, ""commodities"": 0.02299638989807672, ""epstein"": 0.10059926989723297, ""2025-predictions"": 0.02299794966945047, ""2026-fifa-world-cup"": 0.0230199260578441, ""claude-5"": 0.023118991621499888, ""anthropic"": 0.02298373394882401, ""basketball"": 0.023342117480538778, ""crypto-prices"": 0.0229833149160506, ""delaware-midterm"": 0.02297062280179211, ""base"": 0.02298391629175914, ""comex-gold-futures"": 0.02303390374519346, ""celebrities"": 0.022978312562258813, ""extended"": 0.022979620546366316, ""congress"": 0.02314779798796324, ""fdv"": 0.02300317216621798, ""formula1"": 0.02299777592450013, ""awards"": 0.023067288075755085, ""best-of-2025"": 0.023741883685746937, ""bitcoin"": 0.022984182948679058, ""business"": 0.022969172472226254, ""democratic-primary"": 0.02299240395407534, ""foreign-policy"": 0.022981659502015295, ""california-midterm"": 0.023088262294624476, ""2026-nfl-draft"": 0.02298240026850594, ""economic-policy"": 0.022984205375592075, ""bundesliga"": 0.022982594155294928, ""abraham-accords"": 0.023055034293181623, ""colombia-election"": 0.02298240026850594, ""big-tech"": 0.023153638139694666, ""champions-league"": 0.022988029844063108, ""fifa-world-cup"": 0.022983376397344307, ""bernie-sanders"": 0.023117611403337048, ""brazil"": 0.02298613697854407, ""airdrops"": 0.02296895223675896, ""climate-science"": 0.02299996377443685, ""felix"": 0.02388170905003358, ""colorado-midterm"": 0.023022861169726985}"
0.07952707287670506,0.6875,24,0.1225,0.0675,0.15000000000000002,online,-0.03876767934022007,-0.3438648564176867,2.9985704537162092e-05,0.002930410296849391,22.360679774997894,4.728708045015881,0.04,0.015,1.625,2.5,1.5,0.0674470906448472,0.12,"{""acquisitions"": 0.023920105654317025, ""connecticut-primary"": 0.023905550120358166, ""comex-silver-futures"": 0.023893499508538002, ""commodities"": 0.023913479204317873, ""epstein"": 0.0674470906448472, ""2025-predictions"": 0.023913429463655666, ""2026-fifa-world-cup"": 0.023902341604705068, ""claude-5"": 0.024020539538195804, ""anthropic"": 0.02390231181213682, ""basketball"": 0.024100287580081012, ""crypto-prices"": 0.023904258278254233, ""delaware-midterm"": 0.023895470618601186, ""base"": 0.023903037038122354, ""comex-gold-futures"": 0.023953302425931765, ""celebrities"": 0.023899765777592133, ""extended"": 0.02390445944562584, ""congress"": 0.02410535224729203, ""fdv"": 0.023925079870845262, ""formula1"": 0.023912608116027866, ""awards"": 0.02388778807291479, ""best-of-2025"": 0.023810819287252937, ""bitcoin"": 0.023903605746079915, ""business"": 0.023901866153633745, ""democratic-primary"": 0.023908011999453756, ""foreign-policy"": 0.023904799419688105, ""california-midterm"": 0.023969189331370048, ""2026-nfl-draft"": 0.023901285042924242, ""economic-policy"": 0.02390259649930929, ""bundesliga"": 0.0239014110080677, ""abraham-accords"": 0.023989274337880537, ""colombia-election"": 0.023901285042924242, ""big-tech"": 0.024040269312832485, ""champions-league"": 0.02390887901865486, ""fifa-world-cup"": 0.023902089513149993, ""bernie-sanders"": 0.02400602756084829, ""brazil"": 0.0239048101207176, ""airdrops"": 0.023897072743336474, ""climate-science"": 0.023915117963463656, ""felix"": 0.02326638394917592, ""colorado-midterm"": 0.023955448926876177}"
0.012574334296829352,1.5625,144,0.20750000000000002,0.1225,0.05,online,-0.016131312149182415,-0.14750138313164796,7.592783628802309e-05,0.005050729974826247,4.472135954999579,1.0573712634405643,0.08,0.005,0.875,1.5,0.5,0.13649515691323374,0.12,"{""acquisitions"": 0.021949530896511485, ""connecticut-primary"": 0.0219063290629029, ""comex-silver-futures"": 0.021863741138416222, ""commodities"": 0.02192623628812462, ""epstein"": 0.13649515691323374, ""2025-predictions"": 0.02193429031508254, ""2026-fifa-world-cup"": 0.021983879460796028, ""claude-5"": 0.022237992779003565, ""anthropic"": 0.021900326340794248, ""basketball"": 0.022925314484217328, ""crypto-prices"": 0.02190053211522696, ""delaware-midterm"": 0.021876228547699477, ""base"": 0.021901067858233255, ""comex-gold-futures"": 0.022020455904801894, ""celebrities"": 0.02189107595093981, ""extended"": 0.02189797519514946, ""congress"": 0.022252527903295276, ""fdv"": 0.021947994961685605, ""formula1"": 0.02192954531882268, ""awards"": 0.022129498930369935, ""best-of-2025"": 0.024222839945377755, ""bitcoin"": 0.021902535442588845, ""business"": 0.021881440100400457, ""democratic-primary"": 0.021917364976031507, ""foreign-policy"": 0.02189990255022584, ""california-midterm"": 0.022195388003646524, ""2026-nfl-draft"": 0.0218978167514347, ""economic-policy"": 0.02190132140815994, ""bundesliga"": 0.021898250842652442, ""abraham-accords"": 0.022048171193849803, ""colombia-election"": 0.0218978167514347, ""big-tech"": 0.022292451002397243, ""champions-league"": 0.021912243725118873, ""fifa-world-cup"": 0.02189977796914827, ""bernie-sanders"": 0.022211291156468103, ""brazil"": 0.021905754121553028, ""airdrops"": 0.021876321238651388, ""climate-science"": 0.021933656446205315, ""felix"": 0.0254593814811698, ""colorado-midterm"": 0.021976574528178278}"
0.01994079648317803,0.90625,48,0.18624999999999997,0.13624999999999998,0.17500000000000002,online,-0.03223745275718783,-0.3504363972224951,4.0778546295056977e-05,0.0033275812160513027,6.68740304976422,0.7271077167244769,0.05,0.0175,1.4375,2.75,0.75,0.13620363741204047,0.12,"{""acquisitions"": 0.022077619052164734, ""connecticut-primary"": 0.022066741343176297, ""comex-silver-futures"": 0.022052780153271043, ""commodities"": 0.02207246635323317, ""epstein"": 0.13620363741204047, ""2025-predictions"": 0.022073585350942226, ""2026-fifa-world-cup"": 0.022087520494898896, ""claude-5"": 0.022147642953788658, ""anthropic"": 0.022065074421247558, ""basketball"": 0.022407382003990284, ""crypto-prices"": 0.02206533495811455, ""delaware-midterm"": 0.02205831319113332, ""base"": 0.02206523918007001, ""comex-gold-futures"": 0.022099180560286157, ""celebrities"": 0.022062210087523636, ""extended"": 0.02206375673786667, ""congress"": 0.022184312094932254, ""fdv"": 0.022078519818850458, ""formula1"": 0.02207306153529016, ""awards"": 0.022137751806989157, ""best-of-2025"": 0.023019702453200192, ""bitcoin"": 0.02206547546577372, ""business"": 0.022058777858418335, ""democratic-primary"": 0.022069839677495054, ""foreign-policy"": 0.02206462544040712, ""california-midterm"": 0.022140131445192914, ""2026-nfl-draft"": 0.022064280427797345, ""economic-policy"": 0.022065278460965558, ""bundesliga"": 0.02206440204343866, ""abraham-accords"": 0.022112245032109772, ""colombia-election"": 0.022064280427797345, ""big-tech"": 0.022182161422444484, ""champions-league"": 0.02206845117549333, ""fifa-world-cup"": 0.022064816924762903, ""bernie-sanders"": 0.02215056819073039, ""brazil"": 0.02206661178170417, ""airdrops"": 0.02205733157723351, ""climate-science"": 0.022074308113342683, ""felix"": 0.023311942016798128, ""colorado-midterm"": 0.022092640555084756}"
0.12611667048943612,1.78125,144,0.10125,0.08124999999999999,0.07500000000000001,online,-0.020437561884274636,-0.08853384262230213,6.608836750046983e-05,0.0034319321318819675,33.437015248821105,3.251724563121182,0.09000000000000001,0.0075,0.6875,1.75,1.75,0.08215121697966447,0.12,"{""acquisitions"": 0.02349648252066969, ""connecticut-primary"": 0.023469821786179262, ""comex-silver-futures"": 0.02342155400617749, ""commodities"": 0.023482466583021555, ""epstein"": 0.08215121697966447, ""2025-predictions"": 0.02348318643013432, ""2026-fifa-world-cup"": 0.023511594110670504, ""claude-5"": 0.023633777978599106, ""anthropic"": 0.02346607808001142, ""basketball"": 0.023762245458593664, ""crypto-prices"": 0.023464737282422127, ""delaware-midterm"": 0.023447485616640666, ""base"": 0.023466104654234668, ""comex-gold-futures"": 0.02352005615885017, ""celebrities"": 0.023458350121939288, ""extended"": 0.023458595703853054, ""congress"": 0.02364677305380368, ""fdv"": 0.02348604550154879, ""formula1"": 0.02348452499987849, ""awards"": 0.023550695522354847, ""best-of-2025"": 0.02408002521837914, ""bitcoin"": 0.023466471248398024, ""business"": 0.02344208641938182, ""democratic-primary"": 0.023477941880490443, ""foreign-policy"": 0.023462229810509484, ""california-midterm"": 0.023581891846509235, ""2026-nfl-draft"": 0.023464298397482382, ""economic-policy"": 0.023466778904599337, ""bundesliga"": 0.02346459129517742, ""abraham-accords"": 0.0235489146138069, ""colombia-election"": 0.023464298397482382, ""big-tech"": 0.02365529045935927, ""champions-league"": 0.023472323603375037, ""fifa-world-cup"": 0.02346557433701977, ""bernie-sanders"": 0.02362745529049063, ""brazil"": 0.023468926868618664, ""airdrops"": 0.023443934112657244, ""climate-science"": 0.023487392392595847, ""felix"": 0.024094573728237857, ""colorado-midterm"": 0.023503208626181854}"
0.05014844822490395,0.46875,24,0.22875,0.10874999999999999,0.025,online,-0.03967375899836412,-0.8240988565590935,-3.4975832883767186e-05,0.001977671174218991,14.953487812212206,6.876560219336323,0.03,0.0025,1.0625,1.25,1.25,0.11123079173959101,0.12,"{""acquisitions"": 0.022796331914741452, ""connecticut-primary"": 0.02268819612490976, ""comex-silver-futures"": 0.02274223747106711, ""commodities"": 0.022781379057796078, ""epstein"": 0.11123079173959101, ""2025-predictions"": 0.02281654834730536, ""2026-fifa-world-cup"": 0.022668511675689562, ""claude-5"": 0.023735496713755622, ""anthropic"": 0.022626493773685138, ""basketball"": 0.02260790303067663, ""crypto-prices"": 0.022717819081930345, ""delaware-midterm"": 0.022638971564573885, ""base"": 0.02265718292969159, ""comex-gold-futures"": 0.023119201491475793, ""celebrities"": 0.02265603046040068, ""extended"": 0.022822421749601245, ""congress"": 0.02378031960409606, ""fdv"": 0.023008487524855365, ""formula1"": 0.022669053149757867, ""awards"": 0.02249234197504328, ""best-of-2025"": 0.02173773966759487, ""bitcoin"": 0.02268148441704448, ""business"": 0.02288227754080645, ""democratic-primary"": 0.022669282334330163, ""foreign-policy"": 0.022795648900514005, ""california-midterm"": 0.02271140082519118, ""2026-nfl-draft"": 0.022619832114021975, ""economic-policy"": 0.022629784873240164, ""bundesliga"": 0.02262073031272868, ""abraham-accords"": 0.02351267866546103, ""colombia-election"": 0.022619832114021975, ""big-tech"": 0.023082770486312573, ""champions-league"": 0.022704395722702518, ""fifa-world-cup"": 0.022629396977705295, ""bernie-sanders"": 0.023538584154452855, ""brazil"": 0.0226890454762322, ""airdrops"": 0.022806933371501203, ""climate-science"": 0.022745420991005634, ""felix"": 0.021290823816022243, ""colorado-midterm"": 0.02377621785846663}"
0.007929165875686222,1.34375,24,0.14375,0.05375,0.125,online,-0.03815126265267329,-0.13161614439403946,3.516816213419463e-05,0.002914465184595281,2.9906975624424406,1.5376456101806881,0.07,0.0125,1.8125,2.25,0.25,0.06799146423170106,0.12,"{""acquisitions"": 0.023859670494247157, ""connecticut-primary"": 0.023840059477284452, ""comex-silver-futures"": 0.023834002683782097, ""commodities"": 0.02384935193343782, ""epstein"": 0.06799146423170106, ""2025-predictions"": 0.023855117715143998, ""2026-fifa-world-cup"": 0.023854504121316587, ""claude-5"": 0.023979534491245912, ""anthropic"": 0.02383574779026671, ""basketball"": 0.024083710407240798, ""crypto-prices"": 0.023838441773713304, ""delaware-midterm"": 0.023827227992963166, ""base"": 0.023836966801955527, ""comex-gold-futures"": 0.02390737121712692, ""celebrities"": 0.02383267726620116, ""extended"": 0.023840739167762543, ""congress"": 0.02409805700816834, ""fdv"": 0.023871854815295322, ""formula1"": 0.02385006525327723, ""awards"": 0.023851188798746766, ""best-of-2025"": 0.024183950517414007, ""bitcoin"": 0.023837986324715375, ""business"": 0.023835396707847113, ""democratic-primary"": 0.023843402021778672, ""foreign-policy"": 0.02384018679602549, ""california-midterm"": 0.02390950019497228, ""2026-nfl-draft"": 0.023834541866150964, ""economic-policy"": 0.023836199387111758, ""bundesliga"": 0.02383470876766101, ""abraham-accords"": 0.023949297912940797, ""colombia-election"": 0.023834541866150964, ""big-tech"": 0.02400805972905673, ""champions-league"": 0.02384645476630891, ""fifa-world-cup"": 0.023835506501779947, ""bernie-sanders"": 0.023992231048623105, ""brazil"": 0.023839976990113185, ""airdrops"": 0.023831507273445563, ""climate-science"": 0.02385271300639622, ""felix"": 0.024409093551263097, ""colorado-midterm"": 0.023906991329368025}"
0.009985188151251342,0.796875,144,0.239375,0.088125,0.1875,online,-0.015491045745756308,-0.0922852251739873,9.095885132926668e-05,0.004168152440865073,12.228445449938514,1.2750930481971074,0.05500000000000001,0.01875,0.96875,2.375,0.0,0.09237068036140103,0.12,"{""acquisitions"": 0.023214342736075776, ""connecticut-primary"": 0.023205276685552716, ""comex-silver-futures"": 0.023184019462365913, ""commodities"": 0.02320996792810031, ""epstein"": 0.09237068036140103, ""2025-predictions"": 0.023209161574566577, ""2026-fifa-world-cup"": 0.02322191149253203, ""claude-5"": 0.023258811605485156, ""anthropic"": 0.023203916185218245, ""basketball"": 0.02336224836381388, ""crypto-prices"": 0.023203185991051024, ""delaware-midterm"": 0.023196504623836715, ""base"": 0.023203870916382745, ""comex-gold-futures"": 0.023221509910002307, ""celebrities"": 0.023200467353234475, ""extended"": 0.023200230276286805, ""congress"": 0.023276810257729708, ""fdv"": 0.02321095690826127, ""formula1"": 0.02321099732205158, ""awards"": 0.023266622872414405, ""best-of-2025"": 0.024021027402357138, ""bitcoin"": 0.02320396833809732, ""business"": 0.02319255679144118, ""democratic-primary"": 0.023208638902187696, ""foreign-policy"": 0.02320170368734603, ""california-midterm"": 0.02325500302229761, ""2026-nfl-draft"": 0.02320321695275058, ""economic-policy"": 0.02320419549604452, ""bundesliga"": 0.023203344095579066, ""abraham-accords"": 0.023237531282929953, ""colombia-election"": 0.02320321695275058, ""big-tech"": 0.023276528420716005, ""champions-league"": 0.023206106504643536, ""fifa-world-cup"": 0.02320371011454198, ""bernie-sanders"": 0.02326212368676841, ""brazil"": 0.023204947098745037, ""airdrops"": 0.02319387171521669, ""climate-science"": 0.023212096069414514, ""felix"": 0.024456272153563656, ""colorado-midterm"": 0.023218448486245914}"
