token_a,token_b,corr,abs_corr
94195159380649683762164114216519545499991614727769221572315275622082093227806,94387913280398317052582281843978069916338462525042652614881277797162415545237,0.8588249132298738,0.8588249132298738
94387913280398317052582281843978069916338462525042652614881277797162415545237,46016408901619903295207375832539898750164493226855442884509133805980187874445,-0.2654161083369372,0.2654161083369372
94195159380649683762164114216519545499991614727769221572315275622082093227806,46016408901619903295207375832539898750164493226855442884509133805980187874445,-0.26163351746612157,0.26163351746612157
94387913280398317052582281843978069916338462525042652614881277797162415545237,14587289270105478078575182270076077995644333043562861626184773368461008874205,-0.18507981054532344,0.18507981054532344
94195159380649683762164114216519545499991614727769221572315275622082093227806,14587289270105478078575182270076077995644333043562861626184773368461008874205,-0.16015897971385515,0.16015897971385515
36553834009124167357981460132800746681781045509640776189348736916365216865880,11966409881281293602137861492007400834690026843003461391578987664208256196909,0.09973443626596502,0.09973443626596502
14587289270105478078575182270076077995644333043562861626184773368461008874205,46016408901619903295207375832539898750164493226855442884509133805980187874445,0.05328401027172858,0.05328401027172858
19492530427143824685987034788783271266048069021010222880965233900093546828095,14587289270105478078575182270076077995644333043562861626184773368461008874205,-0.050360181206590186,0.050360181206590186
113379015922744700109400673843380371641970914885846970213129353605968934558386,14587289270105478078575182270076077995644333043562861626184773368461008874205,-0.0280778392255831,0.0280778392255831
11966409881281293602137861492007400834690026843003461391578987664208256196909,46016408901619903295207375832539898750164493226855442884509133805980187874445,0.02793569787597076,0.02793569787597076
11966409881281293602137861492007400834690026843003461391578987664208256196909,100075392620587674415757008337155597840247947392028754376271407831307492671931,-0.02141008047708554,0.02141008047708554
94195159380649683762164114216519545499991614727769221572315275622082093227806,19492530427143824685987034788783271266048069021010222880965233900093546828095,-0.009307784447973309,0.009307784447973309
9556122149160720922715284597610520228366807023831966638741974320131898296289,92206458231325096769152348269441704588222763710040504959674288895806154976594,0.004548344379078174,0.004548344379078174
100075392620587674415757008337155597840247947392028754376271407831307492671931,70026524713009669538763377800911903794570186848119999786864842995489783143838,0.0012338149566109855,0.0012338149566109855
94195159380649683762164114216519545499991614727769221572315275622082093227806,11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.0011089932181738273,0.0011089932181738273
9556122149160720922715284597610520228366807023831966638741974320131898296289,70026524713009669538763377800911903794570186848119999786864842995489783143838,0.0010794019105581953,0.0010794019105581953
30168634295384984099987626703440157654602987915064535215384295190163901851184,70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.0010767316056826542,0.0010767316056826542
