step,103367863677987537227281870345670478293273189433945337168589532296599991222509,103950812176015306889097643332505690876545410954871160290129574415932884036868,104812555872482040859204311862207595317318459151981099582262357665296846969541,108548893345759572446077602443398325305734327289834850738242401844282632332811,115394635451048754011327777276076337527696490170069916864086987480603951060926,11843131838379676792721059608342146205696413823676149302931627463939711085828,19063193541024384703688685779087142926481547676681055667364352656903314720497,22667617953671803775562636820557023939003625390106866761389646733205014974047,2317130722330994677503722994963086323403276367952762140016618274858179343506,24315108267836543154857233535536136482524552716493402526894829400485516895736,37486578038105453175288714027461169500971706842986129918617327827942330885334,38980554868563368105197970502286544690071489173012608306074305645705239965852,49662274238485451283220527378586398370959042852997899886824914466317758572224,59261866601270864198456845856841875150453626184437295894384368539724334278520,64138644673486392896601522208663411538791971638384450188578511638214297352642,65396033350506725313266693161572493847482432654933099338943748693899562511370,7345183309756257693783741573478340128830660331823026035095352170224920670792,82402823484466457361170410951601106261368113664328436062375970009969959380598,88657857917663921842097927058013051966750383205171131721194307619909198186324,92206458231325096769152348269441704588222763710040504959674288895806154976594
0,0.06359440833330154,0.05881788209080696,0.05727362260222435,0.035114578902721405,0.05707960203289986,0.057502686977386475,0.033970002084970474,0.061060067266225815,0.06319689750671387,0.062235619872808456,0.0,0.06368722766637802,0.051803845912218094,0.057939086109399796,0.025838110595941544,0.031147750094532967,0.04716607183218002,0.0625886619091034,0.060054220259189606,0.04992968216538429
1,0.061475615948438644,0.06008865311741829,0.05796021968126297,0.03819772228598595,0.050699830055236816,0.05934198945760727,0.03242693096399307,0.0626734048128128,0.060934484004974365,0.06292890757322311,0.0,0.05766250565648079,0.05198695510625839,0.06086282059550285,0.026389852166175842,0.03717946633696556,0.04428340867161751,0.06307519227266312,0.05801205337047577,0.0538199283182621
2,0.06272568553686142,0.06115611270070076,0.058228809386491776,0.03690457344055176,0.0522456020116806,0.05872143805027008,0.02996928244829178,0.058542266488075256,0.06319444626569748,0.06621178984642029,0.0,0.05083424225449562,0.05223750323057175,0.06120035797357559,0.02765093371272087,0.04204676300287247,0.04017115756869316,0.06251343339681625,0.05917517840862274,0.056270480155944824
3,0.06374035775661469,0.06371909379959106,0.05741683393716812,0.0386856347322464,0.0557517372071743,0.060923319309949875,0.027874771505594254,0.055793676525354385,0.06310836970806122,0.061440132558345795,0.0,0.048151805996894836,0.05297514423727989,0.05995546281337738,0.025808358564972878,0.041041720658540726,0.04020973667502403,0.06321310997009277,0.06042876094579697,0.05976209416985512
4,0.06583601236343384,0.06641992181539536,0.056551799178123474,0.03791715204715729,0.0530267208814621,0.058609165251255035,0.026748985052108765,0.05266325920820236,0.06556661427021027,0.060931071639060974,0.0008237709989771247,0.04865388199687004,0.05371774360537529,0.061290204524993896,0.028220871463418007,0.04136710241436958,0.03938945010304451,0.06073446199297905,0.06050720810890198,0.06102466210722923
5,0.061648011207580566,0.06271480768918991,0.054625604301691055,0.041044678539037704,0.0537760891020298,0.05828343331813812,0.02376411110162735,0.053946271538734436,0.06254982948303223,0.06137889251112938,0.0017374500166624784,0.048959579318761826,0.05386412516236305,0.06130664423108101,0.035301197320222855,0.03647454455494881,0.03926249220967293,0.06392338871955872,0.061458103358745575,0.06398079544305801
6,0.0621090903878212,0.05705985799431801,0.05518783628940582,0.04454765096306801,0.04993031546473503,0.05839909613132477,0.02451287768781185,0.054496053606271744,0.062401048839092255,0.06218705326318741,0.0013655000366270542,0.05303880199790001,0.055482663214206696,0.06380745023488998,0.03539621829986572,0.035836685448884964,0.03784765303134918,0.0621638298034668,0.062009140849113464,0.06222119927406311
7,0.06183427572250366,0.057043448090553284,0.05263270065188408,0.044703803956508636,0.04593290761113167,0.059070125222206116,0.02431015856564045,0.05674610659480095,0.06587115675210953,0.061844352632761,0.0,0.05585159733891487,0.055155083537101746,0.06305018067359924,0.03470408543944359,0.03310900554060936,0.040076859295368195,0.06318745762109756,0.06239704415202141,0.06247968599200249
8,0.06066028028726578,0.052810460329055786,0.053924012929201126,0.04650949314236641,0.04475810378789902,0.05832311138510704,0.02896381914615631,0.05850328505039215,0.06004162132740021,0.06048698350787163,0.0,0.05957683175802231,0.05543281137943268,0.06265901029109955,0.03736640885472298,0.03152969107031822,0.040685344487428665,0.06322680413722992,0.06241327151656151,0.06212865933775902
9,0.06024344637989998,0.04959344118833542,0.05701692774891853,0.04499448835849762,0.042088352143764496,0.05888602137565613,0.034977879375219345,0.0624186210334301,0.06395161151885986,0.05972100421786308,0.0,0.06101939082145691,0.05497116222977638,0.06100757047533989,0.034602683037519455,0.029836207628250122,0.04017290100455284,0.060709480196237564,0.061124153435230255,0.06266473233699799
