uniform_mix,entropy_lambda,concentration_penalty_lambda,max_weight,hedge_allocation,avg_excess_capital_gain_vs_baseline,avg_drawdown_delta_vs_baseline,robust_score,robust_ok,feasible_all_windows
0.04,0.01,20.0,0.1,0.0,-0.07445337340670244,0.011893496944432425,-0.07445337340670244,False,True
0.04,0.01,20.0,0.1,0.15,-0.10751756561124015,0.01829595188846833,-0.10751756561124015,False,True
0.04,0.01,20.0,0.1,0.3,-0.13997122053824518,0.02471796605679427,-0.13997122053824518,False,True
0.04,0.02,35.0,0.14,0.0,-0.06963297580527295,0.012475404025442005,-0.06963297580527295,False,True
0.04,0.02,35.0,0.14,0.15,-0.10361743535211954,0.018791955185152753,-0.10361743535211954,False,True
0.04,0.02,35.0,0.14,0.3,-0.13691852103047175,0.025127560732971732,-0.13691852103047175,False,True
0.08,0.01,35.0,0.14,0.0,-0.07147915457636123,0.012486643509097728,-0.07147915457636123,False,True
0.08,0.01,35.0,0.14,0.15,-0.10509049316104291,0.01880367356268553,-0.10509049316104291,False,True
0.08,0.01,35.0,0.14,0.3,-0.1380541850264948,0.02513902389224093,-0.1380541850264948,False,True
0.08,0.02,50.0,0.1,0.0,-0.06659613780926643,0.012343105159634382,-0.06659613780926643,False,True
0.08,0.02,50.0,0.1,0.15,-0.10112373514803241,0.01867957513608476,-0.10112373514803241,False,True
0.08,0.02,50.0,0.1,0.3,-0.13493564298642957,0.025035081865722897,-0.13493564298642957,False,True
0.1,0.01,35.0,0.14,0.0,-0.07053562130467173,0.012758602879774872,-0.07053562130467173,False,True
0.1,0.01,35.0,0.14,0.15,-0.10432623870705193,0.019036230036592328,-0.10432623870705193,False,True
0.1,0.01,35.0,0.14,0.3,-0.13745532097719182,0.025331690788409134,-0.13745532097719182,False,True
0.1,0.02,50.0,0.18,0.0,-0.06538836620131072,0.012356438677136261,-0.06538836620131072,False,True
0.1,0.02,50.0,0.18,0.15,-0.10014223823957091,0.01869048611808577,-0.10014223823957091,False,True
0.1,0.02,50.0,0.18,0.3,-0.1341638074271152,0.025043716240358393,-0.1341638074271152,False,True
