timestamp,portfolio_return,cumulative_return,drawdown
1773954030,0.0,1.0,0.0
1773954031,0.0,1.0,0.0
1773954032,0.0,1.0,0.0
1773954033,0.0,1.0,0.0
1773954034,0.0,1.0,0.0
1773954035,0.0,1.0,0.0
1773954036,0.0,1.0,0.0
1773954037,0.0,1.0,0.0
1773954038,0.0,1.0,0.0
1773954039,0.0,1.0,0.0
1773954040,0.0,1.0,0.0
1773954041,0.0,1.0,0.0
1773954042,0.0,1.0,0.0
1773954043,0.0,1.0,0.0
1773954044,0.0,1.0,0.0
1773954045,0.0,1.0,0.0
1773954046,0.0,1.0,0.0
1773954048,0.0,1.0,0.0
1773954050,0.0,1.0,0.0
1773954052,0.0,1.0,0.0
1773957626,-0.0017045454545454525,0.9982954545454545,-0.0017045454545454586
1773957627,-0.000671140939597316,0.9976254575960952,-0.002374542403904778
1773957629,0.0,0.9976254575960952,-0.002374542403904778
1773957630,0.0,0.9976254575960952,-0.002374542403904778
1773957631,0.0,0.9976254575960952,-0.002374542403904778
1773957632,3.816793893129633e-05,0.9976635349036369,-0.002336465096363094
1773957633,0.0,0.9976635349036369,-0.002336465096363094
1773957634,-0.0006250000000000006,0.9970399951943222,-0.0029600048056778183
1773957635,-0.0008303140096618366,0.9962121389181192,-0.0037878610818807834
1773957636,0.0,0.9962121389181192,-0.0037878610818807834
1773957637,0.0,0.9962121389181192,-0.0037878610818807834
1773957638,7.26442507264425e-05,0.9962845080025154,-0.0037154919974845546
1773957639,0.0,0.9962845080025154,-0.0037154919974845546
1773957640,0.0,0.9962845080025154,-0.0037154919974845546
1773957641,-0.0005681818181818187,0.9957184372593322,-0.004281562740667821
1773957642,0.0,0.9957184372593322,-0.004281562740667821
1773957643,0.0006944444444444451,0.9964099083963179,-0.0035900916036820663
1773957645,0.0,0.9964099083963179,-0.0035900916036820663
1773957646,0.0,0.9964099083963179,-0.0035900916036820663
1773961227,0.0010343270099367626,0.9974405220775407,-0.0025594779224592523
1773961228,-0.0003448275862068969,0.9970965770699278,-0.0029034229300721748
1773961229,4.0085515766971056e-05,0.9971365462004891,-0.0028634537995109177
1773961230,0.0001689189189189191,0.9973049814278878,-0.0026950185721121844
1773961231,0.0004761904761904767,0.9977798885619011,-0.0022201114380988596
1773961232,0.0,0.9977798885619011,-0.0022201114380988596
1773961233,0.00013661202185792363,0.9979161972898468,-0.002083802710153182
1773961234,0.0,0.9979161972898468,-0.002083802710153182
1773961235,0.0,0.9979161972898468,-0.002083802710153182
1773961236,0.0,0.9979161972898468,-0.002083802710153182
1773961237,-0.001470588235294119,0.996448673470303,-0.0035513265296970298
1773961238,0.0,0.996448673470303,-0.0035513265296970298
1773961239,-0.012790697674418603,0.9837033997398689,-0.016296600260131133
1773961240,0.0,0.9837033997398689,-0.016296600260131133
1773961241,0.0,0.9837033997398689,-0.016296600260131133
1773961242,-0.0010135135135135144,0.9827064030509433,-0.017293596949056744
1773961243,0.0,0.9827064030509433,-0.017293596949056744
1773961244,0.0,0.9827064030509433,-0.017293596949056744
1773964832,-0.0017441860465116255,0.9809923802549242,-0.01900761974507581
1773964833,0.0008741258741258751,0.9818498910768253,-0.0181501089231747
1773964834,0.0,0.9818498910768253,-0.0181501089231747
1773964835,0.0,0.9818498910768253,-0.0181501089231747
1773964836,0.0,0.9818498910768253,-0.0181501089231747
1773964837,0.0,0.9818498910768253,-0.0181501089231747
1773964838,0.0,0.9818498910768253,-0.0181501089231747
1773964839,0.0,0.9818498910768253,-0.0181501089231747
1773964840,0.0006410256410256417,0.9824792820326438,-0.017520717967356214
1773964841,-0.0002717391304347829,0.9822123039668741,-0.01778769603312591
1773964842,0.0,0.9822123039668741,-0.01778769603312591
1773964843,0.0,0.9822123039668741,-0.01778769603312591
1773964844,0.0,0.9822123039668741,-0.01778769603312591
1773964845,0.0,0.9822123039668741,-0.01778769603312591
1773964846,-0.0003521126760563335,0.981866454564069,-0.018133545435931042
1773964847,0.0,0.981866454564069,-0.018133545435931042
1773964848,0.0,0.981866454564069,-0.018133545435931042
1773964849,0.0,0.981866454564069,-0.018133545435931042
1773964850,0.0,0.981866454564069,-0.018133545435931042
1773964852,0.0,0.981866454564069,-0.018133545435931042
1773964854,0.0,0.981866454564069,-0.018133545435931042
1773964855,0.0,0.981866454564069,-0.018133545435931042
1773964856,0.0,0.981866454564069,-0.018133545435931042
1773968426,-0.0018750000000000017,0.9800254549617614,-0.01997454503823859
1773968427,-0.0003378378378378382,0.9796943652810312,-0.020305634718968846
1773968428,0.0,0.9796943652810312,-0.020305634718968846
