label,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,celebrities::19492530427143824685987034788783271266048069021010222880965233900093546828095,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,climate-science::14587289270105478078575182270076077995644333043562861626184773368461008874205,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,comex-gold-futures::91179457738197972030536046159970584284769890945507129337353196559348761227632,business::391670908629060088409431896998377161667071768186645889213963384874929102170,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,elon-musk::32431890167345181985795456212069136470689842825539004695200064630822423107335,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,0.9999999999999999,-0.00017761768268636832,-0.0011089932181738273,-0.0002775496584362128,0.0005678303241555875,-0.0001604272603917593,0.8588249132298738,-0.0004396369045328898,-0.009307784447973309,0.00043890838499780903,0.0004389083849978079,-0.16015897971385515,0.000649060873347978,-0.0005664255831890757,-0.0007550939963460009,-0.00026853175197981335,0.00037611011441396363,0.0003352887759500026,-0.00044028449063588846,0.7499629984623427
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-0.00017761768268636832,1.0,-1.1278492194231989e-05,-0.00012410534333711165,0.00025390331133389734,-7.173447931346053e-05,-0.0001709250599750412,-0.00019658207935880278,0.0002291405787131067,0.00019625632443790058,0.00019625632443789957,-0.00013933637819905706,0.00029022526270571517,-0.0002532751864032772,-0.0003376375968044699,-0.00012007301851545166,0.00016817630093617853,0.00014992318452416707,-0.00019687164518318392,-7.140736885640503e-05
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.0011089932181738273,-1.1278492194231989e-05,1.0,0.09973443626596502,3.605648819292353e-05,-1.0186922702202095e-05,-2.4272851639815436e-05,-2.7916372520326416e-05,3.253996384483812e-05,2.78701124759108e-05,2.7870112475910874e-05,-1.978698288331169e-05,-0.02141008047708554,-3.596728896576782e-05,-4.794748819427502e-05,-1.705141753231536e-05,2.3882503844392636e-05,2.1290401862988637e-05,-2.7957493396904422e-05,-0.015996574117907503
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.00027754965843621287,-0.00012410534333711165,0.09973443626596502,1.0,0.0003967554146114157,-0.00011209402087914317,-0.0002670916053894899,-0.0003071838803181541,0.00035806057366484354,0.0003066748478521157,0.0003066748478521154,-0.00021773037229167727,0.00045351296850196704,-0.00039577389150339463,-0.0005276006209009101,-0.0001876289836255519,0.00026279632847324,0.00023427357021558087,-0.00030763636283248446,-0.00011158287021974089
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.0005678303241555876,0.00025390331133389734,3.605648819292353e-05,0.0003967554146114157,1.0,0.0002293297155194745,0.000546434514537148,0.004548344379078174,-0.0007325451335698868,-0.0006274166549055201,-0.0006274166549055222,0.0004454478833570754,-0.0009278282573437172,0.0008097016525650992,0.0010794019105581953,0.00038386437653484327,-0.0005376469393787542,-0.0004792931040380407,0.0006293837888809762,0.00022828396808005245
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-0.0001604272603917593,-7.173447931346053e-05,-1.0186922702202095e-05,-0.00011209402087914316,0.0002293297155194745,0.9999999999999999,-0.00015438237167248522,-0.0001775562205106298,0.00020696360143622393,0.00017726199322014698,0.00017726199322014636,-0.00012585094619692246,0.00026213630922419215,-0.0002287623825812248,-0.0003049599220154373,-0.00010845195768834136,0.00015189964655518506,0.0001354131266586239,-0.00017781776120413516,-6.449632933025456e-05
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,0.8588249132298738,-0.0001709250599750412,-2.4272851639815436e-05,-0.0002670916053894899,0.000546434514537148,-0.00015438237167248522,1.0,-0.0004230714146136939,0.0004931417405785604,0.00042237034564719927,0.0004223703456472006,-0.18507981054532344,0.0006246043019283989,-0.0005450827041187234,-0.0007266421037601837,-0.0002584134930608166,0.00036193830980748,0.00032265511671722197,-0.0004236945997145019,0.7483869164287869
airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,-0.0004396369045328898,-0.0001965820793588028,-2.7916372520326416e-05,-0.00030718388031815414,0.004548344379078174,-0.0001775562205106298,-0.00042307141461369387,1.0,0.0005671656853343226,0.00048577102046329384,0.00048577102046329146,-0.0003448835334059805,0.0007183616753884181,-0.0006269033423994506,-0.0008357160484699607,-0.00029720312403391986,0.00041626772312939046,0.0003710878543455923,-0.00048729405411432976,-0.0001767465610971941
celebrities::19492530427143824685987034788783271266048069021010222880965233900093546828095,-0.009307784447973309,0.00022914057871310667,3.2539963844838125e-05,0.00035806057366484354,-0.0007325451335698868,0.00020696360143622393,0.0004931417405785603,0.0005671656853343225,1.0,-0.0005662258386627839,-0.0005662258386627854,-0.050360181206590186,-0.0008373388386200812,0.0007307329088344891,0.0009741297864528072,0.00034642677531239604,-0.00048521120179709974,-0.0004325485109095536,0.0005680011216048455,0.00020601984386095572
california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,0.000438908384997809,0.00019625632443790058,2.78701124759108e-05,0.0003066748478521157,-0.0006274166549055202,0.00017726199322014695,0.0004223703456471992,0.0004857710204632939,-0.000566225838662784,1.0,-0.00048496605237633984,0.0003443120290831379,-0.0007171712827976466,0.000625864504834061,0.0008343311886894754,0.0002967106306160087,-0.00041557792851705804,-0.0003704729270081875,0.0004864865622179475,0.00017645367548819256
