step,portfolio_return,cumulative_return,drawdown
0,-0.01098832707748422,0.9890116729225158,0.0
1,0.0,0.9890116729225158,0.0
2,0.0,0.9890116729225158,0.0
3,0.0,0.9890116729225158,0.0
4,0.0,0.9890116729225158,0.0
5,0.0,0.9890116729225158,0.0
6,0.0,0.9890116729225158,0.0
7,0.0,0.9890116729225158,0.0
8,-0.00022236641737883532,0.9887917499400621,-0.00022236641737882756
9,0.0,0.9887917499400621,-0.00022236641737882756
10,0.0,0.9887917499400621,-0.00022236641737882756
11,0.0,0.9887917499400621,-0.00022236641737882756
12,0.0,0.9887917499400621,-0.00022236641737882756
13,0.00022260296853786164,0.9890118579188646,0.0
14,0.0,0.9890118579188646,0.0
15,0.0,0.9890118579188646,0.0
16,0.0,0.9890118579188646,0.0
17,0.0,0.9890118579188646,0.0
18,0.0,0.9890118579188646,0.0
19,0.0,0.9890118579188646,0.0
20,0.0,0.9890118579188646,0.0
21,0.0,0.9890118579188646,0.0
22,0.0,0.9890118579188646,0.0
23,0.0,0.9890118579188646,0.0
24,0.0,0.9890118579188646,0.0
25,0.0,0.9890118579188646,0.0
26,0.0,0.9890118579188646,0.0
27,0.0,0.9890118579188646,0.0
28,0.0,0.9890118579188646,0.0
29,0.0,0.9890118579188646,0.0
30,0.0,0.9890118579188646,0.0
31,0.005619748395847435,0.9945698557208781,0.0
32,0.0,0.9945698557208781,0.0
33,0.0,0.9945698557208781,0.0
34,0.01990783684663166,1.0143695901411474,0.0
35,0.0,1.0143695901411474,0.0
36,0.0,1.0143695901411474,0.0
37,0.0,1.0143695901411474,0.0
38,0.0,1.0143695901411474,0.0
39,0.0,1.0143695901411474,0.0
40,0.0,1.0143695901411474,0.0
41,0.0,1.0143695901411474,0.0
42,0.0,1.0143695901411474,0.0
43,0.0,1.0143695901411474,0.0
44,0.04298920209381009,1.0579765294495405,0.0
45,-0.004352338777364113,1.0533718571748762,-0.004352338777363962
46,0.0,1.0533718571748762,-0.004352338777363962
47,0.00312257415710353,1.0566610889139105,-0.0012433551208497207
48,0.0,1.0566610889139105,-0.0012433551208497207
49,-0.0002221711186240417,1.05642632933778,-0.0014652500018756953
50,0.0,1.05642632933778,-0.0014652500018756953
51,0.0,1.05642632933778,-0.0014652500018756953
52,0.0,1.05642632933778,-0.0014652500018756953
53,0.0,1.05642632933778,-0.0014652500018756953
54,0.00022316914799366296,1.0566620911016165,-0.0012424078524765347
55,0.0,1.0566620911016165,-0.0012424078524765347
56,0.0,1.0566620911016165,-0.0012424078524765347
57,0.0005053477506802888,1.0571960729125838,-0.0007376879498099953
58,0.0,1.0571960729125838,-0.0007376879498099953
59,0.0,1.0571960729125838,-0.0007376879498099953
60,0.007154398858387532,1.0647596752897213,0.0
61,0.0,1.0647596752897213,0.0
62,0.0007477150054144637,1.0655558120760957,0.0
63,0.0,1.0655558120760957,0.0
64,0.0,1.0655558120760957,0.0
65,0.0,1.0655558120760957,0.0
66,-0.0014711780442783731,1.0639881897604162,-0.0014711780442783207
67,0.0,1.0639881897604162,-0.0014711780442783207
68,-0.016671147674554233,1.0462502855249387,-0.018117799492400777
69,0.0,1.0462502855249387,-0.018117799492400777
70,0.0,1.0462502855249387,-0.018117799492400777
71,0.0,1.0462502855249387,-0.018117799492400777
72,0.0,1.0462502855249387,-0.018117799492400777
73,0.0,1.0462502855249387,-0.018117799492400777
74,0.006231887283115888,1.052770399374258,-0.011998820293539492
75,0.0,1.052770399374258,-0.011998820293539492
76,0.0,1.052770399374258,-0.011998820293539492
77,-0.00022222819046789323,1.052536444113427,-0.01221838200788572
78,0.0,1.052536444113427,-0.01221838200788572
79,0.0,1.052536444113427,-0.01221838200788572
80,0.0,1.052536444113427,-0.01221838200788572
81,0.0,1.052536444113427,-0.01221838200788572
82,0.0,1.052536444113427,-0.01221838200788572
83,0.00022316102976066487,1.0527713292301561,-0.01199794764483586
84,0.0,1.0527713292301561,-0.01199794764483586
85,0.0,1.0527713292301561,-0.01199794764483586
86,0.0,1.0527713292301561,-0.01199794764483586
87,0.0,1.0527713292301561,-0.01199794764483586
88,0.0,1.0527713292301561,-0.01199794764483586
89,0.0,1.0527713292301561,-0.01199794764483586
90,0.0,1.0527713292301561,-0.01199794764483586
91,0.0,1.0527713292301561,-0.01199794764483586
92,0.0,1.0527713292301561,-0.01199794764483586
93,0.0,1.0527713292301561,-0.01199794764483586
94,0.0,1.0527713292301561,-0.01199794764483586
95,0.0,1.0527713292301561,-0.01199794764483586
96,0.0,1.0527713292301561,-0.01199794764483586
97,0.0004956911506223525,1.0532931786616846,-0.01150820377068662
98,0.0,1.0532931786616846,-0.01150820377068662
99,0.0,1.0532931786616846,-0.01150820377068662
100,0.0,1.0532931786616846,-0.01150820377068662
101,0.0,1.0532931786616846,-0.01150820377068662
102,0.0,1.0532931786616846,-0.01150820377068662
103,0.0012214181775257113,1.0545796900963658,-0.010300841922437076
104,0.0,1.0545796900963658,-0.010300841922437076
105,0.0,1.0545796900963658,-0.010300841922437076
106,0.004748584288493745,1.059587450643722,-0.005601172050054504
107,-0.0034517055207171606,1.0559300667906524,-0.00903354397428402
108,-0.013625196019279006,1.0415428126479793,-0.02253565618616471
109,0.0,1.0415428126479793,-0.02253565618616471
110,-0.006238074162172855,1.035045591339603,-0.028633151253755096
111,0.006770051294609546,1.0420529030852317,-0.022056947861859744
112,-0.003029080749806948,1.0388964406962158,-0.02501921633549875
113,0.0,1.0388964406962158,-0.02501921633549875
114,0.0,1.0388964406962158,-0.02501921633549875
115,0.0,1.0388964406962158,-0.02501921633549875
116,0.0,1.0388964406962158,-0.02501921633549875
117,0.0,1.0388964406962158,-0.02501921633549875
118,0.0,1.0388964406962158,-0.02501921633549875
119,0.0,1.0388964406962158,-0.02501921633549875
120,-0.005565470278990829,1.0331144934325718,-0.03044544290957063
121,0.0,1.0331144934325718,-0.03044544290957063
122,0.0,1.0331144934325718,-0.03044544290957063
123,0.0,1.0331144934325718,-0.03044544290957063
124,0.0,1.0331144934325718,-0.03044544290957063
125,0.0,1.0331144934325718,-0.03044544290957063
126,0.00044480483406873544,1.0335740277533971,-0.030014180355683373
127,0.0,1.0335740277533971,-0.030014180355683373
128,0.0,1.0335740277533971,-0.030014180355683373
129,0.0,1.0335740277533971,-0.030014180355683373
130,-0.0005752718987979518,1.0329794416599032,-0.030572185939957253
131,0.0,1.0329794416599032,-0.030572185939957253
132,-0.0004410043262085712,1.0325238932572467,-0.030999707799904574
133,0.0,1.0325238932572467,-0.030999707799904574
134,0.0,1.0325238932572467,-0.030999707799904574
135,0.006146172842941229,1.0388699635696723,-0.025044064519182285
136,0.0,1.0388699635696723,-0.025044064519182285
137,0.0,1.0388699635696723,-0.025044064519182285
138,0.0,1.0388699635696723,-0.025044064519182285
139,-0.004776455474399368,1.0339078474449908,-0.029700898134507936
140,-0.002908666672550482,1.0309005541466392,-0.032523174794509724
141,-0.006250179159672559,1.024457240987417,-0.03857007828487513
142,0.0,1.024457240987417,-0.03857007828487513
143,0.025704975455278646,1.0507908892219813,-0.01385654574521722
144,0.014843638315186748,1.0663884491264857,0.0
145,0.0,1.0663884491264857,0.0
146,-0.0037055948454877757,1.0624368455861148,-0.003705594845487825
147,-0.008325405144322808,1.0535916284063542,-0.012000149411421135
148,0.0,1.0535916284063542,-0.012000149411421135
149,0.0006670587541694846,1.0542944359254023,-0.011341095461967932
150,0.0,1.0542944359254023,-0.011341095461967932
151,0.0,1.0542944359254023,-0.011341095461967932
152,0.0,1.0542944359254023,-0.011341095461967932
