category_a,category_b,correlation,abs_correlation
economic-policy,taylor-swift,0.0804165941768254,0.0804165941768254
basketball,economic-policy,-0.03676471101312906,0.03676471101312906
basketball,taylor-swift,-0.02351374700503559,0.02351374700503559
new-mexico-primary,south-carolina-primary,0.015083699395761988,0.015083699395761988
primaries,ufc,0.011306715915039556,0.011306715915039556
primaries,usdptai,0.010850714993536972,0.010850714993536972
ligue-1,new-mexico-primary,0.01031136299218196,0.01031136299218196
taylor-swift,ufc,-0.006049527483859835,0.006049527483859835
economic-policy,ufc,-0.005541071779849437,0.005541071779849437
2026-nfl-draft,congress,0.005433749357241785,0.005433749357241785
basketball,ufc,-0.0053436162226530816,0.0053436162226530816
2026-nfl-draft,serie-a,0.005307412440680749,0.005307412440680749
basketball,new-mexico-primary,-0.002989653422831293,0.002989653422831293
grooming-gangs,west-virginia-primary,0.002927286471275725,0.002927286471275725
congress,serie-a,0.0026921133885547135,0.0026921133885547135
airdrops,natural-disasters,-0.0018005883985462614,0.0018005883985462614
league-of-legends,south-dakota-primary,-0.0012063631090306,0.0012063631090306
congress,la-liga,0.001021565397357708,0.001021565397357708
natural-disasters,west-virginia-primary,0.0009429038477863493,0.0009429038477863493
grooming-gangs,usdptai,-0.0007927595210410742,0.0007927595210410742
league-of-legends,uefa-europa-league,0.000514830925715459,0.000514830925715459
new-mexico-primary,south-dakota-primary,0.0004312429387021836,0.0004312429387021836
congress,primaries,-0.00037175259184064695,0.00037175259184064695
south-carolina-primary,south-dakota-primary,-0.00030058256493829485,0.00030058256493829485
congress,league-of-legends,-0.00020694868691727508,0.00020694868691727508
south-dakota-primary,uefa-europa-league,-0.00020149917611820143,0.00020149917611820143
economic-policy,new-mexico-primary,0.0001995010757483405,0.0001995010757483405
grooming-gangs,league-of-legends,-0.0001919394448065696,0.0001919394448065696
congress,uefa-europa-league,-0.00018900960207774334,0.00018900960207774334
league-of-legends,ufc,-0.00017803187281407236,0.00017803187281407236
grooming-gangs,uefa-europa-league,-0.0001753014171112587,0.0001753014171112587
la-liga,league-of-legends,-0.0001709601731047313,0.0001709601731047313
congress,grooming-gangs,-0.00016912905761662204,0.00016912905761662204
league-of-legends,south-carolina-primary,-0.0001654475210035458,0.0001654475210035458
best-of-2025,league-of-legends,-0.0001648222424323342,0.0001648222424323342
league-of-legends,usdptai,-0.000164472970278712,0.000164472970278712
league-of-legends,west-virginia-primary,-0.0001643191485669174,0.0001643191485669174
uefa-europa-league,ufc,-0.00016259940538397116,0.00016259940538397116
congress,ufc,-0.00015687428347576466,0.00015687428347576466
la-liga,uefa-europa-league,-0.00015614070700812848,0.00015614070700812848
south-carolina-primary,uefa-europa-league,-0.00015110591217294925,0.00015110591217294925
best-of-2025,uefa-europa-league,-0.00015053483508281122,0.00015053483508281122
uefa-europa-league,usdptai,-0.00015021583914349594,0.00015021583914349594
uefa-europa-league,west-virginia-primary,-0.00015007535127198454,0.00015007535127198454
