learning_rate,lambda_penalty,rolling_window,domain_limit,max_weight,uniform_mix,evaluation_mode,sortino_ratio,max_drawdown,mean_return,volatility,concentration_penalty_lambda,covariance_penalty_lambda,covariance_shrinkage,entropy_lambda,variance_penalty,downside_penalty,max_domain_exposure,max_domain_exposure_threshold,domain_exposure_json
0.006625527512854787,1.6148578864202006,96,0.09224869267115947,0.06952828781120583,0.013187269381181022,online,0.018673893324948912,-0.10542236523967985,1.395057694658569e-05,0.0016232604194681265,9.996218562623252,3.8253273296093515,0.08429912288835004,0.007618822662970768,0.9322183989619903,2.8191870554392273,0.025346295908093452,0.12,"{""basketball"": 0.02495778352022171, ""big-tech"": 0.024969588965177536, ""france"": 0.024926574900746346, ""2025-predictions"": 0.025240663439035416, ""epstein"": 0.024977128952741623, ""gemini-3"": 0.02495773509144783, ""2026-fifa-world-cup"": 0.02492663636803627, ""bitcoin"": 0.024971026927232742, ""business"": 0.024988776072859764, ""anthropic"": 0.025346295908093452, ""congress"": 0.024919981136918068, ""crypto-prices"": 0.024973751977086067, ""delaware-midterm"": 0.024950040504336357, ""extended"": 0.024975979700684547, ""elon-musk"": 0.024967478588223457, ""fdv"": 0.02493938058614731, ""champions-league"": 0.02489512972533703, ""awards"": 0.02499610371887684, ""best-of-2025"": 0.025051075965166092, ""commodities"": 0.02495790459215641, ""formula1"": 0.025005385279655457, ""democratic-primary"": 0.02496817708015442, ""bundesliga"": 0.02510247565805912, ""economic-policy"": 0.02503054030239582, ""felix"": 0.025087296962738037, ""airdrops"": 0.024963611736893654, ""gensyn"": 0.024970704689621925, ""geopolitics"": 0.024970296770334244, ""claude-5"": 0.025025010108947754, ""german-elections"": 0.024976259097456932, ""colorado-midterm"": 0.024952003732323647, ""celebrities"": 0.024946168065071106, ""arkansas-midterm"": 0.024952702224254608, ""colombia-election"": 0.024943294003605843, ""fifa-world-cup"": 0.02494984120130539, ""ethereum"": 0.0249593798071146, ""databricks"": 0.025136325508356094, ""climate-science"": 0.02495543658733368, ""brazil"": 0.024953732267022133, ""california-midterm"": 0.02526235021650791}"
0.010985659704510545,1.0412169331809453,144,0.17324328627012517,0.14000412123754044,0.09355057194899614,online,0.029687379458530658,-0.07208334476519529,2.0443118071038742e-05,0.0016119112499914498,3.070385396764646,2.3985317510462467,0.08003278872816279,0.013380264817678275,0.8072736354466926,1.9815317781821409,0.02518780343234539,0.12,"{""basketball"": 0.024974731728434563, ""big-tech"": 0.024981509894132614, ""france"": 0.02495543844997883, ""2025-predictions"": 0.025085071101784706, ""epstein"": 0.024975216016173363, ""gemini-3"": 0.02500121295452118, ""2026-fifa-world-cup"": 0.02495553530752659, ""bitcoin"": 0.024981319904327393, ""business"": 0.024991897866129875, ""anthropic"": 0.02518780343234539, ""congress"": 0.02495364472270012, ""crypto-prices"": 0.02498915232717991, ""delaware-midterm"": 0.024971282109618187, ""extended"": 0.02497761882841587, ""elon-musk"": 0.024980301037430763, ""fdv"": 0.024964751675724983, ""champions-league"": 0.024925630539655685, ""awards"": 0.02502073533833027, ""best-of-2025"": 0.025049563497304916, ""commodities"": 0.024975556880235672, ""formula1"": 0.02499784529209137, ""democratic-primary"": 0.02498123236000538, ""bundesliga"": 0.025119483470916748, ""economic-policy"": 0.025002913549542427, ""felix"": 0.025060076266527176, ""airdrops"": 0.024976929649710655, ""gensyn"": 0.024981416761875153, ""geopolitics"": 0.024980466812849045, ""claude-5"": 0.02500164695084095, ""german-elections"": 0.02498248964548111, ""colorado-midterm"": 0.02497224137187004, ""celebrities"": 0.024968547746539116, ""arkansas-midterm"": 0.024972587823867798, ""colombia-election"": 0.024965574964880943, ""fifa-world-cup"": 0.02497107908129692, ""ethereum"": 0.024974094703793526, ""databricks"": 0.025068243965506554, ""climate-science"": 0.024974193423986435, ""brazil"": 0.024972885847091675, ""california-midterm"": 0.025178087875247}"
0.019749341364008303,1.0854520209902798,48,0.12692833821621816,0.08981272258010405,0.14386482450180832,online,0.00993588114497591,-0.12773926084032639,8.185721672594063e-06,0.0016558110259973237,6.22977807017394,3.583161841973537,0.04962808663904282,0.00918185955782863,1.119487743670752,2.812846538328677,0.025432558730244637,0.12,"{""basketball"": 0.024947602301836014, ""big-tech"": 0.02500973269343376, ""france"": 0.024921882897615433, ""2025-predictions"": 0.02532142587006092, ""epstein"": 0.024988826364278793, ""gemini-3"": 0.02494167722761631, ""2026-fifa-world-cup"": 0.024921949952840805, ""bitcoin"": 0.024959048256278038, ""business"": 0.024974221363663673, ""anthropic"": 0.025432558730244637, ""congress"": 0.02491726353764534, ""crypto-prices"": 0.024962687864899635, ""delaware-midterm"": 0.024940572679042816, ""extended"": 0.024987170472741127, ""elon-musk"": 0.024955492466688156, ""fdv"": 0.0249312836676836, ""champions-league"": 0.024892657995224, ""awards"": 0.024972734972834587, ""best-of-2025"": 0.025030435994267464, ""commodities"": 0.024945372715592384, ""formula1"": 0.024994835257530212, ""democratic-primary"": 0.02495461329817772, ""bundesliga"": 0.025075949728488922, ""economic-policy"": 0.025053683668375015, ""felix"": 0.025119997560977936, ""airdrops"": 0.024955887347459793, ""gensyn"": 0.024959463626146317, ""geopolitics"": 0.024962415918707848, ""claude-5"": 0.025018887594342232, ""german-elections"": 0.02497079037129879, ""colorado-midterm"": 0.02494025230407715, ""celebrities"": 0.02493654564023018, ""arkansas-midterm"": 0.024940792471170425, ""colombia-election"": 0.024942947551608086, ""fifa-world-cup"": 0.02493845857679844, ""ethereum"": 0.024955768138170242, ""databricks"": 0.025121837854385376, ""climate-science"": 0.024943260475993156, ""brazil"": 0.024942388758063316, ""california-midterm"": 0.02531677484512329}"
0.009728913091028564,1.5469580275982124,96,0.0802425696956689,0.05014885804314273,0.1365827708750835,online,0.030563041371505388,-0.07352565078620543,2.089078381631446e-05,0.0016097852659035328,19.620984765890714,2.4052451844688196,0.07569283708135752,0.019109366460058518,0.5796930360094363,1.6177053697275943,0.02514675445854664,0.12,"{""basketball"": 0.02497999556362629, ""big-tech"": 0.024990161880850792, ""france"": 0.024966437369585037, ""2025-predictions"": 0.02506599947810173, ""epstein"": 0.02498186193406582, ""gemini-3"": 0.02500077709555626, ""2026-fifa-world-cup"": 0.024966470897197723, ""bitcoin"": 0.024985259398818016, ""business"": 0.024992002174258232, ""anthropic"": 0.02514675445854664, ""congress"": 0.024964196607470512, ""crypto-prices"": 0.024991443380713463, ""delaware-midterm"": 0.0249776653945446, ""extended"": 0.024983415380120277, ""elon-musk"": 0.024984009563922882, ""fdv"": 0.024972990155220032, ""champions-league"": 0.024945348501205444, ""awards"": 0.02501550503075123, ""best-of-2025"": 0.02503543347120285, ""commodities"": 0.024980518966913223, ""formula1"": 0.024996478110551834, ""democratic-primary"": 0.024984482675790787, ""bundesliga"": 0.025091825053095818, ""economic-policy"": 0.025003649294376373, ""felix"": 0.02504761517047882, ""airdrops"": 0.024981625378131866, ""gensyn"": 0.024985069409012794, ""geopolitics"": 0.024984240531921387, ""claude-5"": 0.02499949373304844, ""german-elections"": 0.024985898286104202, ""colorado-midterm"": 0.024978110566735268, ""celebrities"": 0.024975627660751343, ""arkansas-midterm"": 0.02497835084795952, ""colombia-election"": 0.024973805993795395, ""fifa-world-cup"": 0.024977345019578934, ""ethereum"": 0.024979863315820694, ""databricks"": 0.025048786774277687, ""climate-science"": 0.02497948706150055, ""brazil"": 0.024978818371891975, ""california-midterm"": 0.025143152102828026}"
0.04449817953984232,0.6614607127005625,24,0.10228880919914536,0.07396070230276189,0.06870730594087167,online,-0.010231260413080718,-0.39522296702473947,-9.684678600869412e-06,0.0017802445488372288,8.877101363655713,4.614614906401598,0.05886601829671173,0.0027375223759490176,0.9866392545086644,1.6008378086360795,0.0256984643638134,0.12,"{""basketball"": 0.02506754733622074, ""big-tech"": 0.024647343903779984, ""france"": 0.02493041381239891, ""2025-predictions"": 0.0256984643638134, ""epstein"": 0.025147857144474983, ""gemini-3"": 0.024890633299946785, ""2026-fifa-world-cup"": 0.02491435408592224, ""bitcoin"": 0.025157000869512558, ""business"": 0.02520987018942833, ""anthropic"": 0.024711064994335175, ""congress"": 0.025103554129600525, ""crypto-prices"": 0.025017576292157173, ""delaware-midterm"": 0.025023046880960464, ""extended"": 0.024939103052020073, ""elon-musk"": 0.025076907128095627, ""fdv"": 0.025002166628837585, ""champions-league"": 0.02486875094473362, ""awards"": 0.024822132661938667, ""best-of-2025"": 0.024907687678933144, ""commodities"": 0.025020398199558258, ""formula1"": 0.02498205192387104, ""democratic-primary"": 0.02506282553076744, ""bundesliga"": 0.024613726884126663, ""economic-policy"": 0.024710698053240776, ""felix"": 0.02502911165356636, ""airdrops"": 0.025255300104618073, ""gensyn"": 0.025093309581279755, ""geopolitics"": 0.025225086137652397, ""claude-5"": 0.025317970663309097, ""german-elections"": 0.024989796802401543, ""colorado-midterm"": 0.02498255856335163, ""celebrities"": 0.024982113391160965, ""arkansas-midterm"": 0.024981850758194923, ""colombia-election"": 0.024878427386283875, ""fifa-world-cup"": 0.02497810684144497, ""ethereum"": 0.024989405646920204, ""databricks"": 0.02531868778169155, ""climate-science"": 0.024993792176246643, ""brazil"": 0.02500668726861477, ""california-midterm"": 0.024452704936265945}"
0.009206894708739796,0.976078102003191,96,0.21229631226246243,0.13760178470380083,0.17513434497401667,online,-0.013204256083634926,-0.5630451495987391,-1.5675977434415925e-05,0.0020624633426926057,17.560058025833328,5.500691110663365,0.09512890829857483,0.0008131161887337157,0.9148446086767013,1.9515289988484885,0.03059774823486805,0.12,"{""basketball"": 0.024646515026688576, ""big-tech"": 0.024640493094921112, ""france"": 0.024180805310606956, ""2025-predictions"": 0.03059774823486805, ""epstein"": 0.025483984500169754, ""gemini-3"": 0.024126725271344185, ""2026-fifa-world-cup"": 0.02421671710908413, ""bitcoin"": 0.024764474481344223, ""business"": 0.02503446862101555, ""anthropic"": 0.028097713366150856, ""congress"": 0.024557925760746002, ""crypto-prices"": 0.025044843554496765, ""delaware-midterm"": 0.024366755038499832, ""extended"": 0.025139056146144867, ""elon-musk"": 0.024701064452528954, ""fdv"": 0.024314630776643753, ""champions-league"": 0.02407553605735302, ""awards"": 0.024184195324778557, ""best-of-2025"": 0.02494058385491371, ""commodities"": 0.024439217522740364, ""formula1"": 0.02496684156358242, ""democratic-primary"": 0.024547763168811798, ""bundesliga"": 0.024144329130649567, ""economic-policy"": 0.02498115412890911, ""felix"": 0.025714542716741562, ""airdrops"": 0.0250999815762043, ""gensyn"": 0.024819735437631607, ""geopolitics"": 0.02507256343960762, ""claude-5"": 0.02640746347606182, ""german-elections"": 0.025139950215816498, ""colorado-midterm"": 0.024317825213074684, ""celebrities"": 0.02436566725373268, ""arkansas-midterm"": 0.024315577000379562, ""colombia-election"": 0.024268746376037598, ""fifa-world-cup"": 0.024298541247844696, ""ethereum"": 0.024969197809696198, ""databricks"": 0.026355188339948654, ""climate-science"": 0.024350931867957115, ""brazil"": 0.024370575323700905, ""california-midterm"": 0.025940002873539925}"
0.09449935757234572,1.5051739064816525,288,0.1527098216146836,0.10598398812977909,0.08405136673450703,online,0.0033499691393907706,-0.13293685234881758,2.087621654673479e-06,0.0014705058206287136,20.84278679862138,5.853447884414129,0.08084120959842266,0.00014286550557996992,1.194704327057221,1.1109990062254453,0.031007643789052963,0.12,"{""basketball"": 0.029107367619872093, ""big-tech"": 0.02395482547581196, ""france"": 0.02918737567961216, ""2025-predictions"": 0.004357125144451857, ""epstein"": 0.01960626430809498, ""gemini-3"": 0.02918325550854206, ""2026-fifa-world-cup"": 0.029659690335392952, ""bitcoin"": 0.0282149575650692, ""business"": 0.02953549101948738, ""anthropic"": 0.012741939164698124, ""congress"": 0.02332918345928192, ""crypto-prices"": 0.02233581244945526, ""delaware-midterm"": 0.02899336814880371, ""extended"": 0.021583938971161842, ""elon-musk"": 0.02705090492963791, ""fdv"": 0.029124988242983818, ""champions-league"": 0.0295641478151083, ""awards"": 0.029270069673657417, ""best-of-2025"": 0.026180822402238846, ""commodities"": 0.030646655708551407, ""formula1"": 0.0268014594912529, ""democratic-primary"": 0.031007643789052963, ""bundesliga"": 0.02282259613275528, ""economic-policy"": 0.01798596978187561, ""felix"": 0.02104651927947998, ""airdrops"": 0.022650182247161865, ""gensyn"": 0.02667989209294319, ""geopolitics"": 0.023903334513306618, ""claude-5"": 0.01706889271736145, ""german-elections"": 0.026116637513041496, ""colorado-midterm"": 0.030590154230594635, ""celebrities"": 0.027525270357728004, ""arkansas-midterm"": 0.03053840436041355, ""colombia-election"": 0.02893972396850586, ""fifa-world-cup"": 0.030458485707640648, ""ethereum"": 0.020809713751077652, ""databricks"": 0.01964377611875534, ""climate-science"": 0.030856071040034294, ""brazil"": 0.03093838319182396, ""california-midterm"": 0.00998876802623272}"
0.03684620650532994,1.3135988150267675,48,0.10252057809884725,0.06464865006409512,0.006734840900569639,online,0.01791409463189398,-0.08796106252976887,1.4054577927237726e-05,0.001646305104798365,12.724871528224579,0.8308554130845693,0.08257841210590226,0.017139512522235202,1.2989672074155103,2.593902714887129,0.025260072201490402,0.12,"{""basketball"": 0.024962682276964188, ""big-tech"": 0.025028273463249207, ""france"": 0.024948686361312866, ""2025-predictions"": 0.025135686621069908, ""epstein"": 0.024977903813123703, ""gemini-3"": 0.024988122284412384, ""2026-fifa-world-cup"": 0.024948805570602417, ""bitcoin"": 0.02496907487511635, ""business"": 0.024976946413517, ""anthropic"": 0.025260072201490402, ""congress"": 0.024945251643657684, ""crypto-prices"": 0.024987202137708664, ""delaware-midterm"": 0.024960242211818695, ""extended"": 0.02497897297143936, ""elon-musk"": 0.024967283010482788, ""fdv"": 0.02495429292321205, ""champions-league"": 0.024930352345108986, ""awards"": 0.025007158517837524, ""best-of-2025"": 0.02503749169409275, ""commodities"": 0.024962278082966805, ""formula1"": 0.024986648932099342, ""democratic-primary"": 0.024966876953840256, ""bundesliga"": 0.02513287030160427, ""economic-policy"": 0.025024807080626488, ""felix"": 0.025085490196943283, ""airdrops"": 0.02496667578816414, ""gensyn"": 0.024969320744276047, ""geopolitics"": 0.024969791993498802, ""claude-5"": 0.024995854124426842, ""german-elections"": 0.02497359924018383, ""colorado-midterm"": 0.02495979517698288, ""celebrities"": 0.024957885965704918, ""arkansas-midterm"": 0.024960335344076157, ""colombia-election"": 0.024960601702332497, ""fifa-world-cup"": 0.024958644062280655, ""ethereum"": 0.024965858086943626, ""databricks"": 0.025058601051568985, ""climate-science"": 0.024961436167359352, ""brazil"": 0.02496045082807541, ""california-midterm"": 0.025257747620344162}"
0.1824745383038177,0.7299525380902372,96,0.2022694640876972,0.13298796746403707,0.03294333175580257,online,0.02475776023339721,-0.07793336191137501,1.7714186400892463e-05,0.0016196747085421303,3.4377063590994617,3.6653425732496356,0.08462683674368555,0.010994282416014549,0.553293207245545,1.5630676356969875,0.025235239416360855,0.12,"{""basketball"": 0.02496963180601597, ""big-tech"": 0.02497817948460579, ""france"": 0.024948442354798317, ""2025-predictions"": 0.025136394426226616, ""epstein"": 0.02497863955795765, ""gemini-3"": 0.024980291724205017, ""2026-fifa-world-cup"": 0.02494867518544197, ""bitcoin"": 0.024979298934340477, ""business"": 0.024991139769554138, ""anthropic"": 0.025235239416360855, ""congress"": 0.02494160085916519, ""crypto-prices"": 0.024983765557408333, ""delaware-midterm"": 0.02496742270886898, ""extended"": 0.024979259818792343, ""elon-musk"": 0.02497681975364685, ""fdv"": 0.024957595393061638, ""champions-league"": 0.02492072992026806, ""awards"": 0.025010596960783005, ""best-of-2025"": 0.025042444467544556, ""commodities"": 0.024970272555947304, ""formula1"": 0.025000762194395065, ""democratic-primary"": 0.02497771382331848, ""bundesliga"": 0.02509801648557186, ""economic-policy"": 0.025012118741869926, ""felix"": 0.025071514770388603, ""airdrops"": 0.024972479790449142, ""gensyn"": 0.024978607892990112, ""geopolitics"": 0.02497795782983303, ""claude-5"": 0.025010664016008377, ""german-elections"": 0.02498231641948223, ""colorado-midterm"": 0.024966688826680183, ""celebrities"": 0.024963850155472755, ""arkansas-midterm"": 0.024967821314930916, ""colombia-election"": 0.024959882721304893, ""fifa-world-cup"": 0.02496502920985222, ""ethereum"": 0.02497287653386593, ""databricks"": 0.025088408961892128, ""climate-science"": 0.0249694362282753, ""brazil"": 0.024967290461063385, ""california-midterm"": 0.025200070813298225}"
0.09845268520219505,0.3283409564789933,48,0.16920237225066742,0.11663654924083541,0.18813227867927762,online,0.010781590381494387,-0.11892596336124239,9.19792746765688e-06,0.0016750699233668094,7.907244346352449,0.748255999281721,0.046508576876992454,0.011806917086126703,1.9888365787589604,1.4832058333076996,0.025406384840607643,0.12,"{""basketball"": 0.024941077455878258, ""big-tech"": 0.025056151673197746, ""france"": 0.02492331899702549, ""2025-predictions"": 0.025250477716326714, ""epstein"": 0.02497335523366928, ""gemini-3"": 0.024964971467852592, ""2026-fifa-world-cup"": 0.02492332272231579, ""bitcoin"": 0.02495100162923336, ""business"": 0.024962088093161583, ""anthropic"": 0.025406384840607643, ""congress"": 0.024919681251049042, ""crypto-prices"": 0.024974292144179344, ""delaware-midterm"": 0.02493921108543873, ""extended"": 0.024975139647722244, ""elon-musk"": 0.024948323145508766, ""fdv"": 0.024928130209445953, ""champions-league"": 0.02489589899778366, ""awards"": 0.02500716596841812, ""best-of-2025"": 0.025043897330760956, ""commodities"": 0.024941207841038704, ""formula1"": 0.02498083934187889, ""democratic-primary"": 0.024947231635451317, ""bundesliga"": 0.02515091933310032, ""economic-policy"": 0.025053970515727997, ""felix"": 0.02512906678020954, ""airdrops"": 0.024948880076408386, ""gensyn"": 0.024950971826910973, ""geopolitics"": 0.024953311309218407, ""claude-5"": 0.02499871887266636, ""german-elections"": 0.02496093325316906, ""colorado-midterm"": 0.02493700198829174, ""celebrities"": 0.02493516355752945, ""arkansas-midterm"": 0.02493872679769993, ""colombia-election"": 0.024942245334386826, ""fifa-world-cup"": 0.02493571676313877, ""ethereum"": 0.02494857832789421, ""databricks"": 0.025089960545301437, ""climate-science"": 0.024939507246017456, ""brazil"": 0.02493666671216488, ""california-midterm"": 0.025396503508090973}"
