category,2025-predictions,2026-fifa-world-cup,2026-nfl-draft,abraham-accords,acquisitions,airdrops,anthropic,awards,base,basketball,bernie-sanders,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,comex-gold-futures,comex-silver-futures,commodities,congress,connecticut-primary,crypto-prices,delaware-midterm,democratic-primary,economic-policy,epstein,extended,fdv,felix,fifa-world-cup,foreign-policy,formula1
bitcoin,-2.4744613341799704e-12,-3.1451427442472222e-12,0.0,-1.5578861056558492e-11,-2.7666534517686653e-12,1.0654005304374837e-12,-3.9840446875211365e-13,-3.3417141657636113e-11,-1.0972092973714251e-12,-2.0703443185771757e-10,3.2519986715463655e-08,-1.4628002740230739e-09,-3.477347137440532e-11,1.42939647868528e-06,-4.742769400080102e-13,-2.243910102558091e-13,-4.600942679093006e-09,-1.9281869437741392e-11,1.2483561704032505e-12,-2.257068851695244e-12,-1.1059576212810973e-12,-2.9456481243608957e-09,-2.3588570581854955e-11,-2.8569939884154252e-11,-4.115638378924517e-12,-8.129609110597042e-10,-4.632105470579321e-09,-3.004337655124798e-11,-3.650633004816883e-13,-6.389246657824771e-13,3.0318343424352254e-12,-2.943413620418871e-12,-5.95636761519198e-13,-1.4072622484876883e-11,-1.0027317936950986e-12,-4.355050139685579e-12,-1.6203987240774297e-09,1.9094420743632817e-09,-2.7993659275663194e-13,-3.3697957974075e-12
brazil,-2.297902939717205e-12,-2.9207297192337184e-12,0.0,-1.4467274200174648e-11,-2.5692464910159928e-12,9.89381800818644e-13,-3.699774117688125e-13,-3.103275326685781e-11,-1.0189209405247273e-12,3.5675296172601466e-07,-1.9795692115559038e-11,-1.3584261768267993e-09,-3.229230580072114e-11,-4.742769400080102e-13,1.1135897290413726e-06,-2.083802058210811e-13,-1.1664663220424314e-08,-1.7906064585527902e-11,1.1592831434296063e-12,-2.0960219009328877e-12,3.63532685485961e-08,2.728200699265697e-09,-2.1905472894252438e-11,-2.6531410267138354e-11,-2.0453585745732695e-09,4.806519311295536e-12,-1.3015161899963201e-12,-2.7899713906417695e-11,-3.3901521101665434e-13,-5.933359505272764e-13,2.8155061273260696e-12,-2.733394423155433e-12,-1.2803483745999946e-09,-1.3068509146147457e-11,-9.311846197195836e-13,-4.044307494468458e-12,-1.5047796221894327e-09,-6.716966973704173e-13,-2.5996248579235677e-13,-3.1293532706073834e-12
bundesliga,3.8620136407000554e-10,-1.3818624459620235e-12,0.0,-6.844790458015848e-12,-1.2155678825652614e-12,4.680986214733967e-13,-5.3432231155283694e-11,-1.4682288488346234e-11,-4.820742480357085e-13,-9.096347277991598e-11,-9.365783949874096e-12,-6.427017560054349e-10,8.253778184688282e-09,-2.243910102558091e-13,-2.083802058210811e-13,9.749793639106194e-09,3.6076382159841085e-12,-8.471758972687472e-12,5.484827403209628e-13,-9.916747625567359e-13,-4.859179464813312e-13,-1.6648127393376686e-12,-1.0363968344715455e-11,1.4013965054397645e-08,1.3543766700172377e-10,2.274071608999663e-12,-6.157763705159051e-13,-8.923890433950794e-10,-1.6039566606547587e-13,-2.8072048655301817e-13,1.3320788151352902e-12,-4.44284320309548e-10,-8.519816595546187e-12,-6.183003478497728e-12,-4.4056423563411633e-13,-3.6829825145527133e-10,9.69596901978405e-08,-3.1779470556977384e-13,-1.2299405662559544e-13,-1.4805669063879407e-12
business,3.978306110832368e-11,5.056591681609044e-11,0.0,2.5046856576424725e-10,2.567154426028629e-08,-1.712893785073202e-11,6.405333196062043e-12,5.372628661709277e-10,1.7640342131435694e-11,3.3285884650333636e-09,-7.000271505127533e-09,2.3518117614882753e-08,5.590692073170283e-10,-4.600942679093006e-09,-1.1664663220424314e-08,3.6076382159841085e-12,1.2595198945757074e-05,3.100035468440786e-10,-2.0070400424567148e-11,3.6287941465222466e-11,1.778099298740473e-11,-8.05663342307601e-09,3.792443761206664e-10,4.5933215790119454e-10,6.616902469512136e-11,-8.321415503440313e-11,2.2532848200489938e-11,4.830212817346768e-10,5.869291789227149e-12,1.0272287819305529e-11,-4.8744205152570597e-11,4.7322624245808933e-11,9.576328130312994e-12,2.2625207051606675e-10,1.6121383540248727e-11,7.00181584750159e-11,2.6051900900349845e-08,1.1628929271065573e-11,4.500670276098278e-12,5.417776801723595e-11
california-midterm,-9.342192446352993e-11,-1.18743131614713e-10,0.0,4.766863829829667e-08,-1.0445347689116884e-10,4.0223610085582815e-11,-1.5041541232257625e-11,-1.2616457734063532e-09,-4.142453255737657e-11,-7.81647091720333e-09,-8.047997248095609e-10,-5.522721847269857e-08,-1.3128532546464477e-09,-1.9281869437741392e-11,-1.7906064585527902e-11,-8.471758972687472e-12,3.100035468440786e-10,6.0609962491709795e-05,4.7130999480189485e-11,-8.521439105126942e-11,-4.17548207070755e-11,-1.4305698718326527e-10,-8.905734871103827e-10,-1.0786423408263325e-09,-1.5538365964503592e-10,1.9541046589537023e-10,-5.2913526106065216e-11,-1.134271130459944e-09,-1.3782763792225742e-11,-2.4122248765867916e-11,1.1446523532714694e-10,-1.1112695967941107e-10,-2.2487937788199425e-11,6.1836227920218e-07,-3.785758645478657e-11,-1.6442251877795024e-10,-6.117726113174257e-08,-2.7308028132757063e-11,-1.0568851839341162e-11,-1.2722478387290698e-10
celebrities,6.048367676772776e-12,7.687725587130081e-12,0.0,-9.224205098731585e-08,6.762577810112881e-12,-2.604176530101068e-12,9.738267791042204e-13,8.16820843632617e-11,2.681927236933308e-12,5.060577622815129e-10,5.210473526173349e-11,3.5755474424930437e-09,8.499738402252285e-11,1.2483561704032505e-12,1.1592831434296063e-12,5.484827403209628e-13,-2.0070400424567148e-11,4.7130999480189485e-11,1.4973689214799095e-06,5.516991556212038e-12,2.7033109129831533e-12,9.261865051319495e-12,5.7657941903477896e-11,6.983398711294391e-11,1.0059924475893153e-11,-1.2651359436361179e-11,3.425753245844787e-12,-7.360437200379181e-08,8.923303977753619e-13,1.5617343633667836e-12,-7.410763944786694e-12,7.194635678966124e-12,1.4559250070739553e-12,3.439794907652677e-11,2.4509942772927793e-12,1.0645122690641694e-11,3.960767998599595e-09,1.7679896407941297e-12,6.842537467805071e-13,8.236848843354016e-12
champions-league,-1.0935646901504364e-11,-1.3899659708083355e-11,0.0,-2.005970676279717e-07,-1.2226962219796663e-11,9.208103854866932e-09,-1.7607107187628452e-12,-1.4768388439839753e-10,-4.84901230314721e-12,-9.149690124375735e-10,-9.420706828171765e-11,-6.464706909408962e-09,-1.7011513452663026e-07,-2.257068851695244e-12,-2.0960219009328877e-12,-9.916747625567359e-13,3.6287941465222466e-11,-8.521439105126942e-11,5.516991556212038e-12,3.995363911995207e-06,-4.887674689966217e-12,-1.674575542746283e-11,-1.0424744781063236e-10,-8.4356329827924e-08,-1.8188673011175336e-11,2.287407231398094e-11,-6.193874094676674e-12,-2.509699441608815e-07,-1.613362591534491e-12,-2.823666890706629e-12,1.3398903985583671e-11,-1.3008137000711903e-11,-2.6323601082606896e-12,-6.219261879223958e-11,-2.0473152244587192e-08,5.5575412236615556e-08,-7.161198294507948e-09,-3.1965831891287828e-12,2.980434286657403e-08,-1.4892492544376144e-11
claude-5,-5.358437349076012e-12,-6.810795592629979e-12,0.0,-3.373596903234855e-11,-1.6721642282171527e-07,2.3071211156829742e-12,-8.627434811426505e-13,-7.236470317166728e-11,-2.376002889026648e-12,-4.4833233677530997e-10,-4.616120818221431e-11,-3.167688867994976e-09,-7.530183042105659e-11,-1.1059576212810973e-12,3.63532685485961e-08,-4.859179464813312e-13,1.778099298740473e-11,-4.17548207070755e-11,2.7033109129831533e-12,-4.887674689966217e-12,0.00010573740208028029,-8.205374782965037e-12,-5.108096694467017e-11,-7.426828834838027e-08,-3.2386739199194235e-07,1.1208233451274873e-11,-3.034981522659008e-12,-6.505882665490484e-11,-7.905432980735522e-13,-1.3835891250706073e-12,6.565426645521423e-12,-6.373951881803856e-12,1.1633822787476069e-08,-3.0474214682985786e-11,-2.1714121858480464e-12,7.429769471014011e-08,3.4756118108011795e-07,-1.5663171007951014e-12,-2.865854272596503e-09,-7.297280992099765e-12
climate-science,-1.8358644347856325e-11,-2.3334596611913946e-11,0.0,-1.1558344659962247e-10,-2.0526490373150993e-11,7.904471634346173e-12,-2.9558618869429776e-12,-2.4793008900158543e-10,1.4610051621959847e-09,-1.5360399654398967e-09,4.542595867890321e-08,-1.0852879215278897e-08,-2.5799303666012283e-10,-2.9456481243608957e-09,2.728200699265697e-09,-1.6648127393376686e-12,-8.05663342307601e-09,-1.4305698718326527e-10,9.261865051319495e-12,-1.674575542746283e-11,-8.205374782965037e-12,1.809830260194337e-06,-1.7500947458935925e-10,-2.119674929357603e-10,-3.053494520983738e-11,-6.450299183788083e-09,1.0524742769693163e-08,-2.2289928619789706e-10,-2.7084954634046692e-12,-4.740341076316092e-12,2.2493933384823763e-11,-2.183791804684159e-11,-4.419177343444996e-12,-1.0440828784543881e-10,-7.439516682862924e-12,-3.231120063472515e-11,-1.2022141330775154e-08,1.3438674966935751e-09,-2.0769192370813892e-12,-2.5001353512764483e-11
colombia-election,-1.142881745058922e-10,-1.4526499882430624e-10,0.0,-7.1954229651565e-10,-1.2778367886593352e-10,4.920775283870233e-11,-1.84011440468767e-11,-1.5434406125082255e-09,-5.0676907299109406e-11,-9.562318452927119e-09,-9.845557337800156e-10,-6.7562491551401e-08,-1.6060855385850546e-09,-2.3588570581854955e-11,-2.1905472894252438e-11,-1.0363968344715455e-11,3.792443761206664e-10,-8.905734871103827e-10,5.7657941903477896e-11,-1.0424744781063236e-10,-5.108096694467017e-11,-1.7500947458935925e-10,9.625290810661725e-05,-1.3195624558765308e-09,-1.9008937046474672e-10,2.3905636235576537e-10,-6.473202452271501e-11,-1.387616211498722e-09,-1.6861212424220358e-11,-2.951007263294734e-11,1.4003161318983798e-10,-1.3594771712402185e-10,-2.7510730195017056e-11,-6.499735162926276e-10,-4.6313266098546205e-11,-2.011471036023468e-10,-7.484150574040965e-08,-3.3407411617459284e-11,1.0249532450730761e-07,-1.5564107016890033e-10
