trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
0,0.03402549565728059,0.0009602816741285171,48,512,0.02420699949599722,0.07802924431723536,0.1,8,5.429518798830216,0.08979163945406153,4.5264319703629834e-05,0.11048482203866603,-0.005478976782229672
1,0.02328140863987044,0.0008307798626988834,48,512,0.006964004474265506,0.0880802057597394,0.1,16,2.647429017480803,0.09314705055733091,5.0893372546672286e-05,0.12064086383204559,-0.005981149819055608
3,0.03549734479332849,0.0005739107213643577,24,512,0.032087820341798495,0.05959005796000506,0.1,16,39.919642381675345,0.09030365487840705,4.2801352202990275e-05,0.11834111239719633,-0.005874254267656827
2,0.014023239161803995,0.000927175955933103,24,512,0.006695086729878625,0.06421543236759027,0.1,16,3.954439221956395,0.06501280554694765,4.6061925071831716e-05,0.09698224634766885,-0.004803050392311611
5,0.021633943280599307,0.0006615138036519599,96,256,0.01798275006003678,0.07135354680940509,0.1,8,49.05101867740949,0.09551835067570211,5.672604234116091e-05,0.11160511344697017,-0.0055235296300073485
7,0.03870141459110517,0.000533771724700967,96,256,0.00927062714472413,0.057396023301407695,0.1,16,4.174579077039057,0.07054013840854167,4.697908408526748e-05,0.18835287330709036,-0.00937066458126925
4,0.025403020472792106,0.0008352527197526529,48,512,0.04909390285611153,0.08478154996410012,0.1,8,7.450874351419637,0.06310719471424818,4.76655511826799e-05,0.07628990291392841,-0.003766829594513741
6,0.01437352970492222,0.0008472055285034528,24,256,0.026606153463944793,0.09894888191483915,0.1,16,17.477004604927476,0.08809044267982245,4.402300747151701e-05,0.06975796577637684,-0.003443875281347325
9,0.011281465038651566,0.0005521967223794366,96,256,0.04374818950891495,0.09344366579316557,0.1,16,11.346706404771437,0.09185162704437971,3.7848783548722833e-05,0.049208587368259435,-0.002422580584864249
10,0.01655136724911286,0.0007091191175003413,96,256,0.0023123220540583133,0.06438348693773151,0.1,8,30.266188211804447,0.08426731400191784,2.6860922473795813e-05,0.14988351666754224,-0.007467314910903316
8,0.0493281918674156,0.0009954124197137937,24,256,0.02357455906458199,0.050230507878586655,0.1,8,2.8772339582567987,0.06928353138267994,3.310693973803053e-05,0.17333092758957738,-0.008633439439740839
11,0.03319071723989885,0.0006413111865253111,24,256,0.033710323041304946,0.07947150329127908,0.1,8,5.39712200635195,0.07687257494777441,5.2676679948301305e-05,0.1128599259476218,-0.005590319617432789
12,0.027442937328406317,0.0009018907438023203,96,256,0.004526947438716888,0.08754954882897437,0.1,16,39.31006451106127,0.07268273957073688,4.19830945308701e-05,0.18047080895005185,-0.008981557352971722
13,0.016370811284776736,0.0005044069545498084,48,512,0.034450943442061545,0.056055197166278964,0.1,8,9.301751866185992,0.08524959903210402,4.1533860631564025e-05,0.061361065290579865,-0.0030265194038974295
14,0.010880635496042972,0.0007850398804995115,48,512,0.019586862390860917,0.07671692688018084,0.1,16,3.3126095294547673,0.09766530267894269,4.8591423038288545e-05,0.05788435252002079,-0.002845626202962751
15,0.0418228597260599,0.0007004096904284921,24,256,0.038091187272220856,0.06709762737154962,0.1,16,22.013853110006664,0.06027176644653082,3.4454598631350666e-05,0.15403052207880247,-0.007667071505308773
16,0.035384200016284284,0.0007588296157608832,48,512,0.029054613830521703,0.07255406305193901,0.1,8,13.636614641887125,0.07900609534233809,5.007650328906811e-05,0.11206016096208642,-0.005552931544815253
18,0.018869704963731394,0.0009303218314487821,96,256,0.04524468565359712,0.06170699303038418,0.1,16,6.385963533853269,0.09398812379688025,4.4231090064933156e-05,0.06784098898022442,-0.0033478183589462883
17,0.012855464123785127,0.0005961383474798701,24,512,0.010068092495203018,0.08363825399428607,0.1,16,2.393843157879663,0.08141601987183095,4.6932321911942134e-05,0.0796667779802159,-0.003936406577098853
20,0.022385797871676476,0.0009554950920606435,96,256,0.037004442093893884,0.06259554158896208,0.1,8,3.985584983914767,0.08092955786734819,3.1835654842645986e-05,0.08249378775118987,-0.004092853732716848
19,0.023818064584244986,0.0005941150898588056,48,512,0.012677838420495392,0.09466614075936378,0.1,8,25.582095672596445,0.06643902711570263,4.023585354274089e-05,0.12989944989151975,-0.006454736641033246
22,0.013338640861946792,0.000739276040079201,96,256,0.040248959325253963,0.05175143093802035,0.1,8,42.01420840111359,0.06591266307979822,5.070015936266828e-05,0.05800244390214715,-0.0028494220357446892
21,0.020075036268461317,0.0005784175465202262,24,512,0.00512119447812438,0.0811015147715807,0.1,8,14.99338095878496,0.07832117840647698,4.8616163901219945e-05,0.139811323835066,-0.006941950027852081
23,0.03410579868656065,0.0006118501671593162,96,512,0.02057883837260306,0.09213254568167031,0.1,8,7.102390284258562,0.0933428031206131,4.667552884094941e-05,0.11643552099618565,-0.005775100520968333
24,0.043471916653054096,0.0007984738904798607,48,256,0.012226532306522132,0.0975156914908439,0.1,16,4.6229822071066415,0.08710574254393577,4.051025900908805e-05,0.1808825489049452,-0.009003617186238173
25,0.01046891949640861,0.0006882223770469575,96,256,0.030047257570549848,0.058599563548341393,0.1,16,28.849825481115765,0.07465430159121753,3.977130229947891e-05,0.054200063708856785,-0.0026702318831433604
26,0.015359122370334502,0.0008867911066491651,96,512,0.015232004458084702,0.08668011613190174,0.1,16,10.83277444630083,0.06208968639373779,4.8016687280542145e-05,0.08102102853390472,-0.004003034739414694
27,0.02924770096165247,0.0005126884904101742,48,512,0.04583960007876158,0.06963884364813566,0.1,16,2.4684097405174334,0.0996753928437829,4.587139248218658e-05,0.08245431871410845,-0.004076844543223236
28,0.031193833418236422,0.0007293504409530024,48,512,0.015826146630570293,0.05979696563445032,0.1,16,18.885912435480346,0.09112993642687797,3.4898559585340105e-05,0.13163998551223297,-0.006547100716026309
29,0.017609178759844957,0.0006235706065096321,96,256,0.048103047814220194,0.09636940653435887,0.1,16,3.162571088986339,0.06867728788405657,5.1470670611592184e-05,0.06370449232585929,-0.003133753945681372
30,0.011705248954615185,0.0009685388899807471,96,512,0.006716008298099041,0.07395290406420828,0.1,16,8.866455635491166,0.07611266076564789,5.261538462678931e-05,0.08448312692206335,-0.004171540961476378
33,0.013830133140957563,0.0005255021909659537,96,256,0.022978476760908962,0.06842322619631887,0.1,8,5.469837467907647,0.06484386190772057,4.483169024151213e-05,0.0730555181565857,-0.003607944217587773
31,0.047546954577754166,0.0005675700021335952,24,256,0.026010738546028735,0.08240038817748427,0.1,16,33.671612076639526,0.08369959864765406,3.1921406542076e-05,0.18041918045445993,-0.00898903761618092
32,0.04022597422040597,0.0008610416734638806,48,256,0.04119290327653289,0.07521050637587906,0.1,16,24.385607501357327,0.09745344419032335,4.48950939184032e-05,0.12281081647156061,-0.006095645729659628
34,0.02029653426443101,0.0008228739749777903,96,512,0.03155305185355246,0.08937488491646946,0.1,8,2.053659480295195,0.07243532989174127,4.450526610830966e-05,0.0721892938830632,-0.0035649594280448504
37,0.02110518322251567,0.0005400074216476926,96,512,0.03851903923787177,0.08676890870556236,0.1,16,33.28350058917552,0.07540365733206272,4.348721538998589e-05,0.0709468614257787,-0.0035038558558989495
35,0.027074253874065007,0.0006718674184407202,24,512,0.0013207992538809778,0.054462552582845096,0.1,16,13.019244501066623,0.0898667061328888,4.442497818043063e-05,0.20075982218245236,-0.009993566130942188
36,0.026039474157139458,0.0008559429507748899,24,512,0.019233444891870025,0.06933738188818098,0.1,16,5.024370606678701,0.08283618401736022,3.791516124310065e-05,0.10066229744558498,-0.004995199711036149
38,0.014022039977319442,0.0008269010623357514,24,256,0.0033422555308789017,0.05850485689006746,0.1,8,11.885807417323258,0.0678146355971694,5.035856789984127e-05,0.1277725652215872,-0.006338269693179519
39,0.039671506633550666,0.000654013617251842,96,256,0.03561002975329757,0.09781124214641751,0.1,8,2.821422786662281,0.09042047582566738,5.8079809704242956e-05,0.12340273516429935,-0.006112056948510725
40,0.04568990496306737,0.0007172517327223468,96,256,0.044059992069378495,0.09067009310238064,0.1,8,4.318255550780596,0.08916884757578374,3.107320720235274e-05,0.12808824208579125,-0.00637333889708721
41,0.012179799864559394,0.0006477879601787423,96,256,0.01383692603558302,0.053023721044883135,0.1,16,17.35451779544733,0.07158060681074857,4.300335914617984e-05,0.07916283308941946,-0.0039151382953247936
