step,portfolio_return,cumulative_return,drawdown
0,0.0,1.0,0.0
1,0.0,1.0,0.0
2,0.0,1.0,0.0
3,0.0,1.0,0.0
4,0.0,1.0,0.0
5,0.0,1.0,0.0
6,0.035823167713525964,1.035823167713526,0.0
7,0.0,1.035823167713526,0.0
8,0.0,1.035823167713526,0.0
9,0.0,1.035823167713526,0.0
10,0.0,1.035823167713526,0.0
11,0.0,1.035823167713526,0.0
12,0.0,1.035823167713526,0.0
13,0.0,1.035823167713526,0.0
14,0.0,1.035823167713526,0.0
15,0.0,1.035823167713526,0.0
16,0.0,1.035823167713526,0.0
17,0.0,1.035823167713526,0.0
18,0.0,1.035823167713526,0.0
19,0.0,1.035823167713526,0.0
20,0.0,1.035823167713526,0.0
21,0.0,1.035823167713526,0.0
22,0.0,1.035823167713526,0.0
23,0.0,1.035823167713526,0.0
24,0.0,1.035823167713526,0.0
25,0.0,1.035823167713526,0.0
26,0.0,1.035823167713526,0.0
27,-0.0011511881520429004,1.0346307403552426,-0.001151188152042848
28,-0.018920762836933138,1.0150547374931806,-0.020050169630970394
29,0.0032562027374903393,1.0183599615081085,-0.01685925431071955
30,0.0,1.0183599615081085,-0.01685925431071955
31,0.0,1.0183599615081085,-0.01685925431071955
32,0.0,1.0183599615081085,-0.01685925431071955
33,0.0,1.0183599615081085,-0.01685925431071955
34,0.0,1.0183599615081085,-0.01685925431071955
35,0.0,1.0183599615081085,-0.01685925431071955
36,0.0,1.0183599615081085,-0.01685925431071955
37,-0.0020738157390750786,1.016248070591889,-0.018898107062855996
38,0.00699161773636227,1.0233532886267833,-0.01203861766701797
39,0.0,1.0233532886267833,-0.01203861766701797
40,0.009640366866670816,1.0332187897633596,-0.002514307491224832
41,0.0,1.0332187897633596,-0.002514307491224832
42,-0.0015582311977731435,1.031608796011025,-0.004068620816624291
43,0.0,1.031608796011025,-0.004068620816624291
44,0.0,1.031608796011025,-0.004068620816624291
45,0.0,1.031608796011025,-0.004068620816624291
46,-0.0014437254330124532,1.0301194361553045,-0.005506472278286378
47,0.0,1.0301194361553045,-0.005506472278286378
48,0.002167563321012441,1.032352285261377,-0.0033508445846124335
49,0.0,1.032352285261377,-0.0033508445846124335
50,0.010816565804871229,1.0435187916887159,0.0
51,0.00476053334448649,1.0484864976921482,0.0
52,0.0,1.0484864976921482,0.0
53,0.0,1.0484864976921482,0.0
54,0.0,1.0484864976921482,0.0
55,0.0,1.0484864976921482,0.0
56,0.0,1.0484864976921482,0.0
57,0.0,1.0484864976921482,0.0
58,0.0,1.0484864976921482,0.0
59,0.0,1.0484864976921482,0.0
60,0.0025026075844092896,1.0511104479534232,0.0
61,0.0,1.0511104479534232,0.0
62,0.008606647393282716,1.0601569849503538,0.0
63,-0.04045007079839706,1.0172735598516969,-0.04045007079839702
64,0.0,1.0172735598516969,-0.04045007079839702
65,-0.006589828641153869,1.0105699014110976,-0.0467733404044669
66,0.0,1.0105699014110976,-0.0467733404044669
67,0.0,1.0105699014110976,-0.0467733404044669
68,0.0,1.0105699014110976,-0.0467733404044669
69,0.0,1.0105699014110976,-0.0467733404044669
70,0.0009732749547132619,1.011553463786128,-0.04584558877051759
71,-0.014456551198078243,0.9969298893473106,-0.059639370867328734
72,0.0,0.9969298893473106,-0.059639370867328734
73,-0.0019506221146960024,0.9949852558583484,-0.06147365910630431
74,-0.004853849405688899,0.9901557472655311,-0.0660291246282746
75,-0.009040877952867631,0.981203870000173,-0.07447304132404331
76,0.0,0.981203870000173,-0.07447304132404331
77,0.0,0.981203870000173,-0.07447304132404331
78,0.0067859416784242215,0.9878622622366382,-0.06819246936065904
79,0.0,0.9878622622366382,-0.06819246936065904
80,0.0,0.9878622622366382,-0.06819246936065904
81,0.0,0.9878622622366382,-0.06819246936065904
82,0.0,0.9878622622366382,-0.06819246936065904
83,0.0,0.9878622622366382,-0.06819246936065904
84,-0.0066660066064521475,0.981277165870304,-0.07440390451584267
85,0.00312795144446353,0.9843465531987071,-0.07150868487198325
86,0.0,0.9843465531987071,-0.07150868487198325
87,0.0,0.9843465531987071,-0.07150868487198325
88,0.0,0.9843465531987071,-0.07150868487198325
89,0.03255024751027426,1.0163872771412106,-0.041286062753426056
90,0.0014318944866298217,1.0178426364796298,-0.03991328555242746
91,0.0,1.0178426364796298,-0.03991328555242746
92,0.0,1.0178426364796298,-0.03991328555242746
93,0.0,1.0178426364796298,-0.03991328555242746
94,-0.009010218661658626,1.0086716517617893,-0.0485638767837534
95,0.0,1.0086716517617893,-0.0485638767837534
96,0.0,1.0086716517617893,-0.0485638767837534
97,-0.022488835224738487,0.9859878011894537,-0.06996056698562747
98,-0.00025631868147891964,0.9857350740962986,-0.07019895346682115
99,0.0050757425815560146,0.9907384115860224,-0.0654795227025573
100,0.0,0.9907384115860224,-0.0654795227025573
101,0.0,0.9907384115860224,-0.0654795227025573
102,0.0,0.9907384115860224,-0.0654795227025573
103,0.0,0.9907384115860224,-0.0654795227025573
104,0.0,0.9907384115860224,-0.0654795227025573
105,0.0,0.9907384115860224,-0.0654795227025573
106,0.02719744482766027,1.017683964873777,-0.04006295358094136
107,0.0,1.017683964873777,-0.04006295358094136
108,0.0,1.017683964873777,-0.04006295358094136
109,0.0,1.017683964873777,-0.04006295358094136
110,0.0,1.017683964873777,-0.04006295358094136
111,0.0,1.017683964873777,-0.04006295358094136
112,0.014112882954733707,1.03204641955495,-0.026515474400916506
113,0.0,1.03204641955495,-0.026515474400916506
114,0.0,1.03204641955495,-0.026515474400916506
115,0.0,1.03204641955495,-0.026515474400916506
116,0.0,1.03204641955495,-0.026515474400916506
