trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
1,0.034069812302998416,0.000699920141103063,96,1024,0.03547897218702683,0.06340479029884324,0.1,16,6.111233521188844,0.09106676299629796,4.6283975156152066e-05,0.08785870083679893,-0.004346651066683795
0,0.010357521009004913,0.0006043829207221114,96,1024,0.022423114977936365,0.0698124113516535,0.1,16,5.4227851755550525,0.06160275973548731,4.399736441553315e-05,0.0494041390827807,-0.002426209589723502
2,0.018550604429977392,0.0009075300045961626,96,1024,0.040375805629946054,0.09825155311891622,0.1,16,13.477929891477737,0.06140368009413382,4.856192578415133e-05,0.06042879307434793,-0.0029728777279332454
3,0.016436847535668663,0.0005370198768320551,24,1024,0.02637589642504065,0.08685900912824257,0.1,16,5.118167676953118,0.06527016326467307,4.866553561617775e-05,0.06284457296575803,-0.003093563112671724
5,0.021633943280599307,0.0006615138036519599,48,1024,0.01798275006003678,0.07135354680940509,0.1,16,49.05101867740949,0.09551835067570211,4.687939785031058e-05,0.08899535803041324,-0.004402888503670352
6,0.01437352970492222,0.0008472055285034528,48,1024,0.026606153463944793,0.09894888191483915,0.1,16,17.477004604927476,0.08809044267982245,5.109601322847543e-05,0.05552657317096191,-0.00272523264531962
4,0.025403020472792106,0.0008352527197526529,24,1024,0.04909390285611153,0.08478154996410012,0.1,16,7.450874351419637,0.06310719471424818,4.040168170214661e-05,0.07080070849787294,-0.0034996337431915004
7,0.03870141459110517,0.000533771724700967,24,1024,0.00927062714472413,0.057396023301407695,0.1,16,4.174579077039057,0.07054013840854167,4.3790599164483306e-05,0.16279458281767076,-0.008095938541719054
8,0.0493281918674156,0.0009954124197137937,96,1024,0.02357455906458199,0.050230507878586655,0.1,16,2.8772339582567987,0.06928353138267994,4.3020084893643044e-05,0.13898167545286322,-0.006906063687749518
9,0.011281465038651566,0.0005521967223794366,48,1024,0.04374818950891495,0.09344366579316557,0.1,8,11.346706404771437,0.09185162704437971,4.815396383174457e-05,0.04423079580846211,-0.002163385826591361
10,0.01655136724911286,0.0007091191175003413,24,1024,0.0023123220540583133,0.06438348693773151,0.1,16,30.266188211804447,0.08426731400191784,3.981902934108898e-05,0.1358105303059351,-0.006750707485955666
11,0.03319071723989885,0.0006413111865253111,24,1024,0.033710323041304946,0.07947150329127908,0.1,16,5.39712200635195,0.07687257494777441,4.9141877910868754e-05,0.0898065954496488,-0.0044411878945715706
12,0.027442937328406317,0.0009018907438023203,96,1024,0.004526947438716888,0.08754954882897437,0.1,16,39.31006451106127,0.07268273957073688,5.0340787614507104e-05,0.14199889717035932,-0.007049604070903459
14,0.010880635496042972,0.0007850398804995115,96,1024,0.019586862390860917,0.07671692688018084,0.1,16,3.3126095294547673,0.09766530267894269,4.669811014740638e-05,0.05114674928726054,-0.0025106393542156206
13,0.016370811284776736,0.0005044069545498084,48,1024,0.034450943442061545,0.056055197166278964,0.1,16,9.301751866185992,0.08524959903210402,5.852819156660093e-05,0.05584520387747999,-0.0027337320023073986
15,0.0418228597260599,0.0007004096904284921,48,1024,0.038091187272220856,0.06709762737154962,0.1,16,22.013853110006664,0.06027176644653082,1.9985466786354123e-05,0.1331626801276032,-0.006638148539593806
16,0.035384200016284284,0.0007588296157608832,48,1024,0.029054613830521703,0.07255406305193901,0.1,8,13.636614641887125,0.07900609534233809,5.022570028661261e-05,0.10102451171132826,-0.005000999885279801
18,0.018869704963731394,0.0009303218314487821,96,1024,0.04524468565359712,0.06170699303038418,0.1,16,6.385963533853269,0.09398812379688025,3.799432006192259e-05,0.05773136485397586,-0.0028485739226368706
17,0.012855464123785127,0.0005961383474798701,24,1024,0.010068092495203018,0.08363825399428607,0.1,8,2.393843157879663,0.08141601987183095,4.631025601211572e-05,0.0723181012581358,-0.0035695948068946745
20,0.022385797871676476,0.0009554950920606435,96,1024,0.037004442093893884,0.06259554158896208,0.1,8,3.985584983914767,0.08092955786734819,4.031601878151539e-05,0.0659555107695522,-0.0032574595196960946
