alpha,n_steps,mean_return,volatility,sortino,max_drawdown,total_return,cumulative_log_wealth
0.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.5038929013590414,0.4080570137893855
0.1,11429,4.183688284826268e-05,0.0019470902811399282,0.05503959462301858,-0.04779489300974327,0.5796250512220338,0.4571875095234089
0.2,11429,4.640983647051639e-05,0.0021236967909985284,0.056725296377517956,-0.05488163447407568,0.6579657103592615,0.5055913751718994
0.25,11429,4.8696313281643245e-05,0.002218783977183147,0.05731255248808189,-0.058408895492435775,0.698124048199767,0.5295241406976301
0.3,11429,5.0982790092770086e-05,0.0023176605231398162,0.05776355406222528,-0.06192544776169828,0.7389459686553919,0.5532791645360318
0.4,11429,5.5555743715023816e-05,0.0025249846106816984,0.05834046079977958,-0.06892651912133141,0.8225942634158812,0.6002609056020289
0.5,11429,6.012869733727753e-05,0.002742640882630003,0.058600939711759156,-0.07608171919138962,0.908936216040829,0.646546131949069
0.6,11429,6.470165095953124e-05,0.0029683573708707907,0.05864987066034185,-0.0839101437198847,0.9979944683360757,0.6921439116219685
0.7,11429,6.927460458178495e-05,0.0032004291422507423,0.05856024582716998,-0.09215821395065338,1.089788518850058,0.7370628737038663
0.75,11429,7.156108139291181e-05,0.0033184330383425743,0.058479847463363085,-0.0962592240754161,1.136716662064392,0.7592703807728087
0.8,11429,7.384755820403867e-05,0.003437569294016935,0.05838225329243168,-0.1004650722872189,1.184334559638609,0.7813112327984961
0.9,11429,7.842051182629237e-05,0.0036787978132813643,0.05815040381329438,-0.10897135645484068,1.2816453138738826,0.8248968116094679
1.0,11429,8.29934654485461e-05,0.003923360650523325,0.057887517698140656,-0.11741015918484266,1.3817298747243325,0.8678270617839529
