token_a,token_b,corr,abs_corr
11843131838379676792721059608342146205696413823676149302931627463939711085828,82402823484466457361170410951601106261368113664328436062375970009969959380598,0.3928542118200399,0.3928542118200399
88657857917663921842097927058013051966750383205171131721194307619909198186324,56988329823452841666931131821080687228531160724161634353621608700010586706540,0.16854553468318015,0.16854553468318015
57301498276970257025109591078431189727442302532145853906375186182281603517458,24315108267836543154857233535536136482524552716493402526894829400485516895736,0.09981217569326695,0.09981217569326695
82402823484466457361170410951601106261368113664328436062375970009969959380598,73768610008619570600930429495180540710817177537162503586781057110775077618432,-0.09192213726601457,0.09192213726601457
11843131838379676792721059608342146205696413823676149302931627463939711085828,73768610008619570600930429495180540710817177537162503586781057110775077618432,-0.04078706237856228,0.04078706237856228
103950812176015306889097643332505690876545410954871160290129574415932884036868,24315108267836543154857233535536136482524552716493402526894829400485516895736,0.03572180011339549,0.03572180011339549
75712298340810272859765060308006832993211601931382911468417184675550881103879,96156230578747105661476819749931380321917772151891667564189808442987244872145,0.0341246430264669,0.0341246430264669
36553834009124167357981460132800746681781045509640776189348736916365216865880,115394635451048754011327777276076337527696490170069916864086987480603951060926,-0.02546978115420604,0.02546978115420604
115394635451048754011327777276076337527696490170069916864086987480603951060926,88657857917663921842097927058013051966750383205171131721194307619909198186324,-0.006433915540592553,0.006433915540592553
115394635451048754011327777276076337527696490170069916864086987480603951060926,56988329823452841666931131821080687228531160724161634353621608700010586706540,-0.0060808706534642475,0.0060808706534642475
103950812176015306889097643332505690876545410954871160290129574415932884036868,88657857917663921842097927058013051966750383205171131721194307619909198186324,0.0014707349473415585,0.0014707349473415585
103950812176015306889097643332505690876545410954871160290129574415932884036868,49662274238485451283220527378586398370959042852997899886824914466317758572224,-0.0014250654163616469,0.0014250654163616469
57301498276970257025109591078431189727442302532145853906375186182281603517458,103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0014145190915374724,0.0014145190915374724
49662274238485451283220527378586398370959042852997899886824914466317758572224,88657857917663921842097927058013051966750383205171131721194307619909198186324,0.0014105173333953738,0.0014105173333953738
57301498276970257025109591078431189727442302532145853906375186182281603517458,88657857917663921842097927058013051966750383205171131721194307619909198186324,-0.001400078672968058,0.001400078672968058
81085168149210534701056807267483472863288984314426354863145129521956049193057,103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0013790441883961089,0.0013790441883961089
81085168149210534701056807267483472863288984314426354863145129521956049193057,88657857917663921842097927058013051966750383205171131721194307619909198186324,-0.0013649659229097598,0.0013649659229097598
57301498276970257025109591078431189727442302532145853906375186182281603517458,49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0013566031735621133,0.0013566031735621133
31317702573839002987249831884538721320741670016050389364356636973937868446333,103950812176015306889097643332505690876545410954871160290129574415932884036868,-0.001341352315974051,0.001341352315974051
31317702573839002987249831884538721320741670016050389364356636973937868446333,88657857917663921842097927058013051966750383205171131721194307619909198186324,0.0013276588359725132,0.0013276588359725132
81085168149210534701056807267483472863288984314426354863145129521956049193057,49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0013225807510502557,0.0013225807510502557
