step,portfolio_return,top_market_token_id,top_market_domain,top_market_question,top_market_contribution,top_domain,top_domain_contribution
1313,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1314,0.001668211165815592,108548893345759572446077602443398325305734327289834850738242401844282632332811,epstein,Epstein client list released by June 30?,0.001668211165815592,epstein,0.001668211165815592
1315,0.00119009195118548,78994096084018614649961134380557835172033452849084058029827070275341232468538,bernie-sanders,Will Bernie endorse Antonio Delgado for NY-Gov by Nov 2 2026 ET?,0.00119009195118548,bernie-sanders,0.00119009195118548
1316,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1317,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1318,0.00046463405129079763,13516120433742364095801101793558742894298506681439248699088928599069619128824,comex-gold-futures,"Will Gold (GC) hit (HIGH) $8,000 by end of June?",0.00046463405129079763,comex-gold-futures,0.00046463405129079763
1319,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1320,0.00038044448994752956,92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,MegaETH market cap (FDV) >$3B one day after launch?,0.0003804444899475295,airdrops,0.0003804444899475295
1321,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1322,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1323,0.0002603580394540635,83861038635151923386926515591327015768267040223083934463768926006958185918008,celebrities,Will Barack Obama announce a Presidential run before 2027?,0.0002603580394540635,celebrities,0.0002603580394540635
1324,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1325,-0.0008637402958040317,3783874556587832518151104525711027133710881159533628607061884012946071097261,fdv,Opensea FDV above $2B one day after launch?,-0.0016969606745988145,fdv,-0.0016969606745988145
1326,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1327,8.324724380796442e-06,14495888673864948586083280727326896461319586754303430637766841544809472748499,anthropic,"Will Anthropic not IPO by June 30, 2026?",8.324724380796442e-06,anthropic,8.324724380796442e-06
1328,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1329,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1330,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1331,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1332,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1333,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1334,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1335,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1336,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1337,-0.000613089213864162,13516120433742364095801101793558742894298506681439248699088928599069619128824,comex-gold-futures,"Will Gold (GC) hit (HIGH) $8,000 by end of June?",-0.000613089213864162,comex-gold-futures,-0.000613089213864162
1338,-0.004294858829063531,17988517666865803556038348708000324994436319684963570400912948173818975836974,crypto-prices,"Will Hyperliquid dip to $8 by December 31, 2026?",-0.004294858829063532,crypto-prices,-0.004294858829063532
1339,0.00018704069585029825,92206458231325096769152348269441704588222763710040504959674288895806154976594,airdrops,MegaETH market cap (FDV) >$3B one day after launch?,0.00018704069585029825,airdrops,0.00018704069585029825
1340,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1341,0.0,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,Will OpenAI acquire Pinterest in 2026?,0.0,acquisitions,0.0
1342,0.00018692092556092492,83861038635151923386926515591327015768267040223083934463768926006958185918008,celebrities,Will Barack Obama announce a Presidential run before 2027?,0.00018692092556092492,celebrities,0.00018692092556092492
1343,-0.0005742857073034559,94195159380649683762164114216519545499991614727769221572315275622082093227806,felix,Felix Protocol FDV above $300M one day after launch?,-0.0005742857073034559,felix,-0.0005742857073034559
1344,-0.0010927266229350035,30199410412355494592582461157185905805005714926979062970059503436470906149649,congress,Will the number of Republican Senate members who retire in 2026 be exactly 5?,-0.0010927266229350035,congress,-0.0010927266229350035
