trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
0,0.01423044534558449,0.0005298579561459117,48,512,0.0405289736254136,0.0594863254291663,0.1,8,10.132672481832694,0.06757509570991219,4.0008335403416155e-05,0.05449552788666478,-0.002684768058929823
1,0.04057087256085762,0.0009501791887216499,48,256,0.03088674070564139,0.07483190360446426,0.1,16,28.35539903259294,0.09100290852388966,4.796006352656749e-05,0.1461376941241493,-0.007258924642680897
2,0.03080039083147377,0.0006733900182215436,24,256,0.04484884638216192,0.07232952553241684,0.1,8,18.392859877931585,0.07458865809834173,3.732252231077881e-05,0.0986725996995428,-0.004896307462666361
3,0.0392088332569664,0.0006218451195155793,24,512,0.04657023049902618,0.08219277920849455,0.1,16,8.23037047734607,0.07657013410330163,5.259291922464085e-05,0.10262004500212572,-0.005078409330881646
5,0.021633943280599307,0.0006615138036519599,96,512,0.01798275006003678,0.07135354680940509,0.1,8,49.05101867740949,0.09551835067570211,4.485860649078684e-05,0.101493836054006,-0.005029833196209514
4,0.025403020472792106,0.0008352527197526529,48,256,0.04909390285611153,0.08478154996410012,0.1,8,7.450874351419637,0.06310719471424818,4.0268027260052134e-05,0.0842339983126303,-0.004171431888371463
6,0.01437352970492222,0.0008472055285034528,48,256,0.026606153463944793,0.09894888191483915,0.1,16,17.477004604927476,0.08809044267982245,4.437684411761556e-05,0.06994296395276853,-0.003452771353520811
7,0.03870141459110517,0.000533771724700967,24,256,0.00927062714472413,0.057396023301407695,0.1,8,4.174579077039057,0.07054013840854167,3.544837738640888e-05,0.19120418498597716,-0.00952476087191245
9,0.011281465038651566,0.0005521967223794366,96,256,0.04374818950891495,0.09344366579316557,0.1,16,11.346706404771437,0.09185162704437971,5.128750858066366e-05,0.049323463859996745,-0.0024148856844191735
8,0.0493281918674156,0.0009954124197137937,24,256,0.02357455906458199,0.050230507878586655,0.1,8,2.8772339582567987,0.06928353138267994,3.610084038206534e-05,0.17531350754782593,-0.008729574537009233
10,0.01655136724911286,0.0007091191175003413,48,512,0.0023123220540583133,0.06438348693773151,0.1,16,30.266188211804447,0.08426731400191784,4.445730864412629e-05,0.14733230144945803,-0.0073221577638287755
11,0.03319071723989885,0.0006413111865253111,24,256,0.033710323041304946,0.07947150329127908,0.1,16,5.39712200635195,0.07687257494777441,3.681542341956477e-05,0.11427228989668096,-0.0056767990714144834
12,0.027442937328406317,0.0009018907438023203,24,512,0.004526947438716888,0.08754954882897437,0.1,8,39.31006451106127,0.07268273957073688,4.3455873508234417e-05,0.14037750440080451,-0.006975419346531992
13,0.016370811284776736,0.0005044069545498084,24,256,0.034450943442061545,0.056055197166278964,0.1,8,9.301751866185992,0.08524959903210402,4.668074382718625e-05,0.06944309896233135,-0.0034254742042893814
15,0.0418228597260599,0.0007004096904284921,96,256,0.038091187272220856,0.06709762737154962,0.1,8,22.013853110006664,0.06027176644653082,2.4061388614917324e-05,0.1447096162779138,-0.007211419425280772
14,0.010880635496042972,0.0007850398804995115,24,512,0.019586862390860917,0.07671692688018084,0.1,16,3.3126095294547673,0.09766530267894269,4.676282063306543e-05,0.05829726665601159,-0.0028681005121675143
16,0.035384200016284284,0.0007588296157608832,96,512,0.029054613830521703,0.07255406305193901,0.1,8,13.636614641887125,0.07900609534233809,5.055135132409115e-05,0.11284552126487173,-0.005591724711919496
