domain,total_contribution,contribution_share_of_total_return
felix,0.09737129881762221,1.7118276441073967
claude-5,-0.047117464013001445,-0.8283444751904043
colombia-election,0.03339701642592748,0.5871333405513215
economic-policy,-0.0324021647227674,-0.5696434367712916
bernie-sanders,-0.029215742472929986,-0.5136248177397521
best-of-2025,0.0281825217932858,0.4954603715081049
colorado-midterm,0.017229191447825153,0.3028963006978822
comex-gold-futures,0.011863938144276475,0.20857293196213547
celebrities,-0.011186370149819711,-0.1966610068080306
california-midterm,-0.01012343317270279,-0.17797413579503563
2026-fifa-world-cup,-0.009995919466018677,-0.17573239217288972
airdrops,0.008655195912498186,0.1521619184307143
acquisitions,-0.006935968709081835,-0.12193719421478412
abraham-accords,0.006167856959297548,0.10843347245066115
extended,0.00609735599888506,0.10719403645221295
congress,-0.005627413264573675,-0.09893224911333383
business,-0.004885729367815607,-0.08589313991917795
epstein,-0.004408507766090841,-0.07750338708525746
big-tech,0.003029259147517608,0.0532556267899691
base,0.002215795951165568,0.03895460786664578
foreign-policy,0.0015568731532212166,0.027370472967034112
fifa-world-cup,0.0014356085973954266,0.025238591997655244
democratic-primary,0.001162210285423156,0.02043213676937466
champions-league,-0.0009883577048114616,-0.017375736607270143
fdv,0.0008230387665597459,0.014469361401945739
climate-science,-0.0008004995791808431,-0.014073113179939485
connecticut-primary,-0.0006545363389479525,-0.01150701913900295
comex-silver-futures,0.0006331780004610535,0.011131530728166842
2025-predictions,0.000508591429166351,0.008941247354969902
brazil,0.0004947193625968293,0.008697370696006125
bitcoin,0.00038558176965990105,0.0067786867422190925
anthropic,-0.00032796766124494495,-0.005765806923700402
bundesliga,0.0002610065171328829,0.004588602357632293
commodities,8.132111746781263e-05,0.0014296588278219907
basketball,0.0,0.0
crypto-prices,0.0,0.0
delaware-midterm,0.0,0.0
formula1,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
