label,tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,grooming-gangs::65075454639388714811293775905500639483433054272204316386263594369997153544149,nba::77648433824716730185008177852682080573261442860361580435966309914289533557558,south-carolina-primary::30301756432645222283090613187464947126705351789288833513996291475573522252549,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,republican-primary::107927272895121873896592780561794303301515708678562694349024225854697593171909,west-virginia-primary::85804162766623143925505734230172858069182216823432975004068744981960196178654,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,economic-policy::18690049947242812495755151360212639738977254879109748949267393375856311641700,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,bundesliga::75243767583801257521744211524447653598366317209903038558716257700246583477252,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,ligue-1::22667617953671803775562636820557023939003625390106866761389646733205014974047,grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,south-dakota-midterm::67967023811721834738685695249992484419619114809767608640505747182577663027691,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,nba-champion::5644679982684846699855787022092402984369447277920326773883608030240292167917,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828
tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,1.0,-0.0008263235688611178,-0.0007710625572728222,-0.0006213263946263105,-0.00060333932962232,-0.0007524670363017022,-0.0008343053711326874,-0.0011060665990179483,0.0011256127318282755,-0.0008511574720869099,0.0002928138905495592,-0.00012970245150184688,0.0005598507944676028,-0.0005104760672315871,0.0006722148373883886,0.0009271403710294292,9.332996553924981e-06,-4.2459152044422586e-05,-0.00029618728040861685,-0.00013362222309820423
grooming-gangs::65075454639388714811293775905500639483433054272204316386263594369997153544149,-0.0008263235688611179,1.0,-0.0010411602433218622,-0.0008389725763619633,-0.0008146847714367221,-0.001016050844666229,0.0021686507501985103,-0.0014935137992393,0.0015199068022464556,-0.0011493118325931976,0.0003953844972201431,0.0027246904945909716,0.0007559625141875281,0.0013301213449510413,0.005269520951259111,0.0012519109963122954,1.2602278338315438e-05,-5.7332288615033795e-05,-0.0003999395613629307,-0.00018042912990896986
nba::77648433824716730185008177852682080573261442860361580435966309914289533557558,-0.0007710625572728222,-0.0010411602433218622,1.0,-0.0007828656528616561,-0.0007602021132000526,-0.0009481016784833229,-0.0010512172421881408,-0.0013936339380357895,0.001418261889070605,-0.0010724507373844098,0.0003689428609095323,-0.00016342391897549756,0.0007054069511719358,-0.0006431952402148724,0.0008469846317278355,0.0011681885046858228,1.1759491474264977e-05,-5.349814859418936e-05,-0.00037319330170395963,-0.0001683627958305376
south-carolina-primary::30301756432645222283090613187464947126705351789288833513996291475573522252549,-0.0006213263946263105,-0.0008389725763619633,-0.0007828656528616562,1.0,-0.0006125749898328434,-0.0007639854796149296,-0.0008470765606462663,-0.0006972495489291885,0.0011428431297310809,-0.0008641866263486747,0.00029729616025296146,-0.0001316878811128906,0.0005684207507963713,-0.0005182902163696859,0.0006825048143910111,0.000941332638985255,9.47586207036928e-06,-4.310909857012928e-05,-0.0003007211885200759,-0.00013566765489505657
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,-0.00060333932962232,-0.0008146847714367221,-0.0007602021132000526,-0.0006125749898328434,1.0,-0.0007418685108159427,-0.0008225541497339314,-0.001090487610872159,0.0011097584356932356,-0.0008391688882352407,0.0014560492817753895,-0.00012787558777029235,0.0005519652757310602,-0.00016749065700037707,0.0006627466670337374,0.0009140815652915385,9.201540959110029e-06,-4.186111334859053e-05,-0.00029201547182628,-0.0001317401492416065
republican-primary::107927272895121873896592780561794303301515708678562694349024225854697593171909,-0.0007524670363017024,-0.001016050844666229,-0.0009481016784833229,-0.0007639854796149297,-0.0007418685108159427,1.0,-0.0010258653014306265,-0.0013600240202977607,0.0013840580252569238,-0.0010465867137855085,0.0003600451591050786,-0.0001594826655923162,0.0006883948298726092,-0.0006276834630378558,0.0008265581172602842,0.001140015597530345,1.1475890788098893e-05,-5.220794725485825e-05,-0.00036419309309226227,-0.00016430243280150878
west-virginia-primary::85804162766623143925505734230172858069182216823432975004068744981960196178654,-0.0008343053711326875,0.0021686507501985108,-0.0010512172421881408,-0.0008470765606462663,-0.0008225541497339313,-0.0010258653014306263,1.0,-0.0015079402688265367,0.001534588212802687,-0.001160413512542569,0.0003992036801612892,0.002915501795575764,0.0007632646698325348,-0.0006959503331301829,0.13046273773481595,0.001264003724162154,1.2724008974661386e-05,-5.788608498336505e-05,-0.00040380274355894915,-0.00018217196975191133
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.0011060665990179483,-0.0014935137992393,-0.0013936339380357895,-0.0006972495489291886,-0.0010904876108721589,-0.0013600240202977605,-0.0015079402688265365,1.0,0.0020344550378757543,-0.0015383990942428407,0.0005292377013370758,-0.00023442681343357552,-0.27770585026668987,-0.0009226446870474315,0.0012149745856537457,0.0016757321104525166,1.6868645246011798e-05,-7.674152338380747e-05,0.05294625346750325,-0.00024151148727034904
economic-policy::18690049947242812495755151360212639738977254879109748949267393375856311641700,0.0011256127318282757,0.0015199068022464554,0.0014182618890706048,0.0011428431297310806,0.0011097584356932356,0.001384058025256924,0.001534588212802687,0.0020344550378757543,0.9999999999999999,0.0015655852989777284,-0.0005385902578718724,0.0002385695455563432,-0.0010297673487967827,0.0009389494336203615,-0.0012364453132152258,-0.001705345229964953,-1.7166743733568304e-05,7.809768042666249e-05,0.0005447951373968263,0.00024577941798049587
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.00085115747208691,-0.0011493118325931976,-0.0010724507373844098,-0.0008641866263486747,-0.0008391688882352407,-0.0010465867137855083,-0.001160413512542569,-0.001538399094242841,0.0015655852989777286,1.0,0.0004072671793932815,-0.0001803997463522332,0.0007786818224913428,-0.0007100078061836191,0.0009349660299778248,0.0012895352850307777,1.298102072504539e-05,-5.9055323707863245e-05,-0.00041195913908929335,-0.0001858516541115051
bundesliga::75243767583801257521744211524447653598366317209903038558716257700246583477252,0.0002928138905495591,0.0003953844972201431,0.0003689428609095323,0.00029729616025296146,0.0014560492817753895,0.00036004515910507853,0.0003992036801612892,0.0005292377013370758,-0.0005385902578718725,0.0004072671793932815,1.0,6.206084457442625e-05,-0.00026788092852531763,0.00024425579856503146,-0.00032164558233652,-0.00044362395466610044,-4.465710877781767e-06,2.031612205690245e-05,0.00014172155238021842,6.393640153570014e-05
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.00012970245150184688,0.0027246904945909716,-0.00016342391897549756,-0.0001316878811128906,-0.00012787558777029235,-0.0001594826655923162,0.0029155017955757637,-0.00023442681343357555,0.00023856954555634324,-0.0001803997463522332,6.206084457442625e-05,1.0,0.00011865835010461431,-0.00010819355532610417,0.013905447147790958,0.00019650404684404084,1.97809484877773e-06,-8.99906364020346e-06,-6.277582234866976e-05,-2.8320746682553847e-05
ligue-1::22667617953671803775562636820557023939003625390106866761389646733205014974047,0.0005598507944676028,0.000755962514187528,0.0007054069511719359,0.0005684207507963713,0.0005519652757310602,0.0006883948298726092,0.0007632646698325348,-0.27770585026668987,-0.0010297673487967827,0.0007786818224913426,-0.00026788092852531763,0.0001186583501046143,1.0,0.0004670092754933945,-0.0006149760671194089,-0.0008481948141139857,-8.538296383742358e-06,3.88437756580162e-05,-0.02144288437720414,0.0001222443550337831
grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,-0.0005104760672315871,0.0013301213449510413,-0.0006431952402148722,-0.000518290216369686,-0.00016749065700037707,-0.0006276834630378558,-0.0006959503331301829,-0.0009226446870474315,0.0009389494336203615,-0.0007100078061836191,0.00024425579856503146,-0.00010819355532610418,0.0004670092754933945,1.0,0.0005607396958026978,0.0007733902626089697,7.785281367646568e-06,-3.5418040003296335e-05,-0.00024706977037610014,-0.0001114633009644113
south-dakota-midterm::67967023811721834738685695249992484419619114809767608640505747182577663027691,0.0006722148373883886,0.005269520951259111,0.0008469846317278355,0.0006825048143910111,0.0006627466670337374,0.0008265581172602841,0.13046273773481595,0.0012149745856537457,-0.001236445313215226,0.0009349660299778247,-0.00032164558233651995,0.013905447147790956,-0.0006149760671194089,0.0005607396958026979,1.0,-0.0010184305259145164,-1.0251962794178051e-05,4.6639859397422636e-05,0.00032535113040198184,0.00014677923127505286
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0009271403710294292,0.0012519109963122954,0.0011681885046858228,0.000941332638985255,0.0009140815652915384,0.0011400155975303447,0.001264003724162154,0.0016757321104525164,-0.001705345229964953,0.0012895352850307777,-0.00044362395466610044,0.00019650404684404084,-0.0008481948141139857,0.0007733902626089698,-0.0010184305259145162,1.0,-1.4139837534224028e-05,6.432719740981157e-05,0.00044873476599781715,0.0002024426468663945
nba-champion::5644679982684846699855787022092402984369447277920326773883608030240292167917,9.332996553924981e-06,1.2602278338315436e-05,1.1759491474264979e-05,9.47586207036928e-06,9.201540959110029e-06,1.1475890788098894e-05,1.2724008974661386e-05,1.6868645246011798e-05,-1.7166743733568304e-05,1.298102072504539e-05,-4.465710877781766e-06,1.97809484877773e-06,-8.538296383742356e-06,7.785281367646568e-06,-1.0251962794178051e-05,-1.4139837534224028e-05,1.0,6.47545431640187e-07,4.517158518328739e-06,2.03787536883287e-06
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-4.2459152044422586e-05,-5.7332288615033795e-05,-5.3498148594189364e-05,-4.310909857012929e-05,-4.1861113348590535e-05,-5.220794725485825e-05,-5.788608498336505e-05,-7.674152338380747e-05,7.80976804266625e-05,-5.9055323707863245e-05,2.031612205690245e-05,-8.999063640203458e-06,3.88437756580162e-05,-3.5418040003296335e-05,4.6639859397422636e-05,6.432719740981157e-05,6.47545431640187e-07,0.9999999999999999,-2.055017584442462e-05,-9.271026688258274e-06
hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,-0.00029618728040861685,-0.00039993956136293073,-0.00037319330170395963,-0.0003007211885200759,-0.00029201547182628,-0.00036419309309226227,-0.00040380274355894915,0.05294625346750326,0.0005447951373968263,-0.00041195913908929335,0.00014172155238021842,-6.277582234866976e-05,-0.021442884377204135,-0.00024706977037610014,0.00032535113040198184,0.00044873476599781715,4.517158518328739e-06,-2.055017584442462e-05,1.0,-6.467298683963363e-05
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,-0.00013362222309820423,-0.00018042912990896986,-0.0001683627958305376,-0.00013566765489505655,-0.00013174014924160647,-0.00016430243280150878,-0.0001821719697519113,-0.00024151148727034904,0.0002457794179804958,-0.00018585165411150507,6.393640153570014e-05,-2.832074668255385e-05,0.0001222443550337831,-0.0001114633009644113,0.00014677923127505289,0.0002024426468663945,2.03787536883287e-06,-9.271026688258274e-06,-6.467298683963363e-05,0.9999999999999999
