step,portfolio_return,cumulative_return,drawdown
0,-0.0011045456004257386,0.9988954543995743,0.0
1,0.000488936726469547,0.9993838510731338,0.0
2,-0.010456354233873895,0.9889339395107,-0.010456354233873921
3,0.0,0.9889339395107,-0.010456354233873921
4,0.0,0.9889339395107,-0.010456354233873921
5,0.0,0.9889339395107,-0.010456354233873921
6,0.0,0.9889339395107,-0.010456354233873921
7,0.0003060302082097758,0.9892365831701142,-0.010153523985927393
8,-0.00018886814761007604,0.9890497478891027,-0.01034047445627062
9,0.0,0.9890497478891027,-0.01034047445627062
10,0.0,0.9890497478891027,-0.01034047445627062
11,0.00019498616033657048,0.9892425989018254,-0.010147504545344299
12,0.0,0.9892425989018254,-0.010147504545344299
13,-1.562499973390785e-05,0.9892271419864808,-0.010162970990322484
14,0.0,0.9892271419864808,-0.010162970990322484
15,0.0,0.9892271419864808,-0.010162970990322484
16,0.0,0.9892271419864808,-0.010162970990322484
17,0.0,0.9892271419864808,-0.010162970990322484
18,-4.971590824425224e-05,0.9891779616606571,-0.010212181637233475
19,0.0,0.9891779616606571,-0.010212181637233475
20,0.00026146602931987055,0.9894365980945832,-0.009953385746496957
21,0.0,0.9894365980945832,-0.009953385746496957
22,0.0003653333961278546,0.9897980723272182,-0.009591688654586927
23,0.0,0.9897980723272182,-0.009591688654586927
24,0.0,0.9897980723272182,-0.009591688654586927
25,-0.0005093443540710149,0.9892939242674079,-0.01009614753619581
26,1.4794167903850907e-05,0.9893085600478297,-0.010081502732393832
27,0.0,0.9893085600478297,-0.010081502732393832
28,0.0,0.9893085600478297,-0.010081502732393832
29,0.0,0.9893085600478297,-0.010081502732393832
30,-0.0005347788747813971,0.9887794987292758,-0.010610890232487735
31,0.0,0.9887794987292758,-0.010610890232487735
32,-0.00047569771607716926,0.9883091385800264,-0.01108154037231579
33,-0.0003597649999640208,0.9879535795428207,-0.011437318621908221
34,0.0,0.9879535795428207,-0.011437318621908221
35,-0.0008491408939544978,0.9871146677571022,-0.012276747620903583
36,0.0,0.9871146677571022,-0.012276747620903583
37,0.0,0.9871146677571022,-0.012276747620903583
38,0.0,0.9871146677571022,-0.012276747620903583
39,0.00024436729324755287,0.9873558862965869,-0.012035380363242143
40,0.0,0.9873558862965869,-0.012035380363242143
41,0.0,0.9873558862965869,-0.012035380363242143
42,-0.00026750581318073084,0.9870917628573244,-0.012299666642211826
43,0.0,0.9870917628573244,-0.012299666642211826
44,0.0,0.9870917628573244,-0.012299666642211826
45,-0.00031154656290322913,0.9867842378113361,-0.012607381286247832
46,-0.009535451679408145,0.9773748043936844,-0.022022615890597175
47,0.0,0.9773748043936844,-0.022022615890597175
48,0.0,0.9773748043936844,-0.022022615890597175
49,-0.0013555719093842915,0.9760499025639083,-0.023348334560509
50,0.0029696289982114495,0.9789484086582636,-0.02044804145366841
51,0.0,0.9789484086582636,-0.02044804145366841
52,0.0,0.9789484086582636,-0.02044804145366841
