label,basketball::25475523485165949975510012377759235530663609002114542535065321675093084569420,bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,comex-gold-futures::91179457738197972030536046159970584284769890945507129337353196559348761227632,celebrities::53329768000302886237348067067040092244986863349220930322162535687958966280479,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,business::391670908629060088409431896998377161667071768186645889213963384874929102170,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931
basketball::25475523485165949975510012377759235530663609002114542535065321675093084569420,1.0,0.0004567642440025712,-0.00025005097599128,-0.00041962227232055643,0.0005253139056230389,-0.0038516015536910345,0.0003954222179360185,0.00039542221793602007,-0.00041249979159881046,-0.00016002001944613232,-0.00018514694772838757,-0.0026617209526885216,-0.00044646808288884926,-0.00034509547376860943,0.0002879300093854936,6.602812093360783e-05,-0.0006802773787870418,0.0002586555961356286,-5.062299844747035e-05,0.0004956390702009761
bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,0.0004567642440025712,1.0,0.00035051031522519616,0.0005882078018832432,-0.0007363616235536638,0.0002025995933056987,-0.0005542852440641313,-0.0005542852440641332,0.0005782238258037086,0.0002243089323529074,0.0002595307406979455,0.0002843680499530476,0.0006258390628190104,0.00048373945678037764,-0.00040360745624934646,-9.255527754057941e-05,0.0009535825146610744,-0.00036257188829937975,7.096106333168926e-05,-0.0006947647616465587
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.00025005097599128,0.00035051031522519616,1.0,-0.00032200842530433167,0.00040311373989921235,-0.00011091110284289855,0.00030343786335215234,0.0003034378633521531,-0.00031654279835182395,-0.00012279566142679737,-0.00014207748496814412,-0.00015567441927677672,-0.00034260927935173674,-0.00026481828400899156,0.00022095082896185812,5.066845267782271e-05,-0.0005220291246743839,0.00019848632139373673,0.10031378168912379,0.000380341957618499
airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,-0.0004196222723205564,0.0005882078018832432,-0.00032200842530433167,0.9999999999999998,0.01849069295973452,-0.00018612512435119187,0.0005092133122982313,0.0005092133122982316,-0.0005312053184536658,-0.000206069159597342,-0.00023842689216299,-0.0002612445454377331,-0.0005749487029584644,-0.0004444039846169496,0.00037078795054701423,-0.057687046978105505,-0.000876041561705462,0.00033308920662118154,-6.519083538719157e-05,0.0006382696803402531
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.0005253139056230389,-0.0007363616235536637,0.00040311373989921235,0.018490692959734517,1.0,0.00023300506778823704,-0.0006374705336762666,-0.0006374705336762662,0.0006650017383049378,0.00025797247238069617,0.00029848025281180654,0.0003270450629984143,0.0007197629120441217,0.0005563374687967882,-0.0004641795236050394,-0.0001064456663788118,0.0010966930132728313,-0.0004169854738248678,8.161066417826985e-05,-0.0007990327509693743
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-0.003851601553691034,0.0002025995933056987,-0.00011091110284289855,-0.0001861251243511919,0.00023300506778823704,0.9999999999999999,0.00017539109417992002,0.0001753910941799203,-0.00018296591975823807,-7.097751473816004e-05,-8.212266350548799e-05,0.01716942989939169,-0.00019803269017867168,-0.00015306846705970522,0.00012771249844521423,2.928703510297614e-05,-0.0003017397313537277,0.00011472771625930253,-2.2454031881959724e-05,0.00021984267675857812
california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,0.0003954222179360185,-0.0005542852440641312,0.00030343786335215234,0.0005092133122982313,-0.0006374705336762666,0.00017539109417992002,1.0,-0.00047984644913627816,0.000500570153344721,0.00019418493609878166,0.00022467656445713377,0.0002461782998538297,0.0005417908112122278,0.0004187747430207914,-0.00034940422246521844,-8.01253898643036e-05,0.0008255193305589981,-0.0003138796044459757,6.143121187383869e-05,-0.0006014600017433306
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.00039542221793602007,-0.0005542852440641333,0.00030343786335215316,0.0005092133122982317,-0.0006374705336762661,0.0001753910941799203,-0.0004798464491362782,1.0,0.0005005701533447213,0.00019418493609878252,0.0002246765644571348,0.0002461782998538309,0.0005417908112122306,0.0004187747430207919,-0.0003494042224652175,-8.012538986430347e-05,0.0008255193305589996,-0.00031387960444597605,6.143121187383841e-05,-0.0006014600017433286
comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,-0.00041249979159881046,0.0005782238258037085,-0.00031654279835182395,-0.0005312053184536659,0.0006650017383049378,-0.00018296591975823807,0.000500570153344721,0.0005005701533447213,0.9999999999999999,-0.00020257143387258675,-0.00023437994076171327,-0.0002568102973978265,-0.0005651897808922823,-0.00043686087019742016,0.0003644943617557901,8.358586119241903e-05,-0.000861172024156413,-0.08753862928605576,-6.408431531209317e-05,0.0006274359763322353
best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,-0.00016002001944613234,0.0002243089323529074,-0.00012279566142679737,-0.000206069159597342,0.00025797247238069617,-7.097751473816004e-05,0.00019418493609878166,0.00019418493609878252,-0.00020257143387258675,1.0,-9.09224281862182e-05,-9.962378071583298e-05,-0.00021925266768886033,-0.0001694703521504656,0.00014139739229951942,0.17765054903614474,-0.0003340723240558657,0.00012702123990239906,-2.4860069244367445e-05,0.00024339967965737844
