label,grooming-gangs::65075454639388714811293775905500639483433054272204316386263594369997153544149,league-of-legends::89958419168244050451443228284990944744088214601708643333969277675829695680590,west-virginia-primary::85804162766623143925505734230172858069182216823432975004068744981960196178654,roland-garros::104812555872482040859204311862207595317318459151981099582262357665296846969541,basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,natural-disasters::52742072726655342667303322232600981394438522628089364540756474997538505603610,nba-champion::82402823484466457361170410951601106261368113664328436062375970009969959380598,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,serie-a::91681655108670616412919019847395705594860242172439222709398777917282123641489,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,usdptai::99804639596039576605430305696643768871601282444072106847249567969182778209050,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,economic-policy::18690049947242812495755151360212639738977254879109748949267393375856311641700,ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224
grooming-gangs::65075454639388714811293775905500639483433054272204316386263594369997153544149,0.9999999999999999,-0.0007656267262526472,0.003308666419605248,0.0014620401458938174,-5.2974088790426066e-05,0.001371974020578065,-0.0006970571321261172,0.0010397764114899101,0.001062754752416502,0.0013532169739278105,-0.0010097177669063358,-0.0006706638198290903,-0.000971120706185858,0.0007469370761988134,0.0007469370761988221,-0.0018623989177876511,0.0010803226657437961,0.0010422495242006584,0.000902314931857218,0.0010361000388163146
league-of-legends::89958419168244050451443228284990944744088214601708643333969277675829695680590,-0.0007656267262526472,1.0,-0.0007794836449380175,0.0011942604960053613,-4.3271630900128546e-05,0.0011206904125880643,-0.0005693877823362297,0.0008493363854666658,0.0008681061332806959,0.0011053688088010186,-0.0008247831254960297,-0.0005478285315019825,-0.000793255301167947,0.0006101319759319409,0.0006101319759319417,-0.000660645455928481,0.0008824563992039239,0.0008513565357484073,0.0007370516337046739,0.000846333358042977
west-virginia-primary::85804162766623143925505734230172858069182216823432975004068744981960196178654,0.003308666419605248,-0.0007794836449380175,1.0,0.0014885013060410449,-5.3932855792192704e-05,0.0013968050926784533,-0.000709673024006217,0.0010585951082398004,0.0010819893293738713,0.0013777085661468398,-0.0010279924385072905,-0.000682802024646034,-0.0009886968176222412,0.0007604557347997575,0.0007604557347997562,-0.000847937398439714,0.0010998752007061387,0.0010611129813025222,0.0009186457419120402,0.0010548521976627512
roland-garros::104812555872482040859204311862207595317318459151981099582262357665296846969541,0.0014620401458938174,0.0011942604960053615,0.0014885013060410449,0.9999999999999998,8.263146959868626e-05,-0.0021400694596198705,0.001087302425336589,-0.0016218920400002392,-0.0016577347344770936,-0.002110811338047021,0.0015750051556233996,0.001046132898262537,0.0015147996490758495,-0.0011651075028063227,-0.0011651075028063225,0.0012615680012860598,-0.00168513799009059,-0.0016257497172616972,-0.0014074731734446478,-0.001616157461383633
basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,-5.297408879042606e-05,-4.3271630900128546e-05,-5.393285579219271e-05,8.263146959868627e-05,1.0,7.754111943504037e-05,-3.939621998998683e-05,-0.003667471555226499,6.0064689237020714e-05,-0.21158390663324217,-5.7067149075008774e-05,-0.054772733027130226,-5.4885723442833004e-05,4.2215330733150375e-05,4.221533073315036e-05,-4.571038319500337e-05,6.105759117619987e-05,5.890577636675051e-05,5.0996964118666193e-05,5.8558220237041085e-05
natural-disasters::52742072726655342667303322232600981394438522628089364540756474997538505603610,0.001371974020578065,0.0011206904125880645,0.0013968050926784533,-0.0021400694596198705,7.754111943504037e-05,1.0,0.0010203212847902411,-0.0015219785512129722,-0.0015556132265588285,-0.0019807789316015506,0.0014779800416976677,0.000981687925956886,0.0014214833776963773,-0.0010933333325492238,-0.001093333332549222,0.0011838515705729167,-0.0015813283581758264,-0.0015255985838073978,-0.0013207685398037223,-0.0015165972401025808
nba-champion::82402823484466457361170410951601106261368113664328436062375970009969959380598,-0.0006970571321261172,-0.0005693877823362297,-0.000709673024006217,0.001087302425336589,-3.9396219989986826e-05,0.0010203212847902413,1.0,0.0007732697472062907,0.000790358474824259,0.0010063718851296307,-0.0007509154792678574,-0.000498764962052301,-0.0007222112895435869,0.0005554885047484754,0.0005554885047484757,-0.0006014779932194884,0.0008034235297220313,0.0007751089726585299,0.0006710412272749128,0.0007705356711717302
new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0010397764114899101,0.0008493363854666659,0.0010585951082398002,-0.0016218920400002392,-0.0036674715552264987,-0.0015219785512129724,0.0007732697472062906,1.0,-0.0011789508504658705,-0.0015011707062701615,0.0011201150757669672,0.0007439907268975606,0.001077298012414951,-0.0008286033059149052,-0.0008286033059149054,0.000897204261395833,-0.0011984395484096163,0.022962228580941754,-0.0010009693712328951,-0.0011493818485899317
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,0.0010627547524165023,0.0008681061332806959,0.0010819893293738713,-0.0016577347344770934,6.006468923702072e-05,-0.0015556132265588283,0.0007903584748242591,-0.0011789508504658705,1.0,-0.0015343455426066214,0.0011448688457155645,0.0007604324083782858,0.0011011055548204702,-0.0008469148669830578,-0.000846914866983053,0.07582313529283574,-0.0012249242351354995,-0.0011817549901842084,0.0059468816584251636,-0.0011747823940147831
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.0013532169739278105,0.0011053688088010186,0.0013777085661468398,-0.002110811338047021,-0.21158390663324217,-0.0019807789316015506,0.0010063718851296307,-0.0015011707062701613,-0.0015343455426066214,1.0,0.0014577737257073877,-0.12359067133544605,0.0014020494601235198,-0.0010783857431522794,-0.0010783857431522798,0.0011676664542346065,-0.0015597091078556457,-0.001504741247315015,-0.0013027115527590092,-0.0014958629661618423
