label,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,business::73927186257882802877663040737479279251981612783026680169571204930062095676076,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,bernie-sanders::7096166888327966243811396544854606771946352128513885963401994819079689910004,celebrities::57955640188079704627338459527408392992687219573092607243447477832343715648687,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,best-of-2025::54629028506523833335885803700179643513606668084450837932008867003134712218517,democratic-primary::36538842701383075131399258783814730353525125143988435459349182813934073807848,comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,france::63931284508031754808359645663279593286333277328858705756576520335090573316938,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,awards::47252200832793247423089215877857667425039333476763845614656878203768571431091,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,fifa-world-cup::96570915933183650323624717300751327226821728969018565701035634346205052779472,connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.9999999999999999,0.0007030321798227836,-0.22404294235105257,-0.00041341213112458996,0.0010595246892882513,-0.000867300686088941,-0.0006397472744516607,-0.0011117647898803659,0.001189095204889782,-0.0012537000435684296,0.0003822176230527819,-0.0001709185198702476,0.001111764789880361,0.0008624257575187389,0.00032812259280797125,0.0008018334943403656,0.0008081704916383449,0.0007053256617064395,-0.0006072820464789285,-0.0004354707667761463
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,0.0007030321798227836,1.0,-0.00014022989097311957,0.00012221584697632619,-0.00031322425624386843,0.0002563976234687732,0.00018912665863291485,0.0003286678479029366,-0.0003515288175162243,0.00037062776136289493,-0.00011299390369508653,5.0528153620114935e-05,-0.0003286678479029383,-0.0002549564622659489,-9.700194448336183e-05,-0.0002370437446482623,-0.0002389171330511492,-0.00020851340986317515,0.00017952905605852243,0.00012873697840022627
basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,-0.22404294235105257,-0.00014022989097311957,1.0,8.246100212536268e-05,-0.0002113374549934116,0.00017299560979102988,0.00012760680538026112,0.0002217574952429269,-0.00023718215996937722,0.0002500685252656696,-7.623880833194192e-05,3.409215978240685e-05,-0.0002217574952429306,-0.001970410744012157,-6.544877565473443e-05,-0.00015993723575823216,-0.00016120124111346036,-0.00014068735895783277,0.00012113114820596206,8.686091462042458e-05
business::73927186257882802877663040737479279251981612783026680169571204930062095676076,-0.00041341213112459,0.00012221584697632619,8.246100212536267e-05,1.0,0.00018418887642715191,-0.00015077245533799395,-0.00011121433305885274,-0.00019327034996880133,0.0002067135499227391,-0.00021794452242227677,6.64451100125257e-05,-2.971265365853945e-05,0.0001932703499688058,0.00014992499267375514,5.7041173566482684e-05,0.00013939157048187194,0.0001404932006977932,0.00012261454825768632,-0.00010557054398654531,-7.570269202810919e-05
congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,0.0010595246892882513,-0.00031322425624386843,-0.0002113374549934116,0.00018418887642715194,0.9999999999999998,0.0003864113480672679,0.0002850287226890126,0.0004953282501466327,0.14298551204818633,0.0005585651339581726,-0.00017029068389754024,7.614989441615012e-05,-0.0004953282501466269,-0.000384239404990608,-0.00014618954585406382,-0.00035724353323268883,-0.0003600668766335382,-0.00031424607882586555,0.0002705643821120097,0.00019401673344992239
foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,-0.000867300686088941,0.00025639762346877325,0.00017299560979102988,-0.00015077245533799395,0.0003864113480672679,1.0,0.05506393268615787,-0.00040546344557576514,0.00043366604454536,-0.0004572275934718517,0.00013939573893092096,-6.23344187638438e-05,0.00040546344557576786,0.05476631796257945,0.00011966714386187224,0.00029243071407961856,0.00029474183310626583,0.0002572340621430103,-0.00022147730638972588,-0.00015881729584507487
bernie-sanders::7096166888327966243811396544854606771946352128513885963401994819079689910004,-0.0006397472744516607,0.00018912665863291485,0.0001276068053802611,-0.00011121433305885274,0.00028502872268901263,0.05506393268615787,1.0,-0.00029908212729152074,0.0003198852191288138,-0.0003372649317813598,0.00010282252220205009,-4.597975667300389e-05,0.000299082127291519,0.00023200602549885256,8.827011249383251e-05,0.00021570575845158036,-0.003112811249228359,0.00018974364115197564,-0.0001633683743001188,-0.00011714845126071343
celebrities::57955640188079704627338459527408392992687219573092607243447477832343715648687,-0.0011117647898803659,0.0003286678479029366,0.0002217574952429269,-0.00019327034996880133,0.0004953282501466329,-0.00040546344557576514,-0.0002990821272915207,0.9999999999999998,0.0005559025221880078,-0.0005861053121911329,0.00017868690396362255,-7.990448190674678e-05,0.0005197505197505148,0.0004031844143623603,0.00015339745394544395,0.0003748575051397543,0.0003778200541152801,0.00032974005167473624,-0.0002839046191834718,-0.0002035827716691896
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,0.001189095204889782,-0.0003515288175162243,-0.0002371821599693772,0.00020671354992273907,0.14298551204818633,0.00043366604454535995,0.0003198852191288138,0.0005559025221880079,1.0,0.000626872718609743,-0.00019111573114543361,8.546235422218903e-05,-0.0005559025221880064,-0.00043122849200518,-0.00016406723669352004,-0.00040093126346138513,-0.000404099876834579,-0.00035267559997895117,0.00030365201739611353,0.00021774326709522642
best-of-2025::54629028506523833335885803700179643513606668084450837932008867003134712218517,-0.0012537000435684294,0.00037062776136289493,0.0002500685252656696,-0.00021794452242227677,0.0005585651339581726,-0.00045722759347185173,-0.00033726493178135985,-0.0005861053121911329,0.000626872718609743,1.0,0.00020149925714809237,-9.010561708702944e-05,0.0005861053121911329,0.0004546576060450566,0.0001729811885078483,0.0004227142960483776,0.00042605506364014757,0.00037183684976689455,-0.0003201497625031854,-0.0002295734961519105
