label,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,congress::109303663734739671465714636465895865472163062510173069449390862173969575719974,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,big-tech::101572915378052466010537773686792142702472736962773444087157973880663103257016,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,brazil::46016408901619903295207375832539898750164493226855442884509133805980187874445,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,climate-science::65727333669531232905091448824819612789481034857852260350036556651884360807432,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,business::391670908629060088409431896998377161667071768186645889213963384874929102170,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,elon-musk::32431890167345181985795456212069136470689842825539004695200064630822423107335
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,0.9999999999999998,-0.0011425140486417474,-0.00025444244008718383,0.0005345327561294577,0.000537826574632802,0.8594052652857491,-0.00014707146022801263,-6.274184177501062e-05,-0.00042698887990202976,0.00040236446256932556,-0.27295026269299144,0.0005043380687800485,-0.00016283069641318847,-0.000454305342667532,0.00040236446256933044,-0.0006922079452717232,0.0002631981076950294,0.7504607979792007,-7.957366654351227e-05,-0.0002967543254444045
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.0011425140486417472,1.0,0.10031491089991391,7.841262045750775e-05,7.889580308232943e-05,-5.1406092569330614e-05,-2.1574465659494925e-05,-9.203836751807528e-06,-6.263660476445413e-05,5.902435636965691e-05,0.029318431023433438,-0.022351941939585507,-2.388624728844035e-05,-6.66437594289923e-05,5.90243563696533e-05,-0.0001015425869937113,3.8609520346826177e-05,-0.01610414634430853,-1.167296043421014e-05,-4.353200813863926e-05
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.00025444244008718383,0.10031491089991391,1.0,0.00038731569073195677,0.0003897023500603905,-0.0002539181337793829,-0.00010656612443667979,-4.5461946917614175e-05,-0.00030939075493077603,0.00029154821282513364,-4.7863092484793816e-05,0.0003654370012539784,-0.00011798506813746888,-0.0003291839191906983,0.00029154821282513483,-0.0005015651433494791,0.00019071002798667756,-0.00010608018262183383,-5.765807477271072e-05,-0.00021502443997905186
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.0005345327561294577,7.841262045750775e-05,0.00038731569073195677,1.0,-0.0008186868164624161,0.0005334312932773212,0.000223874146882316,9.550647201999777e-05,0.018463693084011572,-0.0006124845748713624,0.0001005507993635352,-0.0007677101642518082,0.00024786306730917383,0.0006915496783406117,-0.0006124845748713462,0.0010536882068934684,-0.00040064368525278963,0.00022285328016873057,0.00012112810115644991,0.0004517234094194842
congress::109303663734739671465714636465895865472163062510173069449390862173969575719974,0.000537826574632802,7.889580308232943e-05,0.00038970235006039047,-0.0008186868164624161,1.0,0.0005367183245095716,0.00022525367096005246,9.609498784267957e-05,0.0006539733304336214,-0.0006162587365155291,0.00010117039859233169,-0.0007724408340100678,0.00024939041235592734,0.0006958110432436791,-0.0006162587365155038,0.001060181088148777,-0.0004031124723731438,0.00022422651361295312,0.00012187449878370538,0.0004545069524433328
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,0.859405265285749,-5.1406092569330614e-05,-0.0002539181337793829,0.0005334312932773212,0.0005367183245095715,1.0,-0.00014676840349633262,-6.261255538947145e-05,-0.00042610902289775605,0.0004015353468538551,-0.27672428868838644,0.000503298825363614,-0.0001624951660621905,-0.00045336919712221516,0.0004015353468538579,-0.0006907815755517521,0.000262655759382313,0.7483865222682963,-7.940969635328268e-05,-0.00029614283089717496
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-0.00014707146022801266,-2.1574465659494922e-05,-0.00010656612443667979,0.000223874146882316,0.00022525367096005243,-0.00014676840349633265,0.9999999999999998,-2.6277671742541677e-05,-0.00017883239169191168,0.00016851914080201968,-2.7665569078631217e-05,0.0002112279436455443,-6.819709892002996e-05,-0.00019027313078103856,0.00016851914080201735,-0.0002899120052716301,0.00011023319178402986,-6.13159005789363e-05,-3.332721242514708e-05,-0.0001242872783392409
big-tech::101572915378052466010537773686792142702472736962773444087157973880663103257016,-6.274184177501062e-05,-9.203836751807528e-06,-4.5461946917614175e-05,9.550647201999777e-05,9.609498784267957e-05,-6.261255538947144e-05,-2.627767174254168e-05,0.9999999999999999,-7.629130496416814e-05,7.189159101205656e-05,-1.1802349382101051e-05,9.011150224606358e-05,-2.9093418827290745e-05,-8.117201425070847e-05,7.189159101207173e-05,-0.0001236787418526241,4.70263466925882e-05,-2.6157845488520237e-05,-1.4217650967353042e-05,-5.30219305643403e-05
airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,-0.00042698887990202976,-6.263660476445413e-05,-0.00030939075493077603,0.01846369308401157,0.0006539733304336213,-0.00042610902289775605,-0.00017883239169191168,-7.629130496416814e-05,1.0,0.0004892573927092542,-8.032075247244953e-05,0.0006132527882798213,-0.0001979949259719341,-0.0005524152059256741,0.0004892573927092491,-0.0008416942499188075,0.0003200372595397697,-0.0001780169155034735,-9.675805952839801e-05,-0.00036084013636544375
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.00040236446256932556,5.902435636965691e-05,0.0002915482128251337,-0.0006124845748713625,-0.0006162587365155291,0.00040153534685385506,0.00016851914080201968,7.189159101205656e-05,0.0004892573927092542,1.0,7.568866057859222e-05,-0.0005778865450359495,0.0001865765731380002,0.000520557461586369,-0.00046104195481789064,0.0007931538043660246,-0.00030158073429553694,0.00016775069306544971,9.117802934429518e-05,0.00034003051221248934
