label,best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,california-midterm::97079880955117270083666806029014143818118511996487378321036003805764596740938,crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,climate-science::106675477628507501040585426713979928715996831915977868937330396914038840931958,congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,celebrities::23005637933822940407409688590812244627276491317942755040724456648138996410008,bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,business::73927186257882802877663040737479279251981612783026680169571204930062095676076,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,base::22056280440419108399189383402666130126211471357531451866320292446775191982898
best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,1.0,-0.007367065488012774,-0.0003723448816847506,-0.0008757307884574355,0.0006762355225155741,-0.00013360023684765173,-0.009722388761297884,-0.0004759628074226481,0.0005888208366207735,0.0005888208366207735,0.0008324801436522967,-0.002945356964474792,0.00021272330003497004,0.0007380616662241071,-0.000148565848627411,0.0002806621122546437,-0.0007595899627515778,0.00020318407522292736,-0.00021423769545835525,-0.0011756696439133396
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,-0.007367065488012775,1.0,-0.00029249018312335124,-0.0006879177646372093,0.0005312071188414007,-0.0011716885977917407,0.8456675709078586,-0.00037388575901205705,0.0004625397656892447,0.0004625397656892447,0.0006539428407386325,0.14765427255325378,0.0017437249299438907,0.0005797737595678506,-0.00011670377225085274,0.0002766563213727879,-0.0005966850042321275,0.00015960833703636845,0.7528561167664932,-0.0009235304320147189
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.0003723448816847506,-0.00029249018312335124,1.0,-0.000489323736847433,0.00037785367058882805,0.09773259416583441,-0.0002418440441023637,-0.0002659491964861566,0.00032900980062196457,0.0003290098006219647,0.0004651569867273408,-9.645871358258395e-05,-0.10058011990824291,0.0004123996749923253,-8.301272169078765e-05,0.0001967887906892277,-0.00042442883582991333,0.00011353122702366508,-0.00011970755293406655,-0.0006569177092324195
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.0008757307884574354,-0.0006879177646372093,-0.000489323736847433,1.0,0.0008886870993608955,-0.00017557315906210243,-0.0005688013608974941,-0.0006254951014087921,0.0007738095144620549,0.0007738095144620546,0.0010940187841446355,-0.00022686458027047437,0.0002795541585442127,0.0009699370403764464,-0.00019524048750003639,0.0004628343541345577,-0.0009982288392515117,0.00026701801433691224,-0.00028154432858303383,-0.0015450274510415867
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.0006762355225155741,0.0005312071188414007,0.00037785367058882805,0.0008886870993608955,1.0,0.0001355768331123851,0.000439225947704332,0.0004830046086162692,-0.0005975323561039698,-0.0005975323561039698,-0.0008447965674942717,0.00017518384645321872,-0.00021587051062523812,-0.0007489811822894998,0.00015076385896326254,-0.00035739868396958885,0.0007708279868638678,-0.00020619015435583153,0.00021740731131082627,0.0011930635069898482
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.00013360023684765173,-0.0011716885977917407,0.0977325941658344,-0.0001755731590621024,0.0001355768331123851,1.0,-8.677552226870163e-05,-9.542463825265319e-05,0.00011805127302786735,0.00011805127302786735,0.00016690194133172595,-3.461013596412198e-05,0.08133554305564838,-0.021709976455619305,-2.9785609591507982e-05,7.060934724303364e-05,-0.0001522883643123657,4.0735886448437266e-05,-0.015717632192195186,-0.0002357071786397684
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,-0.009722388761297886,0.8456675709078586,-0.0002418440441023637,-0.000568801360897494,0.00043922594770433196,-8.677552226870163e-05,1.0,-0.000309145568668968,0.00038244869040706834,0.00038244869040706834,0.0005407093651048139,0.13221801783459114,0.00013816723603794472,0.0004793830315296043,-9.649593002321282e-05,0.00022875189475696594,-0.0004933660095452657,0.00013197135469346106,0.7340652690772901,-0.0007636165157578882
comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,-0.0004759628074226481,-0.000373885759012057,-0.0002659491964861566,-0.0006254951014087921,0.0004830046086162692,-9.542463825265319e-05,-0.000309145568668968,1.0,0.00042056823143384926,0.00042056823143384926,0.0005946031117528811,-0.0001233017086455274,0.00015193868239091204,0.000527164241392001,-0.0001061139014157226,0.03801919426483095,-0.0005425409350027476,0.00014512524329546566,-0.00015302034690632175,-0.0008397279310439085
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.0005888208366207735,0.00046253976568924463,0.00032900980062196457,0.0007738095144620547,-0.0005975323561039698,0.00011805127302786735,0.0003824486904070683,0.00042056823143384926,1.0,-0.0005202913631633489,-0.000735592563661682,0.0001525384212992924,-0.0001879656575792717,-0.000652162910236285,0.00013127512325393555,-0.0003111989611537842,0.0006711856520453988,-0.00017953664832502113,0.0001893038012219565,0.0010388402101595918
california-midterm::97079880955117270083666806029014143818118511996487378321036003805764596740938,0.0005888208366207735,0.00046253976568924463,0.0003290098006219646,0.0007738095144620545,-0.0005975323561039698,0.00011805127302786735,0.0003824486904070683,0.00042056823143384926,-0.0005202913631633489,1.0,-0.0007355925636616818,0.0001525384212992924,-0.00018796565757927164,-0.000652162910236285,0.00013127512325393555,-0.0003111989611537842,0.0006711856520453988,-0.00017953664832502113,0.0001893038012219565,0.0010388402101595918
