token_a,token_b,corr,abs_corr
94195159380649683762164114216519545499991614727769221572315275622082093227806,94387913280398317052582281843978069916338462525042652614881277797162415545237,0.8669879036201481,0.8669879036201481
94195159380649683762164114216519545499991614727769221572315275622082093227806,3783874556587832518151104525711027133710881159533628607061884012946071097261,0.7795521647773608,0.7795521647773608
94387913280398317052582281843978069916338462525042652614881277797162415545237,3783874556587832518151104525711027133710881159533628607061884012946071097261,0.7736674918725606,0.7736674918725606
63415064977569429650854303533694905713854849186055984415925532647266316927744,5161623255678193352839985156330393796378434470119114669671615782853260939535,0.17603864107416364,0.17603864107416364
5161623255678193352839985156330393796378434470119114669671615782853260939535,30168634295384984099987626703440157654602987915064535215384295190163901851184,0.09411624644370191,0.09411624644370191
57692461228141098196519006129212454078633070644580607609751365664388305515775,13516120433742364095801101793558742894298506681439248699088928599069619128824,0.06680481157384409,0.06680481157384409
92206458231325096769152348269441704588222763710040504959674288895806154976594,5161623255678193352839985156330393796378434470119114669671615782853260939535,-0.05685308472535669,0.05685308472535669
9556122149160720922715284597610520228366807023831966638741974320131898296289,92206458231325096769152348269441704588222763710040504959674288895806154976594,0.018695920882956407,0.018695920882956407
11966409881281293602137861492007400834690026843003461391578987664208256196909,3783874556587832518151104525711027133710881159533628607061884012946071097261,-0.016288329381470266,0.016288329381470266
107870429546933970357003646744953533078588414978993746450690176970570179686431,78994096084018614649961134380557835172033452849084058029827070275341232468538,0.013334682992146836,0.013334682992146836
109303663734739671465714636465895865472163062510173069449390862173969575719974,13516120433742364095801101793558742894298506681439248699088928599069619128824,0.012897234345666178,0.012897234345666178
109303663734739671465714636465895865472163062510173069449390862173969575719974,57692461228141098196519006129212454078633070644580607609751365664388305515775,-0.011163756515221822,0.011163756515221822
94195159380649683762164114216519545499991614727769221572315275622082093227806,11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.001153188665779677,0.001153188665779677
57692461228141098196519006129212454078633070644580607609751365664388305515775,70026524713009669538763377800911903794570186848119999786864842995489783143838,0.0008944422702454408,0.0008944422702454408
9556122149160720922715284597610520228366807023831966638741974320131898296289,57692461228141098196519006129212454078633070644580607609751365664388305515775,-0.0007962960623793248,0.0007962960623793248
9556122149160720922715284597610520228366807023831966638741974320131898296289,70026524713009669538763377800911903794570186848119999786864842995489783143838,0.0007017989037330758,0.0007017989037330758
57692461228141098196519006129212454078633070644580607609751365664388305515775,92206458231325096769152348269441704588222763710040504959674288895806154976594,0.0007012861032133395,0.0007012861032133395
57692461228141098196519006129212454078633070644580607609751365664388305515775,100075392620587674415757008337155597840247947392028754376271407831307492671931,-0.0006933667034513972,0.0006933667034513972
