run,fee_rate,kelly_vs_dynamic_logw_delta,kelly_vs_dynamic_sortino_delta,kelly_vs_dynamic_maxdd_delta_pp,kelly_vs_dynamic_ci_lo,kelly_vs_dynamic_ci_hi,kelly_vs_dynamic_frac_pos,kelly_vs_neh_logw_delta,kelly_vs_neh_sortino_delta,kelly_vs_neh_ci_lo,kelly_vs_neh_ci_hi,kelly_vs_neh_frac_pos
week14_M_seed7,0.001,0.2014588236976265,0.024277809515680197,-6.021535710528458,-0.04738319489100712,0.10765629171245512,0.743,0.90146213620225,0.1208052385915652,0.02205362454498402,0.23898483964784026,0.9923333333333333
week14_MF_seed7,0.001,-0.07725631960807189,-0.018635642621268697,-6.369142686181284,-0.05912957591583862,0.02102624974693903,0.167,0.41065146157411736,0.046787537316037145,-0.022407679451322274,0.12066931668500988,0.8993333333333333
week14_M_smoke,0.001,-0.11475086207440198,-0.02048481181392323,-6.136302050967945,-0.06011175914075995,0.020693545804098774,0.15833333333333333,0.3126235072145878,0.04702483713434082,-0.012313182931052553,0.114229827837209,0.933
