token_a,token_b,corr,abs_corr
57301498276970257025109591078431189727442302532145853906375186182281603517458,24315108267836543154857233535536136482524552716493402526894829400485516895736,0.09737648482360144,0.09737648482360144
103950812176015306889097643332505690876545410954871160290129574415932884036868,24315108267836543154857233535536136482524552716493402526894829400485516895736,0.033813188219703735,0.033813188219703735
43730668550917761725713780192382120243054780302570603837017194778854370301083,44488146241641686838477630423381146915926290111161217223359635890474557300976,-0.010505260810298428,0.010505260810298428
36553834009124167357981460132800746681781045509640776189348736916365216865880,34554555827438551101000555305203609600029621153428996114009350892614396532498,-0.009768551582540171,0.009768551582540171
7345183309756257693783741573478340128830660331823026035095352170224920670792,51613719567621754724891717390585755097347351696566637940067208667324364080624,0.006233203759797844,0.006233203759797844
34554555827438551101000555305203609600029621153428996114009350892614396532498,62831517509825405761763142539845746280269675872170259538293560849475982647892,-0.004018568923195677,0.004018568923195677
7345183309756257693783741573478340128830660331823026035095352170224920670792,34554555827438551101000555305203609600029621153428996114009350892614396532498,0.002035457983794712,0.002035457983794712
11843131838379676792721059608342146205696413823676149302931627463939711085828,7345183309756257693783741573478340128830660331823026035095352170224920670792,0.0014812698727482158,0.0014812698727482158
11843131838379676792721059608342146205696413823676149302931627463939711085828,103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0014347894160989445,0.0014347894160989445
7345183309756257693783741573478340128830660331823026035095352170224920670792,103950812176015306889097643332505690876545410954871160290129574415932884036868,-0.0013943037857954911,0.0013943037857954911
11843131838379676792721059608342146205696413823676149302931627463939711085828,31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0013813417972101266,0.0013813417972101266
11843131838379676792721059608342146205696413823676149302931627463939711085828,49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0013760510107958181,0.0013760510107958181
31317702573839002987249831884538721320741670016050389364356636973937868446333,7345183309756257693783741573478340128830660331823026035095352170224920670792,-0.0013423643049753464,0.0013423643049753464
7345183309756257693783741573478340128830660331823026035095352170224920670792,49662274238485451283220527378586398370959042852997899886824914466317758572224,-0.0013372228093352645,0.0013372228093352645
31317702573839002987249831884538721320741670016050389364356636973937868446333,103950812176015306889097643332505690876545410954871160290129574415932884036868,-0.0013002425370025796,0.0013002425370025796
49662274238485451283220527378586398370959042852997899886824914466317758572224,103950812176015306889097643332505690876545410954871160290129574415932884036868,-0.0012952623752757817,0.0012952623752757817
11843131838379676792721059608342146205696413823676149302931627463939711085828,57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.001264596682777355,0.001264596682777355
11843131838379676792721059608342146205696413823676149302931627463939711085828,81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.0012473492597893279,0.0012473492597893279
31317702573839002987249831884538721320741670016050389364356636973937868446333,49662274238485451283220527378586398370959042852997899886824914466317758572224,-0.0012470123052529738,0.0012470123052529738
7345183309756257693783741573478340128830660331823026035095352170224920670792,57301498276970257025109591078431189727442302532145853906375186182281603517458,0.0012289134018669792,0.0012289134018669792
7345183309756257693783741573478340128830660331823026035095352170224920670792,81085168149210534701056807267483472863288984314426354863145129521956049193057,0.0012121526515452995,0.0012121526515452995
11843131838379676792721059608342146205696413823676149302931627463939711085828,51613719567621754724891717390585755097347351696566637940067208667324364080624,0.001208807127351747,0.001208807127351747
57301498276970257025109591078431189727442302532145853906375186182281603517458,103950812176015306889097643332505690876545410954871160290129574415932884036868,0.001190351585987197,0.001190351585987197
81085168149210534701056807267483472863288984314426354863145129521956049193057,103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0011741167677343939,0.0011741167677343939
