category,airdrops,best-of-2025,colombia-election,fifa-world-cup,la-liga,ligue-1,nba,nba-champion,new-mexico-primary,prediction-markets,primaries,roland-garros,serie-a,south-dakota-primary,taylor-swift,trump,uefa-europa-league,ufc
airdrops,1.0,-0.00019903687968666307,-9.387813159116549e-05,1.8349743251147812e-05,-9.71509204792609e-05,-0.00010375809565683105,0.04728035752261807,-5.451707852891461e-05,7.663433688588651e-05,-3.0512200946549144e-06,-4.906626037874912e-05,6.606789846608819e-05,-6.330390069731025e-05,-2.5152179735183143e-05,-6.812014262739297e-05,-0.00012236493517655568,-0.00012189418374525525,-0.00010116956878294901
best-of-2025,-0.00019903687968666307,1.0,-0.00026446322798233857,5.1692894293846115e-05,-0.00027368297169879833,-0.0002922959846091387,0.0001814874583728485,-0.0001535795645221463,0.00021588589124663975,-0.015238390029266002,0.0016265310699073259,0.00018611927398005408,-0.00017833284108372793,-7.085597604909865e-05,0.000714370837258584,-0.0011653952660006675,-0.000343386992893413,-0.0002850038691698685
colombia-election,-9.387813159116549e-05,-0.00026446322798233857,1.0,2.4381573608296264e-05,-0.0001290858562083987,-0.0001378649069956511,8.560073653734463e-05,-7.243764366996325e-05,0.0001018251699837426,-4.054200994242994e-06,-6.519506146405672e-05,8.77853879233763e-05,-8.411282345583322e-05,-3.342007096388497e-05,-9.051223490952359e-05,-0.00016258808819544844,-0.0001619625938483963,-0.0001344254932856728
fifa-world-cup,1.8349743251147812e-05,5.1692894293846115e-05,2.4381573608296264e-05,1.0,2.5231566485517982e-05,2.6947550018683107e-05,-1.6731815077125242e-05,1.4158911564735964e-05,-1.9903098773239796e-05,7.924481034294624e-07,1.2743251477544951e-05,-1.7158834568752414e-05,1.6440982456545854e-05,6.532402288246171e-06,1.769183348162865e-05,3.17800282506061e-05,3.165776696910383e-05,2.6275270357352203e-05
la-liga,-9.71509204792609e-05,-0.00027368297169879833,-0.0001290858562083987,2.5231566485517982e-05,0.9999999999999999,-0.00014267116728253554,0.002079949041221157,-7.496297210657139e-05,0.00010537500932547941,-4.1955389580404195e-06,-6.746789826962148e-05,9.084577096746684e-05,-8.704517318720022e-05,-3.458516484715464e-05,-9.366768156816127e-05,-0.0011286714533092356,-0.00016760895012380746,-0.00013911184838504413
ligue-1,-0.00010375809565683105,-0.0002922959846091387,-0.0001378649069956511,2.6947550018683107e-05,-0.00014267116728253554,1.0,9.460956731240039e-05,-8.006115837280633e-05,0.005210009266343312,-4.480875017885775e-06,-7.205634911013733e-05,9.702413675095347e-05,-9.296506262080114e-05,-3.693728093172686e-05,-0.00010003796378005299,-0.0001796992560643615,-0.00017900793316311784,-0.00014857276081923522
nba,0.04728035752261807,0.0001814874583728485,8.560073653734463e-05,-1.6731815077125242e-05,0.002079949041221157,9.460956731240039e-05,0.9999999999999998,4.971021468836434e-05,-6.987735663563454e-05,2.782188812376836e-06,4.474000447564387e-05,0.04134512800714142,5.7722287752546645e-05,2.2934469128845513e-05,6.211387341333163e-05,-0.00022644993096205342,0.00011114656556707399,9.22492752699892e-05
nba-champion,-5.451707852891461e-05,-0.0001535795645221463,-7.243764366996325e-05,1.4158911564735964e-05,-7.496297210657139e-05,-8.006115837280633e-05,4.971021468836434e-05,1.0,5.913209705108952e-05,-2.3543629408592367e-06,-3.786019411860371e-05,5.0978889396221315e-05,-4.8846151110042684e-05,-1.9407764111821192e-05,-5.2562428914537645e-05,-9.441844891650377e-05,-9.405521070692654e-05,-7.806381581663976e-05
new-mexico-primary,7.663433688588651e-05,0.00021588589124663975,0.0001018251699837426,-1.9903098773239796e-05,0.00010537500932547941,0.005210009266343312,-6.987735663563454e-05,5.913209705108952e-05,1.0,3.309514149142662e-06,5.321985236445329e-05,-7.166072521634261e-05,9.68873453799152e-05,0.0004331106613931589,7.38866974106225e-05,0.00013272345873546285,0.00013221285691904493,0.00010973384710476157
prediction-markets,-3.0512200946549144e-06,-0.015238390029266002,-4.054200994242994e-06,7.924481034294624e-07,-4.1955389580404195e-06,-4.480875017885775e-06,2.782188812376836e-06,-2.3543629408592367e-06,3.309514149142662e-06,1.0,-2.1189650692838587e-06,2.8531941902640472e-06,-2.7338287713728214e-06,-1.086216676465248e-06,-2.9418219694726354e-06,-0.02642573691428309,-5.264096254969114e-06,-4.369087447684449e-06
primaries,-4.906626037874912e-05,0.0016265310699073259,-6.519506146405672e-05,1.2743251477544951e-05,-6.746789826962148e-05,-7.205634911013733e-05,4.474000447564387e-05,-3.786019411860371e-05,5.321985236445329e-05,-2.1189650692838587e-06,1.0,4.588183241711494e-05,-4.396233315389255e-05,-1.746730442965511e-05,-0.00010267459840999637,-8.497814490623576e-05,-8.465122458967394e-05,0.011301978606554573
roland-garros,6.606789846608819e-05,0.00018611927398005408,8.77853879233763e-05,-1.7158834568752414e-05,9.084577096746684e-05,9.702413675095347e-05,0.04134512800714142,5.0978889396221315e-05,-7.166072521634261e-05,2.8531941902640472e-06,4.588183241711494e-05,1.0,5.9195441851967976e-05,2.3519789089829167e-05,6.369910696544108e-05,0.00011442338189550463,0.00011398318249749935,9.460360673057297e-05
serie-a,-6.330390069731025e-05,-0.00017833284108372793,-8.411282345583322e-05,1.6440982456545854e-05,-8.704517318720022e-05,-9.296506262080114e-05,5.7722287752546645e-05,-4.8846151110042684e-05,9.68873453799152e-05,-2.7338287713728214e-06,-4.396233315389255e-05,5.9195441851967976e-05,1.0,-0.003187730935893467,-6.10342092827028e-05,-0.00010963639790481866,-0.001179980734932801,-9.064579720442412e-05
south-dakota-primary,-2.5152179735183143e-05,-7.085597604909865e-05,-3.342007096388497e-05,6.532402288246171e-06,-3.458516484715464e-05,-3.693728093172686e-05,2.2934469128845513e-05,-1.9407764111821192e-05,0.0004331106613931589,-1.086216676465248e-06,-1.746730442965511e-05,2.3519789089829167e-05,-0.003187730935893467,0.9999999999999999,-2.4250376121583223e-05,-4.356120800210096e-05,-0.00020446931707607913,-3.6015780361248277e-05
taylor-swift,-6.812014262739297e-05,0.000714370837258584,-9.051223490952359e-05,1.769183348162865e-05,-9.366768156816127e-05,-0.00010003796378005299,6.211387341333163e-05,-5.2562428914537645e-05,7.38866974106225e-05,-2.9418219694726354e-06,-0.00010267459840999637,6.369910696544108e-05,-6.10342092827028e-05,-2.4250376121583223e-05,0.9999999999999998,-0.0001179776756276156,-0.00011752380246874576,-0.006054402305729163
trump,-0.00012236493517655568,-0.0011653952660006675,-0.00016258808819544844,3.17800282506061e-05,-0.0011286714533092356,-0.0001796992560643615,-0.00022644993096205342,-9.441844891650377e-05,0.00013272345873546285,-0.02642573691428309,-8.497814490623576e-05,0.00011442338189550463,-0.00010963639790481866,-4.356120800210096e-05,-0.0001179776756276156,1.0,-0.00021110925368215144,-0.00017521617114848233
uefa-europa-league,-0.00012189418374525525,-0.000343386992893413,-0.0001619625938483963,3.165776696910383e-05,-0.00016760895012380746,-0.00017900793316311784,0.00011114656556707399,-9.405521070692654e-05,0.00013221285691904493,-5.264096254969114e-06,-8.465122458967394e-05,0.00011398318249749935,-0.001179980734932801,-0.00020446931707607913,-0.00011752380246874576,-0.00021110925368215144,1.0,-0.00017454209517045745
ufc,-0.00010116956878294901,-0.0002850038691698685,-0.0001344254932856728,2.6275270357352203e-05,-0.00013911184838504413,-0.00014857276081923522,9.22492752699892e-05,-7.806381581663976e-05,0.00010973384710476157,-4.369087447684449e-06,0.011301978606554573,9.460360673057297e-05,-9.064579720442412e-05,-3.6015780361248277e-05,-0.006054402305729163,-0.00017521617114848233,-0.00017454209517045745,1.0
