event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
16263,macron-out-in-2025,Macron out by...?,597964,macron-out-by-june-30-2026-273,"Macron out by June 30, 2026?",16201530957950630406397949502319734794139620443510795733205872225099141120819,2025-predictions,80143.0531,France|Politics|Macron|World|2025 Predictions|resign,france|politics|macron|world|2025-predictions|resign,2025-01-03T19:35:04.095066Z,2026-06-30T12:00:00Z
30615,2026-fifa-world-cup-winner-595,2026 FIFA World Cup Winner ,558977,will-haiti-win-the-2026-fifa-world-cup,Will Haiti win the 2026 FIFA World Cup?,113379015922744700109400673843380371641970914885846970213129353605968934558386,2026-fifa-world-cup,5308307.21226,Soccer|Sports|FIFA World Cup|2026 FIFA World Cup|Hide From New,soccer|sports|fifa-world-cup|2026-fifa-world-cup|hide-from-new,2025-07-02T22:28:24.564603Z,2026-07-20T00:00:00Z
39274,2026-pro-football-draft-1st-overall-pick,2026 Pro Football Draft: 1st Overall Pick,580109,will-nico-iamaleava-be-the-first-pick-of-the-2026-nfl-draft,Will Nico Iamaleava be the first pick of the 2026 NFL Draft?,61333438224991090029549325331522226961828740049006775405883405120037322223568,2026-nfl-draft,28306.03371,Sports|NCAA Football|NFL|CFB|NFL Draft|2026 NFL Draft,sports|ncaa-football|nfl|cfb|nfl-draft|2026-nfl-draft,2025-08-25T21:10:24.86915Z,2026-04-25T00:00:00Z
73191,which-country-will-join-abraham-accords-before-2027,Which country will join Abraham Accords before 2027?,1076686,will-somaliland-join-the-abraham-accords-before-2027,Will Somaliland join the Abraham Accords before 2027?,70026524713009669538763377800911903794570186848119999786864842995489783143838,abraham-accords,26767.0809,Middle East|Politics|Gaza|Geopolitics|Abraham Accords|World|Israel,middle-east|politics|gaza|geopolitics|abraham-accords|world|israel,2025-11-05T19:01:08.985833Z,2026-12-31T00:00:00Z
139413,will-openai-acquire-pinterest-in-2026,Will OpenAI acquire Pinterest in 2026?,1089563,will-openai-acquire-pinterest-in-2026,Will OpenAI acquire Pinterest in 2026?,100075392620587674415757008337155597840247947392028754376271407831307492671931,acquisitions,67329.219,Acquisitions|Tech|AI,acquisitions|tech|ai,2026-01-02T20:46:00.490812Z,2026-12-31T00:00:00Z
28999,megaeth-market-cap-fdv-one-day-after-launch,MegaETH market cap (FDV) one day after launch? (if by June 30),556062,megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272-765-733,MegaETH market cap (FDV) >$2B one day after launch?,57301498276970257025109591078431189727442302532145853906375186182281603517458,airdrops,66843.3494,Airdrops|Featured|Crypto|MegaETH|Pre-Market|fdv,airdrops|featured|crypto|megaeth|pre-market|fdv,2025-06-26T19:50:27.580851Z,2026-07-01T04:00:00Z
48300,anthropic-ipo-closing-market-cap,Anthropic IPO Closing Market Cap,608410,will-anthropic-not-ipo-by-june-30-2026,"Will Anthropic not IPO by June 30, 2026?",14495888673864948586083280727326896461319586754303430637766841544809472748499,anthropic,22765.74198,AI|IPO|Tech|Big Tech|anthropic|IPOs|Finance,ai|ipo|tech|big-tech|anthropic|ipos|finance,2025-09-23T00:29:27.873586Z,2026-06-30T00:00:00Z
32754,nba-mvp-694,NBA MVP ,564166,will-victor-wembanyama-win-the-20252026-nba-mvp,Will Victor Wembanyama win the 2025–2026 NBA MVP?,47252200832793247423089215877857667425039333476763845614656878203768571431091,awards,116618.34873,Sports|NBA|mvp|Awards|Hide From New,sports|nba|mvp|awards|hide-from-new,2025-07-17T12:15:08.441241Z,2026-06-10T00:00:00Z
133684,base-fdv-above-one-day-after-launch,Base FDV above ___ one day after launch?,1068307,base-fdv-above-2b-one-day-after-launch,Base FDV above $2B one day after launch?,22056280440419108399189383402666130126211471357531451866320292446775191982898,base,31900.7583,Base|Pre-Market|Crypto|fdv,base|pre-market|crypto|fdv,2025-12-30T20:37:33.961869Z,2028-01-01T05:00:00Z
63296,nba-2025-26-coach-of-the-year,NBA Coach of the Year Winner,643794,nba-2025-26-coach-of-the-year-jb-bickerstaff,Will JB Bickerstaff win the 2025–2026 NBA Coach of the Year?,19063193541024384703688685779087142926481547676681055667364352656903314720497,basketball,22475.44801,NBA|Basketball|Sports|Hide From New,nba|basketball|sports|hide-from-new,2025-10-22T07:27:42.010849Z,2026-06-30T00:00:00Z
43347,who-will-bernie-endorse,Who will Bernie endorse?,593972,will-bernie-endorse-james-talarico-for-tx-sen-by-nov-2-2026-et,Will Bernie endorse James Talarico for TX-Sen by Nov 2 2026 ET?,7096166888327966243811396544854606771946352128513885963401994819079689910004,bernie-sanders,16715.2962,bernie sanders|Politics,bernie-sanders|politics,2025-09-12T20:38:46.080162Z,2026-11-04T00:00:00Z
66157,most-popular-girl-name-2025,Most popular girl name 2025,651519,will-olivia-rank-1-among-girl-names-on-the-ssas-official-list-for-2025,Will Olivia rank #1 among girl names on the SSA’s official list for 2025?,33747255468874622429277450413819565623833656881527407183411729236691947709066,best-of-2025,5000.5196,Culture|Best of 2025,pop-culture|best-of-2025,2025-10-27T17:55:11.702984Z,2025-12-31T00:00:00Z
57711,largest-company-end-of-june-712,Largest Company end of June?,631186,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-june-30,Will Saudi Aramco be the largest company in the world by market cap on June 30?,101572915378052466010537773686792142702472736962773444087157973880663103257016,big-tech,97031.08428,AI|Tech|Big Tech|Economy|DeepSeek|Business|Finance,ai|tech|big-tech|economy|deepseek|business|finance,2025-10-10T21:54:22.488268Z,2026-06-30T00:00:00Z
133707,will-bitcoin-outperform-gold-in-2026,Will Bitcoin outperform Gold in 2026?,1068346,will-bitcoin-outperform-gold-in-2026,Will Bitcoin outperform Gold in 2026?,47113934605305582772590235372495078183833796521066344951188393486940857661087,bitcoin,32912.2296,Crypto|Bitcoin,crypto|bitcoin,2025-12-30T20:57:35.962318Z,2027-01-01T05:00:00Z
45925,which-candidates-will-advance-to-brazils-presidential-runoff,Which candidates will advance to Brazil's presidential runoff?,601925,will-michelle-bolsonaro-qualify-for-brazils-presidential-runoff,Will Michelle Bolsonaro qualify for Brazil's presidential runoff?,49058413537469145808340126520652205803369994566298859701509185048060495231532,brazil,23743.00638,Global Elections|World|Brazil|Politics,global-elections|world|brazil|politics,2025-09-18T18:02:51.714723Z,2026-10-04T00:00:00Z
40046,bundesliga-top-4-finish,Bundesliga - Top 4 Finish ,582175,will-dortmund-finish-in-the-top-4-of-the-bundesliga-202526-standings,Will Dortmund finish in the top 4 of the Bundesliga 2025–26 standings?,87886833276865662967210785680159100821597190784189125911134636193934885059882,bundesliga,13270.49504,Sports|bundesliga|Soccer,sports|bundesliga|soccer,2025-08-27T19:48:57.332979Z,2026-05-28T00:00:00Z
79041,largest-company-end-of-december-2026,Largest Company end of December 2026?,676740,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-december-31-481,Will Microsoft be the largest company in the world by market cap on December 31?,391670908629060088409431896998377161667071768186645889213963384874929102170,business,103517.64045,Economy|Business|Finance|AI|Tech|Big Tech,economy|business|finance|ai|tech|big-tech,2025-11-12T21:22:24.034809Z,2026-12-31T00:00:00Z
57096,california-governor-election-2026,California Governor Election Winner,628943,will-butch-ware-win-the-california-governor-election-in-2026,Will Butch Ware win the California Governor Election in 2026?,5596862834696125721576904607560330168562395965947471642144909672400781563525,california-midterm,128734.94029,Elections|US Election|Politics|Governor midterms|California Midterm,elections|us-presidential-election|politics|governor-midterms|california-midterm,2025-10-09T23:36:09.952693Z,2026-11-03T00:00:00Z
85704,who-will-announce-presidential-run-before-2027,Who will announce Presidential run before 2027?,692324,will-rand-paul-announce-a-presidential-run-before-2027,Will Rand Paul announce a presidential run before 2027?,68207341820749052475650610432894562714266620914604033880285153252182288802957,celebrities,29357.3365,Politics|Celebrities|President|Elections,politics|celebrities|president|elections,2025-11-20T00:00:47.357612Z,2026-12-31T00:00:00Z
33506,uefa-champions-league-winner,UEFA Champions League Winner ,566140,will-arsenal-win-the-202526-champions-league,Will Arsenal win the 2025–26 Champions League?,76184513907290761912636659055080401703643418316153242056949287928791438454394,champions-league,591050.5436,Soccer|Champions League|Sports|UCL,soccer|champions-league|sports|ucl,2025-07-28T16:48:06.450445Z,2026-05-31T00:00:00Z
36308,claude-5-released-by,Claude 5 released by…?,1748641,will-claude-5-be-released-by-may-31-2026,"Will Claude 5 be released by May 31, 2026?",37486578038105453175288714027461169500971706842986129918617327827942330885334,claude-5,37291.6683,AI|Tech|Claude 5,ai|tech|claude-5,2025-08-07T20:45:08.401678Z,2026-04-30T00:00:00Z
95116,new-pandemic-in-2026,New pandemic in 2026?,788518,new-pandemic-in-2026,New pandemic in 2026?,80671065454402118534970441822834492766941556283670671337094578358747393423487,climate-science,50821.9135,World|Science|Pandemics|Climate & Science,world|science|pandemics|climate-science,2025-12-01T21:41:18.23909Z,2026-12-31T00:00:00Z
