learning_rate,lambda_penalty,rolling_window,domain_limit,max_weight,uniform_mix,evaluation_mode,sortino_ratio,max_drawdown,mean_return,volatility,concentration_penalty_lambda,covariance_penalty_lambda,covariance_shrinkage,entropy_lambda,variance_penalty,downside_penalty,regime_k,macro_integration,lambda_macro_explicit,lambda_etf_tracking,max_domain_exposure,max_domain_exposure_threshold,domain_exposure_json
0.021224148442986757,1.5446621014312085,96,0.10084505248337661,0.0912473262028764,0.05000502695020437,online,0.06717880039511606,-0.07805604430725677,8.625554078981315e-05,0.0036591858321692876,3.9016310869135635,5.1515558116371345,0.05640315766397272,0.012088627090542271,1.9679703650880243,1.7872872165273956,0.6343833431970415,rescale,0.0,0.25,0.025405455380678177,0.12,"{""acquisitions"": 0.025089837610721588, ""big-tech"": 0.024951912462711334, ""connecticut-primary"": 0.025017673149704933, ""commodities"": 0.02505548484623432, ""epstein"": 0.025159429758787155, ""2025-predictions"": 0.025032082572579384, ""2026-fifa-world-cup"": 0.025168338790535927, ""claude-5"": 0.02532297372817993, ""comex-gold-futures"": 0.02485046721994877, ""comex-silver-futures"": 0.024841465055942535, ""basketball"": 0.02486015297472477, ""anthropic"": 0.025009339675307274, ""crypto-prices"": 0.02500329166650772, ""economic-policy"": 0.02488832175731659, ""delaware-midterm"": 0.024965032935142517, ""base"": 0.024995937943458557, ""brazil"": 0.025004122406244278, ""extended"": 0.024913674220442772, ""congress"": 0.025125613436102867, ""colombia-election"": 0.025017650797963142, ""fdv"": 0.0250319242477417, ""formula1"": 0.025085411965847015, ""business"": 0.02485261671245098, ""champions-league"": 0.025017650797963142, ""awards"": 0.025017650797963142, ""california-midterm"": 0.025143679231405258, ""bitcoin"": 0.024987850338220596, ""democratic-primary"": 0.025062240660190582, ""foreign-policy"": 0.02500109188258648, ""celebrities"": 0.024989545345306396, ""fifa-world-cup"": 0.02490188367664814, ""2026-nfl-draft"": 0.025017650797963142, ""best-of-2025"": 0.024441715329885483, ""abraham-accords"": 0.025202469900250435, ""bundesliga"": 0.025298096239566803, ""bernie-sanders"": 0.025405455380678177, ""airdrops"": 0.02487628534436226, ""climate-science"": 0.02506263740360737, ""felix"": 0.02433707006275654, ""colorado-midterm"": 0.024994244799017906}"
0.01730596739191962,0.3035387217745181,24,0.15404775070676324,0.06258211265481993,0.11347668695852649,online,0.07787500715054439,-0.15356223724843365,0.00011700537993803422,0.0072613073413828385,3.9352321136133064,5.965658233496621,0.028464042256913354,0.009662140299877102,1.169911997126272,2.6174108978080683,0.581892637484028,rescale,0.0,0.05,0.025536634027957916,0.12,"{""acquisitions"": 0.025020068511366844, ""big-tech"": 0.025080567225813866, ""connecticut-primary"": 0.024929281324148178, ""commodities"": 0.02500910498201847, ""epstein"": 0.02518843486905098, ""2025-predictions"": 0.024934586137533188, ""2026-fifa-world-cup"": 0.02497169002890587, ""claude-5"": 0.025536634027957916, ""comex-gold-futures"": 0.024810753762722015, ""comex-silver-futures"": 0.024886002764105797, ""basketball"": 0.024816688150167465, ""anthropic"": 0.02489505149424076, ""crypto-prices"": 0.02491712011396885, ""economic-policy"": 0.024763409048318863, ""delaware-midterm"": 0.024850759655237198, ""base"": 0.024881286546587944, ""brazil"": 0.025027655065059662, ""extended"": 0.024831678718328476, ""congress"": 0.025492895394563675, ""colombia-election"": 0.02490263059735298, ""fdv"": 0.025025319308042526, ""formula1"": 0.024943828582763672, ""business"": 0.0248761884868145, ""champions-league"": 0.02490263059735298, ""awards"": 0.02490263059735298, ""california-midterm"": 0.024997033178806305, ""bitcoin"": 0.024900909513235092, ""democratic-primary"": 0.024964353069663048, ""foreign-policy"": 0.02492985501885414, ""celebrities"": 0.024943508207798004, ""fifa-world-cup"": 0.024894677102565765, ""2026-nfl-draft"": 0.02490263059735298, ""best-of-2025"": 0.02462824247777462, ""abraham-accords"": 0.02541208267211914, ""bundesliga"": 0.02549152448773384, ""bernie-sanders"": 0.02551221288740635, ""airdrops"": 0.024873381480574608, ""climate-science"": 0.024984918534755707, ""felix"": 0.024981997907161713, ""colorado-midterm"": 0.025185707956552505}"
0.033337070366263266,0.6599057712341863,96,0.2271939271948653,0.09905495875578618,0.17471204079608424,online,0.04068983929272484,-0.1397558210495955,7.249603851416918e-05,0.004216400369354448,2.863793058105315,0.5829778516397194,0.02967040764985743,0.006738537100603133,1.3367862706155633,1.5790766720843368,0.7013269473417958,rescale,0.0,0.0,0.027354668825864792,0.12,"{""acquisitions"": 0.02490667812526226, ""big-tech"": 0.026790758594870567, ""connecticut-primary"": 0.024686943739652634, ""commodities"": 0.024808378890156746, ""epstein"": 0.0251669492572546, ""2025-predictions"": 0.024797433987259865, ""2026-fifa-world-cup"": 0.025095269083976746, ""claude-5"": 0.02604527771472931, ""comex-gold-futures"": 0.024489108473062515, ""comex-silver-futures"": 0.024594230577349663, ""basketball"": 0.024688340723514557, ""anthropic"": 0.02466583251953125, ""crypto-prices"": 0.024656537920236588, ""economic-policy"": 0.024568816646933556, ""delaware-midterm"": 0.024611206725239754, ""base"": 0.024638397619128227, ""brazil"": 0.024785634130239487, ""extended"": 0.024565137922763824, ""congress"": 0.025339217856526375, ""colombia-election"": 0.024682555347681046, ""fdv"": 0.024862337857484818, ""formula1"": 0.02483135461807251, ""business"": 0.024520447477698326, ""champions-league"": 0.024682555347681046, ""awards"": 0.024682555347681046, ""california-midterm"": 0.02564653381705284, ""bitcoin"": 0.024644216522574425, ""democratic-primary"": 0.024762002751231194, ""foreign-policy"": 0.024672599509358406, ""celebrities"": 0.024657543748617172, ""fifa-world-cup"": 0.024547843262553215, ""2026-nfl-draft"": 0.024682555347681046, ""best-of-2025"": 0.02471116930246353, ""abraham-accords"": 0.025198545306921005, ""bundesliga"": 0.02669970504939556, ""bernie-sanders"": 0.026243414729833603, ""airdrops"": 0.02449808269739151, ""climate-science"": 0.024783670902252197, ""felix"": 0.027354668825864792, ""colorado-midterm"": 0.024735504761338234}"
0.03658374894484838,0.7181902616860365,96,0.14948825421450596,0.09626407934480348,0.15457537506728308,online,0.08508047500239682,-0.07411362886066475,0.00010411650129741488,0.004321313082340261,12.601164915212593,8.74941896199464,0.03620967538847152,0.016290296893828934,0.8014303691394323,2.1462976821255806,0.7459744114173366,rescale,0.0,0.5,0.025236496701836586,0.12,"{""acquisitions"": 0.025108972564339638, ""big-tech"": 0.02471054159104824, ""connecticut-primary"": 0.025075707584619522, ""commodities"": 0.025091106072068214, ""epstein"": 0.025139717385172844, ""2025-predictions"": 0.025063227862119675, ""2026-fifa-world-cup"": 0.025168608874082565, ""claude-5"": 0.025148693472146988, ""comex-gold-futures"": 0.024912547320127487, ""comex-silver-futures"": 0.024897368624806404, ""basketball"": 0.02489798702299595, ""anthropic"": 0.025065068155527115, ""crypto-prices"": 0.02505466528236866, ""economic-policy"": 0.024943752214312553, ""delaware-midterm"": 0.025015391409397125, ""base"": 0.025041434913873672, ""brazil"": 0.02502567134797573, ""extended"": 0.024972405284643173, ""congress"": 0.0250608641654253, ""colombia-election"": 0.025069642812013626, ""fdv"": 0.025059254840016365, ""formula1"": 0.025114107877016068, ""business"": 0.02493753284215927, ""champions-league"": 0.025069642812013626, ""awards"": 0.025069642812013626, ""california-midterm"": 0.025101877748966217, ""bitcoin"": 0.02506299875676632, ""democratic-primary"": 0.02509966306388378, ""foreign-policy"": 0.025028320029377937, ""celebrities"": 0.025045286864042282, ""fifa-world-cup"": 0.02498343400657177, ""2026-nfl-draft"": 0.025069642812013626, ""best-of-2025"": 0.0244129728525877, ""abraham-accords"": 0.025150883942842484, ""bundesliga"": 0.025025183334946632, ""bernie-sanders"": 0.025236496701836586, ""airdrops"": 0.02493729256093502, ""climate-science"": 0.025097418576478958, ""felix"": 0.024018997326493263, ""colorado-midterm"": 0.025015924125909805}"
0.0316227766016838,1.125,96,0.16499999999999998,0.095,0.1,online,0.055767091854785664,-0.10609775435232205,8.123596509361057e-05,0.00373789198244299,9.999999999999998,2.2360679774997902,0.06,0.01,1.25,2.0,0.4,rescale,0.0,0.0,0.025826040655374527,0.12,"{""acquisitions"": 0.025008054450154305, ""big-tech"": 0.02580302394926548, ""connecticut-primary"": 0.024893868714571, ""commodities"": 0.02495059184730053, ""epstein"": 0.025166653096675873, ""2025-predictions"": 0.02491987869143486, ""2026-fifa-world-cup"": 0.025124115869402885, ""claude-5"": 0.02553306519985199, ""comex-gold-futures"": 0.024722089990973473, ""comex-silver-futures"": 0.024757428094744682, ""basketball"": 0.024809278547763824, ""anthropic"": 0.0248748566955328, ""crypto-prices"": 0.02487250789999962, ""economic-policy"": 0.02478940226137638, ""delaware-midterm"": 0.02482973039150238, ""base"": 0.024877244606614113, ""brazil"": 0.024898691102862358, ""extended"": 0.02477760799229145, ""congress"": 0.02516712248325348, ""colombia-election"": 0.024894103407859802, ""fdv"": 0.024966055527329445, ""formula1"": 0.024986987933516502, ""business"": 0.024739965796470642, ""champions-league"": 0.024894103407859802, ""awards"": 0.024894103407859802, ""california-midterm"": 0.02533539943397045, ""bitcoin"": 0.024864820763468742, ""democratic-primary"": 0.0249444842338562, ""foreign-policy"": 0.024866577237844467, ""celebrities"": 0.024849534034729004, ""fifa-world-cup"": 0.0247784573584795, ""2026-nfl-draft"": 0.024894103407859802, ""best-of-2025"": 0.024602007120847702, ""abraham-accords"": 0.025149663910269737, ""bundesliga"": 0.025826040655374527, ""bernie-sanders"": 0.025646677240729332, ""airdrops"": 0.024717606604099274, ""climate-science"": 0.024943459779024124, ""felix"": 0.025544652715325356, ""colorado-midterm"": 0.024885887280106544}"
0.07952707287670506,0.6875,96,0.1225,0.0675,0.15000000000000002,online,0.0793894706656531,-0.07493517780540837,0.00010165970593848318,0.00425543250440795,22.360679774997894,4.728708045015881,0.04,0.015,1.625,2.5,0.6000000000000001,rescale,0.0,0.5,0.025326240807771683,0.12,"{""acquisitions"": 0.02508147805929184, ""big-tech"": 0.025025248527526855, ""connecticut-primary"": 0.025019433349370956, ""commodities"": 0.02504347823560238, ""epstein"": 0.02513609640300274, ""2025-predictions"": 0.025035982951521873, ""2026-fifa-world-cup"": 0.0251395795494318, ""claude-5"": 0.025223050266504288, ""comex-gold-futures"": 0.024887224659323692, ""comex-silver-futures"": 0.024881936609745026, ""basketball"": 0.024877604097127914, ""anthropic"": 0.025004098191857338, ""crypto-prices"": 0.0249931663274765, ""economic-policy"": 0.02490028366446495, ""delaware-midterm"": 0.024975331500172615, ""base"": 0.024993309751152992, ""brazil"": 0.024970373138785362, ""extended"": 0.024937910959124565, ""congress"": 0.02510177716612816, ""colombia-election"": 0.02501784637570381, ""fdv"": 0.02502645179629326, ""formula1"": 0.025071313604712486, ""business"": 0.024877548217773438, ""champions-league"": 0.02501784637570381, ""awards"": 0.02501784637570381, ""california-midterm"": 0.025146879255771637, ""bitcoin"": 0.025002149865031242, ""democratic-primary"": 0.02503225952386856, ""foreign-policy"": 0.025009436532855034, ""celebrities"": 0.02498040907084942, ""fifa-world-cup"": 0.024924680590629578, ""2026-nfl-draft"": 0.02501784637570381, ""best-of-2025"": 0.024485956877470016, ""abraham-accords"": 0.02517121657729149, ""bundesliga"": 0.025240827351808548, ""bernie-sanders"": 0.025326240807771683, ""airdrops"": 0.024907980114221573, ""climate-science"": 0.02506970427930355, ""felix"": 0.024445656687021255, ""colorado-midterm"": 0.024982497096061707}"
0.01994079648317803,0.90625,48,0.18624999999999997,0.13624999999999998,0.17500000000000002,online,0.06923536656590458,-0.12977514574505478,0.00011045494086344763,0.005574362885682603,6.68740304976422,0.7271077167244769,0.05,0.0175,1.4375,2.75,0.30000000000000004,rescale,0.0,0.5,0.02585827186703682,0.12,"{""acquisitions"": 0.02499157190322876, ""big-tech"": 0.02568562887609005, ""connecticut-primary"": 0.024898018687963486, ""commodities"": 0.024928536266088486, ""epstein"": 0.025099148973822594, ""2025-predictions"": 0.024925585836172104, ""2026-fifa-world-cup"": 0.02504037879407406, ""claude-5"": 0.02535107545554638, ""comex-gold-futures"": 0.024817153811454773, ""comex-silver-futures"": 0.02482498623430729, ""basketball"": 0.024874238297343254, ""anthropic"": 0.02489006519317627, ""crypto-prices"": 0.02488100901246071, ""economic-policy"": 0.02485630288720131, ""delaware-midterm"": 0.02486400306224823, ""base"": 0.02487645484507084, ""brazil"": 0.02491881512105465, ""extended"": 0.024825921282172203, ""congress"": 0.025135472416877747, ""colombia-election"": 0.024900643154978752, ""fdv"": 0.024942878633737564, ""formula1"": 0.024954432621598244, ""business"": 0.02481003850698471, ""champions-league"": 0.024900643154978752, ""awards"": 0.024900643154978752, ""california-midterm"": 0.02522980608046055, ""bitcoin"": 0.024876855313777924, ""democratic-primary"": 0.024916833266615868, ""foreign-policy"": 0.02487138845026493, ""celebrities"": 0.02488664723932743, ""fifa-world-cup"": 0.024845605716109276, ""2026-nfl-draft"": 0.024900643154978752, ""best-of-2025"": 0.024784618988633156, ""abraham-accords"": 0.02509217895567417, ""bundesliga"": 0.025597967207431793, ""bernie-sanders"": 0.025382807478308678, ""airdrops"": 0.024817820638418198, ""climate-science"": 0.02493220567703247, ""felix"": 0.02585827186703682, ""colorado-midterm"": 0.02491259016096592}"
0.007929165875686222,1.34375,96,0.14375,0.05375,0.125,online,0.06586681129435878,-0.08894265409284041,9.31027447301875e-05,0.00411273768086596,2.9906975624424406,1.5376456101806881,0.07,0.0125,1.8125,2.25,0.1,rescale,0.0,0.0,0.02559654787182808,0.12,"{""acquisitions"": 0.025008782744407654, ""big-tech"": 0.025494949892163277, ""connecticut-primary"": 0.024920761585235596, ""commodities"": 0.02496364340186119, ""epstein"": 0.025129368528723717, ""2025-predictions"": 0.024966249242424965, ""2026-fifa-world-cup"": 0.02508961781859398, ""claude-5"": 0.02540077455341816, ""comex-gold-futures"": 0.024790097028017044, ""comex-silver-futures"": 0.02480292320251465, ""basketball"": 0.024830618873238564, ""anthropic"": 0.02491498924791813, ""crypto-prices"": 0.024905377998948097, ""economic-policy"": 0.024828370660543442, ""delaware-midterm"": 0.024865973740816116, ""base"": 0.024897340685129166, ""brazil"": 0.024931851774454117, ""extended"": 0.024838777258992195, ""congress"": 0.025133414193987846, ""colombia-election"": 0.024914618581533432, ""fdv"": 0.02497359924018383, ""formula1"": 0.02498766966164112, ""business"": 0.0247909277677536, ""champions-league"": 0.024914618581533432, ""awards"": 0.024914618581533432, ""california-midterm"": 0.025233669206500053, ""bitcoin"": 0.024902218952775, ""democratic-primary"": 0.02496318891644478, ""foreign-policy"": 0.024916822090744972, ""celebrities"": 0.02489713579416275, ""fifa-world-cup"": 0.024818923324346542, ""2026-nfl-draft"": 0.024914618581533432, ""best-of-2025"": 0.024637505412101746, ""abraham-accords"": 0.02514864131808281, ""bundesliga"": 0.02559654787182808, ""bernie-sanders"": 0.025493767112493515, ""airdrops"": 0.024811377748847008, ""climate-science"": 0.024976642802357674, ""felix"": 0.0255631972104311, ""colorado-midterm"": 0.024915874004364014}"
0.009985188151251342,0.796875,48,0.239375,0.088125,0.1875,online,0.07657875734432072,-0.1185931368748332,0.00011670820612051908,0.005657350976163807,12.228445449938514,1.2750930481971074,0.05500000000000001,0.01875,0.96875,2.375,0.05,rescale,0.0,0.5,0.02578713558614254,0.12,"{""acquisitions"": 0.024993566796183586, ""big-tech"": 0.025538340210914612, ""connecticut-primary"": 0.02491697482764721, ""commodities"": 0.024948321282863617, ""epstein"": 0.025090543553233147, ""2025-predictions"": 0.024950584396719933, ""2026-fifa-world-cup"": 0.025030596181750298, ""claude-5"": 0.025325017049908638, ""comex-gold-futures"": 0.02484516054391861, ""comex-silver-futures"": 0.024841096252202988, ""basketball"": 0.02487657219171524, ""anthropic"": 0.024914642795920372, ""crypto-prices"": 0.02489953115582466, ""economic-policy"": 0.02486339397728443, ""delaware-midterm"": 0.024872930720448494, ""base"": 0.0248958021402359, ""brazil"": 0.024935176596045494, ""extended"": 0.024851128458976746, ""congress"": 0.0251312218606472, ""colombia-election"": 0.024903666228055954, ""fdv"": 0.024958202615380287, ""formula1"": 0.024954449385404587, ""business"": 0.02483704499900341, ""champions-league"": 0.024903666228055954, ""awards"": 0.024903666228055954, ""california-midterm"": 0.025191664695739746, ""bitcoin"": 0.0248987078666687, ""democratic-primary"": 0.024939894676208496, ""foreign-policy"": 0.024907365441322327, ""celebrities"": 0.02490377426147461, ""fifa-world-cup"": 0.024849673733115196, ""2026-nfl-draft"": 0.024903666228055954, ""best-of-2025"": 0.02479151263833046, ""abraham-accords"": 0.025088369846343994, ""bundesliga"": 0.02548954077064991, ""bernie-sanders"": 0.025349145755171776, ""airdrops"": 0.024844814091920853, ""climate-science"": 0.02495425008237362, ""felix"": 0.02578713558614254, ""colorado-midterm"": 0.02491920255124569}"
0.025111418766114765,1.234375,96,0.111875,0.115625,0.1375,online,0.06700953308926715,-0.11064063412946057,0.00010207433042277325,0.0044242974222748945,27.34363528521052,0.6029542755153483,0.075,0.01375,0.59375,2.875,0.25,rescale,0.0,0.25,0.026974406093358994,0.12,"{""acquisitions"": 0.024938058108091354, ""big-tech"": 0.026070155203342438, ""connecticut-primary"": 0.024860762059688568, ""commodities"": 0.024912888184189796, ""epstein"": 0.025076232850551605, ""2025-predictions"": 0.024881867691874504, ""2026-fifa-world-cup"": 0.02502886764705181, ""claude-5"": 0.02533736079931259, ""comex-gold-futures"": 0.02472851611673832, ""comex-silver-futures"": 0.02475707232952118, ""basketball"": 0.02480916492640972, ""anthropic"": 0.02484670653939247, ""crypto-prices"": 0.024846412241458893, ""economic-policy"": 0.02478230930864811, ""delaware-midterm"": 0.024805638939142227, ""base"": 0.02483135461807251, ""brazil"": 0.024853244423866272, ""extended"": 0.02477359212934971, ""congress"": 0.02506520412862301, ""colombia-election"": 0.02485276386141777, ""fdv"": 0.024891231209039688, ""formula1"": 0.024919765070080757, ""business"": 0.024729808792471886, ""champions-league"": 0.02485276386141777, ""awards"": 0.02485276386141777, ""california-midterm"": 0.025330636650323868, ""bitcoin"": 0.024831462651491165, ""democratic-primary"": 0.02489146776497364, ""foreign-policy"": 0.024838963523507118, ""celebrities"": 0.024822944775223732, ""fifa-world-cup"": 0.024768050760030746, ""2026-nfl-draft"": 0.02485276386141777, ""best-of-2025"": 0.02475220337510109, ""abraham-accords"": 0.025060182437300682, ""bundesliga"": 0.02565746009349823, ""bernie-sanders"": 0.025422973558306694, ""airdrops"": 0.02473638392984867, ""climate-science"": 0.024900564923882484, ""felix"": 0.026974406093358994, ""colorado-midterm"": 0.02485509403049946}"
