label,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,foreign-policy::94559586571241563470235664821564670251180951772614764383113614156422396181162,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,base::22056280440419108399189383402666130126211471357531451866320292446775191982898,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,1.0,-0.0003134117891660688,0.00047332120429273433,0.0017933379210524816,-0.00015064371307339878,0.0004121396870633608,0.00041213968706335885,0.0006032473607150684,0.0005826729517138656,-0.0004159331170445994,0.8669120457648803,0.00024085651473329737,-0.0011541669060035715,0.0004121396870633641,-0.0005316595762520783,-0.0001767052123684599,0.00044981603131231463,0.7555008936925075,-0.0008228407639357192,-0.00016678575860378176
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.00031341178916606874,1.0,0.00041292582371915107,0.00017756159309418787,-0.00013142170421435786,0.00035955101572575197,0.00035955101572575257,0.0005262735137798885,0.0005083243817585201,-0.0003628604072880067,-0.00019504723326064109,0.00021012342959150546,-6.978492169007091e-05,0.000359551015725751,-0.0004638202693456332,-0.00015415777850422228,0.000392419890694008,-0.00013082241995307945,-0.0007178469866896109,-0.0001455040385503056
economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,0.0004733212042927344,0.00041292582371915107,1.0,-0.0002681573252336895,0.0001984758756984152,-0.0005430016535779199,-0.0005430016535779221,-0.0007947895450661534,-0.0007676823810154188,0.01862934931805761,0.00029456451394678154,-0.0003173329089151564,0.0001053906850910446,-0.0005430016535779193,0.0007004713161754593,0.00023281238260648387,-0.0005926409333418385,0.00019757082375695747,0.0010841079116453095,0.00021974331897130822
congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,0.0017933379210524816,0.0001775615930941879,-0.0002681573252336895,1.0,8.534630351368945e-05,-0.00023349529897081527,-0.00023349529897081473,-0.0003417662197182732,-0.0003301099101424823,0.00023564444426159712,0.00012666522983309508,-0.00013645583204432662,0.08249679173467814,-0.00023349529897082,0.0003012085843812266,0.00010011129160034529,-0.0002548406086817542,-0.019741055636170013,0.0004661755618575226,9.449148381402373e-05
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-0.00015064371307339875,-0.0001314217042143579,0.00019847587569841522,8.534630351368945e-05,1.0,0.00017282087630576947,0.00017282087630576993,0.0002529572879786563,0.00024432990385460195,-0.00017441156003300754,-9.375090682216917e-05,0.00010099739298769255,-3.35426428849435e-05,0.00017282087630576912,-0.00022293867042731796,-7.409708554619126e-05,0.0001886195461099207,-6.2880771484115e-05,-0.00034503850598987585,-6.993760092023561e-05
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.0004121396870633608,0.000359551015725752,-0.0005430016535779199,-0.00023349529897081527,0.00017282087630576947,1.0,-0.000472813238770681,-0.0006920550176370346,-0.0006684517266631318,0.0004771651222989585,0.00025648909344639205,-0.00027631444479783983,9.176788104754135e-05,-0.00047281323877068697,0.0006099283666718341,0.00020271904499881568,-0.0005160361433065631,0.00017203281141336886,0.0009439760809280652,0.00019133928903613737
california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,0.0004121396870633588,0.00035955101572575257,-0.000543001653577922,-0.00023349529897081475,0.00017282087630576993,-0.000472813238770681,0.9999999999999998,-0.000692055017637033,-0.0006684517266631324,0.0004771651222989591,0.0002564890934463919,-0.0002763144447978379,9.1767881047541e-05,-0.0004728132387706862,0.0006099283666718341,0.00020271904499881603,-0.0005160361433065619,0.00017203281141336943,0.0009439760809280654,0.00019133928903613778
epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,0.0006032473607150684,0.0005262735137798885,-0.0007947895450661534,-0.00034176621971827327,0.0002529572879786563,-0.0006920550176370345,-0.0006920550176370331,1.0,-0.0009784103606915253,0.000698424853726528,0.00037542215304770595,-0.0004044404477021941,0.00013432031366547727,-0.0006920550176370375,0.0008927499315625604,0.00029671912873416756,-0.0007553202257743405,0.00025180380026239914,0.001381694355754821,0.00028006262132770725
crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,0.0005826729517138656,0.0005083243817585202,-0.0007676823810154187,-0.0003301099101424823,0.000244329903854602,-0.0006684517266631317,-0.0006684517266631324,-0.0009784103606915253,1.0,0.000674604312547296,0.0003626179711682249,-0.00039064656524278967,0.00012973917290880953,-0.00066845172666313,0.0008623017217171158,0.0002865991993144675,-0.0007295592058943066,0.00024321575709464546,0.0013345701631909941,0.00027051078025489266
airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,-0.0004159331170445994,-0.0003628604072880067,0.018629349318057608,0.00023564444426159715,-0.00017441156003300754,0.00047716512229895844,0.0004771651222989591,0.000698424853726528,0.0006746043125472961,1.0,-0.0002588498789943053,0.0002788577075120282,-9.261253406739133e-05,0.0004771651222989564,-0.0006155422898759397,-0.00020458491845677825,0.0005207858605477476,-0.000173616241607201,-0.0009526646573485508,-0.00019310042056120357
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,0.8669120457648802,-0.00019504723326064109,0.0002945645139467816,0.00012666522983309505,-9.375090682216918e-05,0.00025648909344639205,0.0002564890934463919,0.000375422153047706,0.0003626179711682249,-0.0002588498789943053,0.9999999999999998,0.00014989352167170682,-4.9781729205755915e-05,0.00025648909344639487,-0.00033087054466080835,-0.00010996989892087468,0.00027993641406151034,0.7498266537844857,-0.0005120828889263574,-0.00010379667226144988
bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,0.00024085651473329737,0.00021012342959150546,-0.0003173329089151564,-0.00013645583204432665,0.00010099739298769257,-0.00027631444479783983,-0.0002763144447978379,-0.0004044404477021941,-0.0003906465652427897,0.0002788577075120282,0.00014989352167170682,1.0,5.362961318057441e-05,-0.00027631444479784395,0.00035644521807715946,0.00011847003378000894,-0.0003015741285165952,0.00010053684388425817,0.0005516643894791402,0.00011181964691914246
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.0011541669060035717,-6.978492169007091e-05,0.0001053906850910446,0.08249679173467815,-3.35426428849435e-05,9.176788104754135e-05,9.1767881047541e-05,0.0001343203136654773,0.00012973917290880953,-9.261253406739133e-05,-4.978172920575592e-05,5.362961318057441e-05,1.0,9.176788104753585e-05,-0.00011838042848755142,-3.9345550593910264e-05,0.00010015697432312395,-0.015762349155040038,-0.00018321543815388866,-3.713686436031591e-05
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,0.00041213968706336405,0.000359551015725751,-0.0005430016535779193,-0.00023349529897081998,0.00017282087630576912,-0.000472813238770687,-0.00047281323877068626,-0.0006920550176370375,-0.00066845172666313,0.0004771651222989564,0.0002564890934463948,-0.00027631444479784395,9.176788104753585e-05,1.0,0.0006099283666718331,0.0002027190449988074,-0.0005160361433065655,0.00017203281141337342,0.0009439760809280708,0.00019133928903613582
