label,league-of-legends::89958419168244050451443228284990944744088214601708643333969277675829695680590,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,roland-garros::104812555872482040859204311862207595317318459151981099582262357665296846969541,taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,nba::77648433824716730185008177852682080573261442860361580435966309914289533557558,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,south-dakota-primary::6676305416092353520750099363203230548628101142538374719045668193435729818451,prediction-markets::44488146241641686838477630423381146915926290111161217223359635890474557300976,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744
league-of-legends::89958419168244050451443228284990944744088214601708643333969277675829695680590,1.0,-0.0009358785082359514,-0.0004856411485469827,-0.00039040883823988936,-0.00040383798970627347,0.001250117138730119,-0.0005894485605470913,0.0008890372162283134,0.0007714987674728122,0.0009086854187177525,-0.000860899294723757,0.0008858936487968785,-0.0008141427402811521,-0.0005363252848840602,0.0009237073486853012,-0.00018573549493655617,0.000638643265702236,-8.173214154373529e-05,-9.419761906467878e-05,-4.0574385036806354e-05
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,-0.0009358785082359515,1.0,-0.0006942937261877611,-0.0005581454698581484,-0.0005773443693728005,0.0017872218798118357,-0.0008427013211765761,0.0012710063045965876,0.0011029682217427274,0.001299096230172505,-0.0012307791071545589,0.0012665121237554198,-0.0011639339015849898,-0.0007667539738034496,0.0013205722351669392,-0.0002655355487290442,0.0009130322131388047,-0.00011684782739577975,-0.0001346690166887848,-5.800690707380254e-05
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.00048564114854698264,-0.000694293726187761,1.0,-0.00028962990885336476,-0.0002995925007166205,0.0009274157690148462,-0.0004372901331708644,0.0006595439003489955,0.0005723464630335424,0.0006741201766490201,-0.0006386694148290935,0.000657211803686581,-0.0006039824526625383,-0.0003978799354979965,0.000685264392099971,-0.00013779030903048867,0.00047378586936985015,-6.063405944503243e-05,-6.988173717303035e-05,-3.010063884048185e-05
nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,-0.00039040883823988936,-0.0005581454698581485,-0.00028962990885336476,1.0,-0.00024084359511154904,0.0007455532012263476,-0.0003515392659287581,0.0005302099475587378,0.00046011158315597015,0.0005419278736718248,-0.0005134288661675226,0.0005283351658369619,-0.0004855438802226027,-0.00031985725229727525,0.0005508867525071989,-0.00011077017388304107,0.00038087833246540397,-4.8743959972361095e-05,-5.617820463841462e-05,-2.4198022501080417e-05
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.0004038379897062735,-0.0005773443693728005,-0.00029959250071662056,-0.00024084359511154904,0.9999999999999999,0.000771198488640071,-0.00036363139496411214,0.000548447930404747,0.00047593834611938025,0.0005605689257858254,-0.0005310896190389607,0.0005465086605739857,-0.0005022454547578549,-0.009759368631737165,0.0005698359691120169,-0.0001145804089426285,0.0003939796568104169,-5.042063825784495e-05,-5.811060356309419e-05,-2.5030377912959524e-05
roland-garros::104812555872482040859204311862207595317318459151981099582262357665296846969541,0.001250117138730119,0.0017872218798118357,0.0009274157690148461,0.0007455532012263476,0.000771198488640071,1.0,0.0011256539766246736,-0.0016977703311140263,-0.0014733103339174484,-0.0017352919720952863,0.0016440361033026095,-0.001691767145396377,0.0015547463756413094,0.0010242058936131462,-0.001763978945541874,0.0003546940521521218,-0.0012195997747709447,0.00015608166056316463,-0.09260709521945565,7.748380592089118e-05
taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,-0.0005894485605470913,-0.000842701321176576,-0.0004372901331708643,-0.00035153926592875807,-0.00036363139496411214,0.0011256539766246736,1.0,0.0008005236043970171,0.0006946874246112364,0.0008182156082745402,-0.000775187128114701,0.0007976930143104173,-0.0007330857123265389,-0.000482928096088153,0.000831741936872607,-0.00016724344623261466,0.0005750591759845293,-7.359479147707417e-05,-8.481919110111901e-05,-3.653475058519177e-05
new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0008890372162283134,0.0012710063045965876,0.0006595439003489955,0.0005302099475587378,0.000548447930404747,-0.0016977703311140265,0.000800523604397017,1.0,-0.0010477639873307327,-0.0012340756689265466,0.0011691778597193688,-0.0012031224169740747,0.0011056782975915988,0.0007283774682326231,-0.0012544767867297003,0.00025224533203215097,-0.0008673343921805851,0.00011099952213463669,0.00012792874999861955,5.5103625879938355e-05
ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,0.0007714987674728123,0.0011029682217427274,0.0005723464630335424,0.00046011158315597015,0.00047593834611938025,-0.0014733103339174482,0.0006946874246112364,-0.0010477639873307327,1.0,0.005899389123296678,0.0010146023825152763,-0.0010440591742067503,0.0009594980145288876,0.0006320796348441298,-0.0010886240498358102,0.00021889630626396292,-0.0007526652454358549,9.632442034345554e-05,0.00011101545711099402,4.7818447499881215e-05
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,0.0009086854187177525,0.001299096230172505,0.0006741201766490202,0.0005419278736718249,0.0005605689257858253,-0.0017352919720952861,0.0008182156082745403,-0.0012340756689265466,0.005899389123296678,1.0,0.0011950173216840828,-0.001229712071981525,0.0011301143849484704,0.0019833221044617726,-0.0012822014010361068,0.00025782009006287824,-0.0008865029505407413,0.00011345267150489957,0.0001307560444451417,5.632144576354451e-05
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.000860899294723757,-0.001230779107154559,-0.0006386694148290935,-0.0005134288661675227,-0.0005310896190389607,0.0016440361033026095,-0.0007751871281147009,0.0011691778597193688,0.0010146023825152763,0.0011950173216840828,1.0,0.0011650437364517773,-0.0010706837117868465,-0.0007053244085263503,0.0012147727465500993,-0.0002442617974589565,0.0008398833624600051,-0.00010748640054213695,-0.00012387982037010849,-5.335960271496451e-05
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0008858936487968785,0.0012665121237554198,0.0006572118036865809,0.0005283351658369619,0.0005465086605739857,-0.001691767145396377,0.0007976930143104171,-0.0012031224169740747,-0.0010440591742067503,-0.0012297120719815251,0.0011650437364517773,1.0,0.0011017687039070038,0.0007258019813518392,-0.001250041052996332,0.000251353411878492,-0.0008642675642709607,0.00011060703633504876,0.00012747640374729738,5.4908783683790805e-05
