step,portfolio_return,cumulative_return,drawdown,log_wealth_increment,cumulative_log_wealth,turnover_l1
0,-0.0024216950967394027,0.9975783049032606,0.0,-0.002424632143022071,-0.002424632143022071,0.25366763286292554
1,0.0,0.9975783049032606,0.0,0.0,-0.002424632143022071,0.04650711640715599
2,0.0,0.9975783049032606,0.0,0.0,-0.002424632143022071,0.04000963643193245
3,0.0,0.9975783049032606,0.0,0.0,-0.002424632143022071,0.034575581550598145
4,-0.00353448744863272,0.9940523769055517,-0.003534487448632717,-0.0035407485068363422,-0.005965380649858413,0.029473712667822838
5,0.0072670390678418635,1.0012761943640054,0.0,0.007240761370008046,0.001275380720149633,0.042332425713539124
6,-0.003758129748431122,0.9975132685115701,-0.0037581297484311493,-0.003765209260750749,-0.002489828540601116,0.03118658810853958
7,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.02651871182024479
8,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.03367440029978752
9,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.03894761577248573
10,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.043047547340393066
11,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.0410040020942688
12,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.029556099325418472
13,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.03793541342020035
14,0.0,0.9975132685115701,-0.0037581297484311493,0.0,-0.002489828540601116,0.05659333989024162
15,0.0016812011599540678,0.9991902889756613,-0.0020832467605693683,0.001679789523226026,-0.0008100390173750899,0.04216892272233963
16,-0.001323598068813937,0.9978677626387954,-0.003404087447994253,-0.0013244747984483126,-0.0021345138158234025,0.03939199447631836
17,0.0,0.9978677626387954,-0.003404087447994253,0.0,-0.0021345138158234025,0.0499597005546093
18,0.0,0.9978677626387954,-0.003404087447994253,0.0,-0.0021345138158234025,0.043909307569265366
19,0.0,0.9978677626387954,-0.003404087447994253,0.0,-0.0021345138158234025,0.03774958848953247
20,0.0,0.9978677626387954,-0.003404087447994253,0.0,-0.0021345138158234025,0.034996382892131805
21,0.0,0.9978677626387954,-0.003404087447994253,0.0,-0.0021345138158234025,0.04095599055290222
22,0.0,0.9978677626387954,-0.003404087447994253,0.0,-0.0021345138158234025,0.04044675827026367
23,0.0006552535064873247,0.9985216189892753,-0.002751064481743448,0.0006550389216416411,-0.0014794748941817613,0.034151334315538406
24,0.00020905857284863805,0.9987303684938997,-0.002542581042509151,0.00020903672315038873,-0.0012704381710313727,0.03544913977384567
25,0.0,0.9987303684938997,-0.002542581042509151,0.0,-0.0012704381710313727,0.043894216418266296
26,0.0,0.9987303684938997,-0.002542581042509151,0.0,-0.0012704381710313727,0.03602189943194389
27,0.0,0.9987303684938997,-0.002542581042509151,0.0,-0.0012704381710313727,0.04033832997083664
28,-0.0004492498848630098,0.9982816889908446,-0.0029906886731316806,-0.0004493508278260763,-0.0017197889988574489,0.04561920836567879
29,0.016512236247460052,1.0147655520809749,0.0,0.016377391640433434,0.014657602641575986,0.042106546461582184
30,0.000654909409144337,1.0154301315891083,0.0,0.000654695049562876,0.015312297691138862,0.02516218088567257
31,-0.00023543660729992254,1.0151910621639768,-0.00023543660729996585,-0.00023546432684883406,0.015076833364290028,0.028671791777014732
32,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.03435344994068146
33,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.02954244799911976
34,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.04509231075644493
35,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.043391913175582886
36,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.0452188141644001
37,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.03744691610336304
38,0.0,1.0151910621639768,-0.00023543660729996585,0.0,0.015076833364290028,0.042855773121118546
39,-0.00907866456437596,1.0059744830418376,-0.009311963721692074,-0.009120126777978974,0.005956706586311054,0.042372528463602066
40,0.027298068025094612,1.033435642911423,0.0,0.026932120604704655,0.03288882719101571,0.04162227734923363
41,0.016134259956223623,1.0501093622221829,0.0,0.01600548605203036,0.04889431324304607,0.04131601005792618
42,0.0,1.0501093622221829,0.0,0.0,0.04889431324304607,0.03955197334289551
43,-0.004198458459642202,1.0457005216868116,-0.004198458459642285,-0.004207296733118153,0.044687016509927915,0.04458962008357048
44,-0.0003173411701266706,1.0453686778596574,-0.004514467286048651,-0.0003173915334909937,0.04436962497643692,0.05512193217873573
45,0.0,1.0453686778596574,-0.004514467286048651,0.0,0.04436962497643692,0.03776678442955017
46,0.00041375845670700107,1.0458012079904984,-0.004102576728358898,0.0004136728822807008,0.044783297858717624,0.040690261870622635
47,0.0,1.0458012079904984,-0.004102576728358898,0.0,0.044783297858717624,0.04094236344099045
48,0.0,1.0458012079904984,-0.004102576728358898,0.0,0.044783297858717624,0.06313112378120422
49,0.0,1.0458012079904984,-0.004102576728358898,0.0,0.044783297858717624,0.046018265187740326
50,-0.0037325771962418972,1.0418976742497508,-0.007819840740258654,-0.00373956064542967,0.041043737213287954,0.04224659129977226
51,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.03352124243974686
52,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.03234930709004402
53,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.03903023153543472
54,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.030337514355778694
55,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.03153294324874878
56,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.04886994510889053
57,0.0,1.0418976742497508,-0.007819840740258654,0.0,0.041043737213287954,0.03696422278881073
58,-0.0005562738270351766,1.0413180938431168,-0.008371764594558462,-0.0005564286047223447,0.04048730860856561,0.04725706949830055
59,0.0,1.0413180938431168,-0.008371764594558462,0.0,0.04048730860856561,0.03475509583950043
60,0.0,1.0413180938431168,-0.008371764594558462,0.0,0.04048730860856561,0.028865722939372063
61,0.0,1.0413180938431168,-0.008371764594558462,0.0,0.04048730860856561,0.028104547411203384
62,0.0,1.0413180938431168,-0.008371764594558462,0.0,0.04048730860856561,0.03344767540693283
63,0.0016569880625376347,1.0430435454939193,-0.006728648446016394,0.001655616772416529,0.04214292538098214,0.03735475614666939
64,0.0,1.0430435454939193,-0.006728648446016394,0.0,0.04214292538098214,0.03658781573176384
65,0.0,1.0430435454939193,-0.006728648446016394,0.0,0.04214292538098214,0.04635798931121826
66,0.022927736397832625,1.0669581729564646,0.0,0.02266884556714483,0.06481177094812697,0.049310363829135895
67,0.0,1.0669581729564646,0.0,0.0,0.06481177094812697,0.04579109326004982
68,0.0,1.0669581729564646,0.0,0.0,0.06481177094812697,0.05535712093114853
69,0.00028380048771699294,1.0672609762063232,0.0,0.00028376022397631144,0.06509553117210329,0.04961680248379707
70,0.0,1.0672609762063232,0.0,0.0,0.06509553117210329,0.03916415944695473
71,0.0,1.0672609762063232,0.0,0.0,0.06509553117210329,0.04176570847630501
72,0.0,1.0672609762063232,0.0,0.0,0.06509553117210329,0.04005429521203041
73,-0.001759241043186901,1.0653834068931893,-0.001759241043186921,-0.001760790325017675,0.06333474084708561,0.03493858501315117
74,-0.0005995177412782636,1.0647446906394933,-0.0023577040882486466,-0.0005996975238981552,0.06273504332318745,0.027547096833586693
75,0.0,1.0647446906394933,-0.0023577040882486466,0.0,0.06273504332318745,0.03569747507572174
76,0.0,1.0647446906394933,-0.0023577040882486466,0.0,0.06273504332318745,0.03686598688364029
77,0.0,1.0647446906394933,-0.0023577040882486466,0.0,0.06273504332318745,0.052950672805309296
78,0.0,1.0647446906394933,-0.0023577040882486466,0.0,0.06273504332318745,0.03336438909173012
79,0.0,1.0647446906394933,-0.0023577040882486466,0.0,0.06273504332318745,0.02552114427089691
80,0.0,1.0647446906394933,-0.0023577040882486466,0.0,0.06273504332318745,0.01999637857079506
81,0.0006638782034660214,1.065451551431865,-0.0016953911131371013,0.0006636579338142585,0.06339870125700171,0.036358706653118134
82,-0.00036943179408186394,1.065057939753712,-0.0020641965758384506,-0.0003695000508184266,0.06302920120618329,0.04446623474359512
83,0.0,1.065057939753712,-0.0020641965758384506,0.0,0.06302920120618329,0.045448169112205505
84,0.0,1.065057939753712,-0.0020641965758384506,0.0,0.06302920120618329,0.04786219447851181
85,0.0,1.065057939753712,-0.0020641965758384506,0.0,0.06302920120618329,0.052579365670681
86,0.0,1.065057939753712,-0.0020641965758384506,0.0,0.06302920120618329,0.049273330718278885
87,0.0019794070663360463,1.0671661229657181,-8.887539479074391e-05,0.0019774506214773582,0.06500665182766065,0.04151376709342003
88,-0.0014294070953672596,1.0656407081376154,-0.0015181554510380613,-0.0014304296722580075,0.06357622215540264,0.05107450485229492
89,0.00024041530158784672,1.0658969044698465,-0.0012781051372509067,0.00024038640646035567,0.063816608561863,0.05614694207906723
90,0.0,1.0658969044698465,-0.0012781051372509067,0.0,0.063816608561863,0.05722672864794731
91,0.0,1.0658969044698465,-0.0012781051372509067,0.0,0.063816608561863,0.04871360957622528
92,0.0,1.0658969044698465,-0.0012781051372509067,0.0,0.063816608561863,0.040568869560956955
93,0.0,1.0658969044698465,-0.0012781051372509067,0.0,0.063816608561863,0.03320339322090149
94,0.0,1.0658969044698465,-0.0012781051372509067,0.0,0.063816608561863,0.02852615714073181
95,0.0,1.0658969044698465,-0.0012781051372509067,0.0,0.063816608561863,0.0336262509226799
96,0.00012686747712973466,1.0660321321209971,-0.001151399810095266,0.00012685943013195238,0.06394346799199495,0.029014213010668755
