learning_rate,lambda_penalty,rolling_window,domain_limit,max_weight,uniform_mix,evaluation_mode,sortino_ratio,max_drawdown,mean_return,volatility,concentration_penalty_lambda,covariance_penalty_lambda,covariance_shrinkage,entropy_lambda,variance_penalty,downside_penalty,regime_k,macro_integration,lambda_macro_explicit,lambda_etf_tracking,max_domain_exposure,max_domain_exposure_threshold,domain_exposure_json
0.015227800536820017,0.83985412332934,24,0.11287275704952962,0.08941740816682235,0.023807085227914627,online,0.05283838450491205,-0.43647536677988286,0.0001702639568943539,0.01712749790078789,15.406930907247204,1.756901391643955,0.03194831506413137,0.0,1.5986272495665454,2.0157387969616565,0.1914369635965394,both,1.6852372117318177,0.0,0.10500846058130264,0.12,"{""roland-garros"": 0.06611869484186172, ""nba-champion"": 0.09378907829523087, ""hockey"": 0.054188042879104614, ""serie-a"": 0.045398272573947906, ""ligue-1"": 0.09965100139379501, ""la-liga"": 0.09082238376140594, ""nba"": 0.05493380129337311, ""new-mexico-primary"": 0.08839655295014381, ""colombia-election"": 0.10500846058130264, ""middle-east"": 0.0505560003221035, ""airdrops"": 0.05707330256700516, ""primaries"": 0.045138150453567505, ""awards"": 0.04386519640684128, ""uefa-europa-league"": 0.05955730378627777, ""stanley-cup"": 0.04550376906991005}"
0.03604478856158296,0.6497011896903513,24,0.11863225588734178,0.047777151775951515,0.04140716585913709,online,0.10464267243770448,-0.13167862224525195,0.0002669569970995224,0.01212669628479943,49.516791174506295,3.2762628210632876,0.09853919861583701,0.0,1.5395188764619188,2.334788626860845,0.6072705428256674,both,1.8364702586169606,0.0,0.10021273791790009,0.12,"{""roland-garros"": 0.05004015564918518, ""nba-champion"": 0.10007427260279655, ""hockey"": 0.0500333234667778, ""serie-a"": 0.04999193921685219, ""ligue-1"": 0.10013655573129654, ""la-liga"": 0.09995399788022041, ""nba"": 0.049929626286029816, ""new-mexico-primary"": 0.09980648756027222, ""colombia-election"": 0.10021273791790009, ""middle-east"": 0.04974989965558052, ""airdrops"": 0.0499623566865921, ""primaries"": 0.04998961091041565, ""awards"": 0.050054486840963364, ""uefa-europa-league"": 0.05001460760831833, ""stanley-cup"": 0.05004987493157387}"
0.03367384866778971,0.41313308398623827,24,0.10706206528930517,0.04463152760589303,0.0003909224436221548,online,0.10584123872768496,-0.13177771498149993,0.0002697693604944912,0.012133203728828422,5.069422108312896,0.9276938642797871,0.09499353409755283,0.0,1.9866249849864164,2.874125776627091,0.7097131908092185,both,0.07294777878867953,0.0,0.10005483031272888,0.12,"{""roland-garros"": 0.0500526949763298, ""nba-champion"": 0.10000236704945564, ""hockey"": 0.050049565732479095, ""serie-a"": 0.04994843155145645, ""ligue-1"": 0.09998688846826553, ""la-liga"": 0.09986049681901932, ""nba"": 0.050004974007606506, ""new-mexico-primary"": 0.10005483031272888, ""colombia-election"": 0.10003692656755447, ""middle-east"": 0.04984358325600624, ""airdrops"": 0.050042279064655304, ""primaries"": 0.05001457780599594, ""awards"": 0.05002940446138382, ""uefa-europa-league"": 0.05003638193011284, ""stanley-cup"": 0.050036631524562836}"
0.04821764891985734,0.7871083259289572,24,0.10901080140089846,0.07011139895896465,0.053466597716026354,online,0.06747228514556076,-0.3639385610173266,0.00019633239932274307,0.015882472614443584,6.059731843187143,2.0811008529995916,0.05544707165369943,0.0,1.7616373958868476,2.1326668770125154,0.14000316421767042,both,3.889034873527386,0.0,0.10672812163829803,0.12,"{""roland-garros"": 0.06022030860185623, ""nba-champion"": 0.09925335645675659, ""hockey"": 0.04940958693623543, ""serie-a"": 0.048605773597955704, ""ligue-1"": 0.10387936979532242, ""la-liga"": 0.09575891867280006, ""nba"": 0.053151391446590424, ""new-mexico-primary"": 0.0912952721118927, ""colombia-election"": 0.10672812163829803, ""middle-east"": 0.05062432959675789, ""airdrops"": 0.054334551095962524, ""primaries"": 0.04519964009523392, ""awards"": 0.041677918285131454, ""uefa-europa-league"": 0.055470265448093414, ""stanley-cup"": 0.04439123347401619}"
0.005000000000000002,0.25,24,0.08,0.04,0.0,online,0.10143917746779472,-0.1321564753465969,0.0002637675422606223,0.012244446122831711,2.0,0.5,0.02,0.0,1.0,2.0,0.0,both,0.0,0.0,0.09784318506717682,0.12,"{""roland-garros"": 0.051129817962646484, ""nba-champion"": 0.09776787087321281, ""hockey"": 0.05118197947740555, ""serie-a"": 0.051032256335020065, ""ligue-1"": 0.09784318506717682, ""la-liga"": 0.0976296104490757, ""nba"": 0.05109808221459389, ""new-mexico-primary"": 0.09780563041567802, ""colombia-election"": 0.09779967367649078, ""middle-east"": 0.050983645021915436, ""airdrops"": 0.05111844465136528, ""primaries"": 0.05113553628325462, ""awards"": 0.05117030069231987, ""uefa-europa-league"": 0.05113489180803299, ""stanley-cup"": 0.051169171929359436}"
0.015811388300841896,0.625,24,0.1,0.07,0.05,online,0.06970058961368099,-0.3593154864338305,0.0002030159213933691,0.015246092582883834,9.999999999999998,2.2360679774997902,0.06,0.0,1.5,2.5,0.4,both,2.5,0.0,0.09892351925373077,0.12,"{""roland-garros"": 0.06152384355664253, ""nba-champion"": 0.09349912032485008, ""hockey"": 0.05392390117049217, ""serie-a"": 0.050706733018159866, ""ligue-1"": 0.0963701568543911, ""la-liga"": 0.09089222550392151, ""nba"": 0.056588806211948395, ""new-mexico-primary"": 0.08781372755765915, ""colombia-election"": 0.09892351925373077, ""middle-east"": 0.05279826000332832, ""airdrops"": 0.05710946395993233, ""primaries"": 0.04961756244301796, ""awards"": 0.045308638364076614, ""uefa-europa-league"": 0.05821569263935089, ""stanley-cup"": 0.04670831561088562}"
0.028117066259517463,0.4375,24,0.09,0.055,0.07500000000000001,online,0.10223380638851016,-0.14460400161471876,0.0002515836697371654,0.01225973599748443,22.360679774997894,4.728708045015881,0.04,0.0,1.75,2.75,0.6000000000000001,both,3.75,0.0,0.09883226454257965,0.12,"{""roland-garros"": 0.05206448584794998, ""nba-champion"": 0.09624019637703896, ""hockey"": 0.05198189988732338, ""serie-a"": 0.050598837435245514, ""ligue-1"": 0.09732647985219955, ""la-liga"": 0.09493948146700859, ""nba"": 0.05177430436015129, ""new-mexico-primary"": 0.09601961076259613, ""colombia-election"": 0.09883226454257965, ""middle-east"": 0.05119224637746811, ""airdrops"": 0.05242448300123215, ""primaries"": 0.05107799172401428, ""awards"": 0.051066674292087555, ""uefa-europa-league"": 0.052712332457304, ""stanley-cup"": 0.051748793572187424}"
0.03749471046662279,0.90625,24,0.085,0.0625,0.037500000000000006,online,0.07766116476889387,-0.20600546657192254,0.00021380126553610464,0.012944365242063981,33.437015248821105,3.251724563121182,0.09000000000000001,0.0,1.375,2.125,0.30000000000000004,both,4.375,0.0,0.09157837182283401,0.12,"{""roland-garros"": 0.05756117403507233, ""nba-champion"": 0.08899404481053352, ""hockey"": 0.05610739067196846, ""serie-a"": 0.05390685051679611, ""ligue-1"": 0.09001990035176277, ""la-liga"": 0.08774130791425705, ""nba"": 0.05615483969449997, ""new-mexico-primary"": 0.08766135945916176, ""colombia-election"": 0.09157837182283401, ""middle-east"": 0.05425170063972473, ""airdrops"": 0.057157229632139206, ""primaries"": 0.05466468259692192, ""awards"": 0.053148649632930756, ""uefa-europa-league"": 0.056459859013557434, ""stanley-cup"": 0.05459269508719444}"
0.021084825171429115,0.34375,24,0.11499999999999999,0.07750000000000001,0.0125,online,0.06673082993892958,-0.36190432027418107,0.00019457141314016823,0.014062290996909,14.953487812212206,6.876560219336323,0.03,0.0,1.125,2.375,0.1,both,3.125,0.0,0.1109311506152153,0.12,"{""roland-garros"": 0.0631336122751236, ""nba-champion"": 0.09956495091319084, ""hockey"": 0.050117261707782745, ""serie-a"": 0.04407481476664543, ""ligue-1"": 0.10572655498981476, ""la-liga"": 0.09735653549432755, ""nba"": 0.0511869415640831, ""new-mexico-primary"": 0.09386083111166954, ""colombia-election"": 0.1109311506152153, ""middle-east"": 0.04741234704852104, ""airdrops"": 0.05450773984193802, ""primaries"": 0.044197868555784225, ""awards"": 0.04045367240905762, ""uefa-europa-league"": 0.05661545693874359, ""stanley-cup"": 0.040860243141651154}"
0.00666760716081662,0.71875,24,0.095,0.0475,0.0625,online,0.10073423885943826,-0.13330286849366824,0.00025499471469498194,0.012181425122788657,2.9906975624424406,1.5376456101806881,0.07,0.0,1.625,2.875,0.5,both,0.625,0.0,0.0992535799741745,0.12,"{""roland-garros"": 0.050654567778110504, ""nba-champion"": 0.09918848425149918, ""hockey"": 0.050572313368320465, ""serie-a"": 0.049932435154914856, ""ligue-1"": 0.09870781376957893, ""la-liga"": 0.09848121553659439, ""nba"": 0.050618335604667664, ""new-mexico-primary"": 0.0992535799741745, ""colombia-election"": 0.09925238788127899, ""middle-east"": 0.05031463876366615, ""airdrops"": 0.05064757168292999, ""primaries"": 0.05044693872332573, ""awards"": 0.05060335248708725, ""uefa-europa-league"": 0.05065852776169777, ""stanley-cup"": 0.05066784471273422}"
