event_id,event_slug,event_title,market_id,market_slug,question,yes_token_id,domain,market_liquidity,tag_labels,tag_slugs,event_start,event_end
32228,balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,562828,2026-balance-of-power-d-senate-d-house-949,"2026 Balance of Power: D Senate, D House",34722410608062854697106861099776685947172185964394483545370684749662285977831,midterms,78932.3457,Politics|US Election|Elections|Global Elections|Midterms|Earn 4%,politics|us-presidential-election|elections|global-elections|midterms|earn-4,2025-07-11T21:15:44.724213Z,2026-11-03T00:00:00Z
39274,nfl-draft-2026-first-overall-pick,NFL Draft 2026: First Overall Pick ,580109,will-nico-iamaleava-be-the-first-pick-of-the-2026-nfl-draft,Will Nico Iamaleava be the first pick of the 2026 NFL Draft?,61333438224991090029549325331522226961828740049006775405883405120037322223568,ncaa-football,23681.53563,Sports|NCAA Football|NFL|CFB|NFL Draft,sports|ncaa-football|nfl|cfb|nfl-draft,2025-08-25T21:10:24.86915Z,2026-04-25T00:00:00Z
63255,which-teams-will-make-the-nba-playoffs-138,Which teams will make the NBA Playoffs?,643403,will-the-utah-jazz-make-the-nba-playoffs-592,Will the Utah Jazz make the NBA Playoffs?,4348784403220474395698882479831596946764559028237217466832566310809828391627,basketball,26054.68254,Basketball|NBA|Sports,basketball|nba|sports,2025-10-22T07:35:54.255228Z,2026-04-12T21:00:00Z
72288,acc-mens-college-basketball-2025-2026-regular-season-champion,ACC Men's College Basketball 2025-2026 Regular Season Champion,663406,will-virginia-win-the-2025-2026-acc-mens-basketball-regular-season-championship,Will Virginia win the 2025-2026 ACC Men’s Basketball regular season championship?,60362457612453290115472505523720785181586606412654519197720091321934166224281,conference-championship,252520.09304,Basketball|ACC|ncaab|Sports|NCAA CBB|Conference Championship,basketball|acc|ncaab|sports|ncaa-cbb|conference-championship,2025-11-03T23:54:27.65053Z,2026-03-07T00:00:00Z
16167,microstrategy-sell-any-bitcoin-in-2025,MicroStrategy sells any Bitcoin by ___ ?,692250,microstrategy-sells-any-bitcoin-by-march-31-2026,"MicroStrategy sells any Bitcoin by March 31, 2026?",108547978327958467449318042977006580876058560639743186491243488736783119648127,2025-predictions,151254.63664,Finance|Economy|Business|2025 Predictions|Crypto|MicroStrategy|Stocks,finance|economy|business|2025-predictions|crypto|microstrategy|stocks,2024-12-31T18:51:45.506005Z,2025-12-31T12:00:00Z
63429,nba-eastern-conference-1-seed,NBA Eastern Conference #1 Seed,644365,will-the-charlotte-hornets-finish-as-the-1-seed-in-the-20252026-nba-eastern-conference,Will the Charlotte Hornets finish as the #1 seed in the 2025–2026 NBA Eastern Conference?,86019843499882819749574066303366409736251071227651318922723713822161485055948,nba,24292.27155,Sports|NBA,sports|nba,2025-10-22T16:17:00.435964Z,2026-04-12T00:00:00Z
30828,xi-jinping-out-before-2027,Xi Jinping out before 2027?,559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,macro-geopolitics,212111.29032,Geopolitics|World|world affairs|Earn 4%|Macro Geopolitics|Hide From China,geopolitics|world|world-affairs|earn-4|macro-geopolitics|hide-from-china,2025-07-03T20:37:17.339047Z,2026-12-31T00:00:00Z
79230,china-x-taiwan-military-clash-before-2027,China x Taiwan military clash before 2027?,677407,china-x-taiwan-military-clash-before-2027,China x Taiwan military clash before 2027?,104812032440315568595318241870590180481232715981192720184511444933968102038477,hide-from-china,119487.6116,Politics|World|taiwan|Foreign Policy|China|Geopolitics|Hide From China,politics|world|taiwan|foreign-policy|china|geopolitics|hide-from-china,2025-11-13T23:20:40.905042Z,2026-12-31T00:00:00Z
64731,billionaire-one-time-wealth-tax-passes-in-california-election-2026,Billionaire one-time wealth tax passes in California election 2026?,648383,billionaire-one-time-wealth-tax-passes-in-california-election-2026,Billionaire one-time wealth tax passes in California election 2026?,38487155026041533062980821872238023790862908049855818921747904019478875496931,referendum,190883.7766,Politics|Elections|Taxes|referendum,politics|elections|taxes|referendum,2025-10-24T19:56:13.121502Z,2026-11-03T00:00:00Z
73159,will-a-new-country-join-the-abraham-accords-by-march-31,Will a new country join the Abraham Accords by March 31?,665426,will-a-new-country-join-the-abraham-accords-by-march-31,Will a new country join the Abraham Accords by March 31?,31710526515637853019014921424621846051756133805905305512202715271350686434930,middle-east,20386.2032,Politics|Gaza|Middle East|Israel,politics|gaza|middle-east|israel,2025-11-05T18:16:49.384355Z,2026-03-31T00:00:00Z
73331,us-defaults-on-debt-by-2027,US defaults on debt by 2027?,665728,us-defaults-on-debt-by-2027,US defaults on debt by 2027?,114437641958570534735982376736844126362165493704104291576224648286615737546344,politics,18369.66492,Politics|Economy,politics|economy,2025-11-05T19:50:42.248776Z,2026-12-31T00:00:00Z
