category,airdrops,basketball,best-of-2025,claude-5,colombia-election,economic-policy,grooming-gangs,hockey,ligue-1,nba,nba-champion,primaries,republican-primary,serie-a,south-dakota-midterm,tennis,uefa-europa-league,west-virginia-primary
airdrops,1.0,-0.00011032936200184059,-0.00010801020272137616,-3.932727301152346e-05,-8.331263382147622e-05,0.0001355377625206765,-0.00012249867402855196,0.009198709954302072,-2.498490427898642e-05,0.0645420922957901,-7.916882912281737e-05,-5.7654331453441876e-05,-0.00011104028540187269,-2.972323914766778e-05,-0.00010173131273056953,-0.0013303989126424816,-0.00012999111227277212,-0.00010461889201451067
basketball,-0.00011032936200184059,1.0,-0.00014947573281035278,-5.442516359305573e-05,-0.00011529667271294495,0.00018757122814142848,0.00013081633330554274,-0.00015139535064184916,-0.006049008629875835,0.00011594510745324394,0.006133450606124142,-7.978804989307168e-05,-0.0001536690758254677,-4.1134104382304384e-05,-0.00014078635292803776,-0.00014074787628362074,-0.00017989519764099074,-0.00014478248494742584
best-of-2025,-0.00010801020272137616,-0.00014947573281035278,1.0,-5.328112885064965e-05,-0.0001128730989364158,0.0001836284195671795,-0.00016596288364659377,-0.00014821297084657492,-3.384989098582497e-05,0.00011350790336635306,-0.00010725901549827547,-7.811087898387598e-05,-0.00015043890158304818,-4.026945205230792e-05,-0.00013782697773514704,-0.0001377893098823791,-0.00017611374173886002,-0.00014173910975226253
claude-5,-3.932727301152346e-05,-5.442516359305573e-05,-5.328112885064965e-05,0.9999999999999998,-4.1097887659554974e-05,6.686039658329045e-05,0.013439066294114892,-5.396538309781832e-05,-1.2324982924472908e-05,4.132902440864128e-05,-3.905376047047244e-05,-2.8440719354014858e-05,-5.477586010436294e-05,-1.4662390172259416e-05,0.011570030171376615,-5.017005496964337e-05,-6.412424963511484e-05,-0.016268454568165967
colombia-election,-8.331263382147622e-05,-0.00011529667271294495,-0.0001128730989364158,-4.1097887659554974e-05,1.0,0.00014164002004589372,-0.00012801387836362541,-0.00011432265338476057,-2.6109788719438854e-05,8.755323247933183e-05,-8.273321276242035e-05,-6.025007725468533e-05,-0.0001160396037069269,-3.1061455570820176e-05,-0.00010631151722203169,-0.00010628246248511665,-0.0001358436453847693,-0.00010932910272776704
economic-policy,0.0001355377625206765,0.00018757122814142848,0.0001836284195671795,6.686039658329045e-05,0.00014164002004589372,0.9999999999999999,0.0002082603063801735,0.0001859866377337257,4.2476899127970954e-05,-0.00014243661120028674,0.0001345951271687567,9.801827511895218e-05,0.0001887798708167686,5.0532554254927974e-05,0.00017295366277014868,0.00017290639486069187,0.00022099821964045708,0.00017786284363386566
grooming-gangs,-0.00012249867402855196,0.00013081633330554274,-0.00016596288364659377,0.013439066294114892,-0.00012801387836362541,0.0002082603063801735,0.9999999999999999,-0.00016809423503604977,-3.839050994535454e-05,0.00012873383535820222,-0.0001216467226715659,-6.141497609693133e-05,-0.00017061875176527564,-4.567118990591249e-05,0.0006510446476137384,-0.00015627234585831006,-0.00019973761087060764,0.001956262578673154
hockey,0.009198709954302072,-0.00015139535064184916,-0.00014821297084657492,-5.396538309781832e-05,-0.00011432265338476057,0.0001859866377337257,-0.00016809423503604977,1.0,-3.428460271534143e-05,0.0521805931461515,-0.00010863647199150135,-5.8988046432381504e-05,-0.00015237088875313988,-4.078660595261961e-05,-0.00013959699832074342,-0.0001395588467246977,-0.00017837545387539266,-0.00014355937125816858
ligue-1,-2.498490427898642e-05,-0.006049008629875835,-3.384989098582497e-05,-1.2324982924472908e-05,-2.6109788719438854e-05,4.2476899127970954e-05,-3.839050994535454e-05,-3.428460271534143e-05,1.0,2.6256631587225896e-05,-2.481113976052465e-05,-1.806859708979545e-05,-3.47995046873887e-05,-9.315123752610511e-06,-3.188211630949028e-05,-3.1873402987304325e-05,-4.07386049529998e-05,-3.278707011488804e-05
nba,0.0645420922957901,0.00011594510745324394,0.00011350790336635306,4.132902440864128e-05,8.755323247933183e-05,-0.00014243661120028674,0.00012873383535820222,0.0521805931461515,2.6256631587225896e-05,1.0,8.31985088379197e-05,6.058892695674565e-05,0.00011669221673142427,3.1236146881528984e-05,0.00010690941896054832,0.00010688020081821806,0.00013660763741370799,0.00010994397553082355
nba-champion,-7.916882912281737e-05,0.006133450606124142,-0.00010725901549827547,-3.905376047047244e-05,-8.273321276242035e-05,0.0001345951271687567,-0.0001216467226715659,-0.00010863647199150135,-2.481113976052465e-05,8.31985088379197e-05,1.0,-5.725335824856798e-05,-0.00011026802461963342,-2.951652055151285e-05,-0.00010102379380747438,-0.00010099618419538347,0.021042088552130873,-0.00010389129061208729
primaries,-5.7654331453441876e-05,-7.978804989307168e-05,-7.811087898387598e-05,-2.8440719354014858e-05,-6.025007725468533e-05,9.801827511895218e-05,-6.141497609693133e-05,-5.8988046432381504e-05,-1.806859708979545e-05,6.058892695674565e-05,-5.725335824856798e-05,1.0,-8.030217587624187e-05,-2.149526875772313e-05,-7.357010779867068e-05,-7.355000122712743e-05,-9.40070454817158e-05,-7.565834900479681e-05
republican-primary,-0.00011104028540187269,-0.0001536690758254677,-0.00015043890158304818,-5.477586010436294e-05,-0.0001160396037069269,0.0001887798708167686,-0.00017061875176527564,-0.00015237088875313988,-3.47995046873887e-05,0.00011669221673142427,-0.00011026802461963342,-8.030217587624187e-05,1.0,-4.139915800732587e-05,-0.00014169353040903947,-0.0001416548058347317,-0.00018105437868976858,-0.00014571541209026717
