label,best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,league-of-legends::89958419168244050451443228284990944744088214601708643333969277675829695680590,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,rhode-island-primary::76953082602184447446392227868698611312931515419726728725776351799308439033216,grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,north-carolina-midterm::62831517509825405761763142539845746280269675872170259538293560849475982647892,prediction-markets::44488146241641686838477630423381146915926290111161217223359635890474557300976
best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,1.0,-0.0005724154192485602,-0.0008580960151495383,-0.0004246516162575855,-0.0003413783263042048,-0.00035312104670338803,-0.000517059642618485,0.0007776283594030272,0.00083388301382378,0.0006804997178654305,0.000774649903551143,-0.0007119065286526451,-0.0007021970669761634,-0.0005388607819010204,-0.000460570634701541,0.0008077167736350847,0.0005584415224861762,0.00029117233612560947,0.0005791866553771281,-0.010505260810298428
league-of-legends::89958419168244050451443228284990944744088214601708643333969277675829695680590,-0.0005724154192485602,0.9999999999999998,-0.00101681135263973,-0.0005031961187376929,-0.0004045204168332879,-0.0004184350967781267,-0.0006126961381060437,0.0009214602212525222,0.0009881198610177243,0.0008063664512800564,0.000917930863616492,-0.0008435823352777034,-0.0008320769900874972,-0.0006385296643450664,-0.0005457587983034841,0.0009571138551512095,0.0006617321020310472,0.00034502821563104166,0.0006863143005998691,-8.622700933774774e-05
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,-0.0008580960151495383,-0.00101681135263973,1.0,-0.0007543308055788587,-0.0006064081191015965,-0.0006272673255646645,-0.0009184800005850541,0.0013813417972101266,0.0014812698727482158,0.001208807127351747,0.0013760510107958181,-0.001264596682777355,-0.0012473492597893279,-0.0009572065009159958,-0.0008181356307134408,0.0014347894160989445,0.0009919887912781583,0.0005172246012097402,0.0010288394523998172,-0.00012926111111423045
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.0004246516162575855,-0.0005031961187376928,-0.0007543308055788586,1.0,-0.0003000971725096988,-0.00031041990514336665,-0.0004545342361026492,0.00068359369631525,0.0007330457599976248,0.0005982103299759111,0.0006809754100600484,-0.0006258192740375371,-0.0006172839284365276,-0.0004736990739147339,-0.00040487615810667546,0.0007100436708467147,0.0004909120146097857,0.0002559623387059186,0.000509148543540338,-6.396829583731204e-05
nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,-0.0003413783263042048,-0.00040452041683328784,-0.0006064081191015964,-0.0003000971725096988,0.9999999999999998,-0.00024954721379199385,-0.0003654010271670776,0.0005495424083789338,0.000589297026248883,0.000480902540828172,0.0005474375625585833,-0.0005030974289528192,-0.000496235846695399,-0.0003808076805405844,-0.00032548079395767587,0.0005708055984638172,0.000394645199721685,0.00020576866174302805,0.00040930558363539446,-5.142424739113223e-05
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.00035312104670338803,-0.00041843509677812673,-0.0006272673255646645,-0.00031041990514336665,-0.0002495472137919939,1.0,-0.0003779700796375268,0.0005684455500017292,0.0006095676459048356,0.0004974446105527785,0.000566268301764313,-0.0005204029577064678,-0.0005133053509690625,-0.0003939066905651817,-0.009768551582540171,0.0005904401505972354,0.00040822019227431446,0.00021284668537715695,0.0004233848635899357,-5.319313695535626e-05
taylor-swift::332462812953361158016354695716232633373752944798478737086328444144960550554,-0.0005170596426184851,-0.0006126961381060437,-0.0009184800005850542,-0.0004545342361026492,-0.0003654010271670776,-0.00037797007963752687,0.9999999999999998,0.0008323498575797182,0.00089256313687839,0.0007283862997012649,0.000829161808591884,-0.0007620031993033177,-0.0007516104854241839,-0.0005767802699671777,-0.0004929808661987788,0.0008645555854161819,0.0005977389019927385,0.0003116620549838958,0.0006199438642969742,-7.788837465413249e-05
new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0007776283594030271,0.0009214602212525223,0.0013813417972101268,0.0006835936963152501,0.0005495424083789338,0.0005684455500017292,0.0008323498575797182,1.0,-0.0013423643049753464,-0.0010954516588838961,-0.0012470123052529738,0.001146009568128902,0.0011303795162404047,0.0008674447937944281,0.0007414152461364982,-0.0013002425370025796,-0.0008989653869601015,-0.00046872204389798467,-0.000932360390135771,0.00011713969532050546
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,0.00083388301382378,0.0009881198610177243,0.0014812698727482158,0.0007330457599976248,0.000589297026248883,0.0006095676459048356,0.00089256313687839,-0.0013423643049753464,1.0,0.006233203759797844,-0.0013372228093352645,0.0012289134018669792,0.0012121526515452995,0.0009301968867626431,0.002035457983794712,-0.0013943037857954911,-0.0009639977209383452,-0.0005026300107050488,-0.0009998085624001404,0.0001256137343643834
ufc::51613719567621754724891717390585755097347351696566637940067208667324364080624,0.0006804997178654305,0.0008063664512800564,0.001208807127351747,0.0005982103299759111,0.00048090254082817197,0.0004974446105527784,0.0007283862997012649,-0.0010954516588838961,0.006233203759797845,0.9999999999999998,-0.0010912558828883607,0.0010028687590322594,0.0009891909580985207,0.000759097749333769,0.0006488097556065813,-0.0011378374629574365,-0.0007866813045074146,-0.00041017693705866455,-0.0008159051489883502,0.00010250851663595747
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.000774649903551143,0.000917930863616492,0.0013760510107958183,0.0006809754100600484,0.0005474375625585833,0.000566268301764313,0.000829161808591884,-0.0012470123052529738,-0.0013372228093352645,-0.0010912558828883607,0.9999999999999999,0.001141620146288506,0.0011260499602972834,0.0008641223249171104,0.0007385754929924616,-0.0012952623752757817,-0.0008955221885671336,-0.0004669267545445985,-0.0009287892829012313,0.00011669102931343125
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.0007119065286526451,-0.0008435823352777033,-0.001264596682777355,-0.0006258192740375372,-0.0005030974289528192,-0.0005204029577064678,-0.0007620031993033177,0.001146009568128902,0.001228913401866979,0.0010028687590322592,0.0011416201462885057,1.0,-0.0010348446629242357,-0.0007941320612613236,-0.0006787539931959064,0.001190351585987197,0.0008229886683928879,0.09737648482360144,0.0008535612683985979,-0.00010723954811406158
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.0007021970669761634,-0.0008320769900874972,-0.001247349259789328,-0.0006172839284365276,-0.000496235846695399,-0.0005133053509690624,-0.0007516104854241839,0.0011303795162404047,0.0012121526515452992,0.0009891909580985207,0.0011260499602972834,-0.0010348446629242357,1.0,-0.0007833011522802543,-0.0006694966881713671,0.0011741167677343939,0.0008117641935295149,0.0004232551970004261,0.0008419198237840661,-0.00010577694278496998
rhode-island-primary::76953082602184447446392227868698611312931515419726728725776351799308439033216,-0.0005388607819010204,-0.0006385296643450665,-0.0009572065009159959,-0.0004736990739147338,-0.00038080768054058443,-0.0003939066905651817,-0.0005767802699671778,0.0008674447937944282,0.0009301968867626431,0.0007590977493337691,0.0008641223249171104,-0.0007941320612613235,-0.0007833011522802544,1.0,-0.0005137667555658055,0.0009010084337562635,0.0006229417760575833,0.00032480287532597393,0.0006460829813714435,-8.117243545555851e-05
grooming-gangs::34554555827438551101000555305203609600029621153428996114009350892614396532498,-0.000460570634701541,-0.0005457587983034841,-0.0008181356307134408,-0.0004048761581066754,-0.00032548079395767587,-0.009768551582540171,-0.0004929808661987788,0.0007414152461364982,0.0020354579837947116,0.0006488097556065813,0.0007385754929924616,-0.0006787539931959064,-0.0006694966881713671,-0.0005137667555658055,1.0,0.0007701024831359845,0.0005324356472348608,0.0002776128296329509,-0.004018568923195677,-6.937903327488179e-05
roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,0.0008077167736350847,0.0009571138551512094,0.0014347894160989445,0.0007100436708467148,0.0005708055984638172,0.0005904401505972354,0.0008645555854161819,-0.0013002425370025794,-0.001394303785795491,-0.0011378374629574365,-0.0012952623752757817,0.001190351585987197,0.001174116767734394,0.0009010084337562635,0.0007701024831359844,1.0,-0.0009337486386458986,0.033813188219703735,-0.000968435779224582,0.00012167212734050961
la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,0.0005584415224861762,0.0006617321020310472,0.0009919887912781583,0.0004909120146097856,0.000394645199721685,0.00040822019227431446,0.0005977389019927386,-0.0008989653869601016,-0.0009639977209383452,-0.0007866813045074146,-0.0008955221885671336,0.0008229886683928879,0.000811764193529515,0.0006229417760575833,0.0005324356472348608,-0.0009337486386458987,1.0,-0.0003366053316499081,-0.0006695598861298496,8.412202179531413e-05
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.00029117233612560947,0.00034502821563104166,0.0005172246012097402,0.0002559623387059186,0.00020576866174302808,0.00021284668537715695,0.00031166205498389573,-0.0004687220438979847,-0.0005026300107050488,-0.00041017693705866455,-0.00046692675454459846,0.09737648482360144,0.0004232551970004261,0.00032480287532597393,0.00027761282963295093,0.033813188219703735,-0.00033660533164990813,0.9999999999999999,-0.00034910963524430394,4.386136169943792e-05
north-carolina-midterm::62831517509825405761763142539845746280269675872170259538293560849475982647892,0.0005791866553771281,0.0006863143005998691,0.0010288394523998174,0.000509148543540338,0.00040930558363539446,0.0004233848635899357,0.0006199438642969743,-0.000932360390135771,-0.0009998085624001404,-0.0008159051489883502,-0.0009287892829012313,0.0008535612683985979,0.000841919823784066,0.0006460829813714435,-0.004018568923195677,-0.000968435779224582,-0.0006695598861298496,-0.00034910963524430394,0.9999999999999999,8.724700883679829e-05
prediction-markets::44488146241641686838477630423381146915926290111161217223359635890474557300976,-0.010505260810298428,-8.622700933774774e-05,-0.00012926111111423048,-6.396829583731204e-05,-5.142424739113224e-05,-5.319313695535626e-05,-7.78883746541325e-05,0.00011713969532050546,0.0001256137343643834,0.00010250851663595747,0.00011669102931343124,-0.00010723954811406159,-0.00010577694278496998,-8.117243545555851e-05,-6.937903327488179e-05,0.00012167212734050961,8.412202179531413e-05,4.386136169943792e-05,8.724700883679829e-05,0.9999999999999998
