category,baseline_exposure,constrained_exposure,delta_exposure
2026-nfl-draft,0.025,0.028814023360610008,0.003814023360610007
awards,0.025,0.028814023360610008,0.003814023360610007
base,0.025,0.028780749067664146,0.003780749067664145
bundesliga,0.025,0.02794823981821537,0.002948239818215369
basketball,0.025,0.026981720700860023,0.001981720700860022
extended,0.025,0.02697908505797386,0.0019790850579738603
democratic-primary,0.025,0.026903754100203514,0.0019037541002035127
delaware-midterm,0.025,0.026306819170713425,0.0013068191707134233
2026-fifa-world-cup,0.025,0.026197170838713646,0.0011971708387136445
abraham-accords,0.025,0.026040682569146156,0.001040682569146155
elon-musk,0.025,0.025705182924866676,0.0007051829248666749
california-midterm,0.025,0.025569628924131393,0.000569628924131392
airdrops,0.025,0.025519009679555893,0.0005190096795558916
comex-gold-futures,0.025,0.025476139038801193,0.00047613903880119185
connecticut-primary,0.025,0.025325346738100052,0.0003253467381000505
anthropic,0.025,0.025202393531799316,0.00020239353179931502
big-tech,0.025,0.025048956274986267,4.89562749862657e-05
business,0.025,0.025033295154571533,3.3295154571531815e-05
comex-silver-futures,0.025,0.024845773354172707,-0.00015422664582729478
bernie-sanders,0.025,0.024845771491527557,-0.00015422850847244401
bitcoin,0.025,0.024677081033587456,-0.00032291896641254564
climate-science,0.025,0.024646462872624397,-0.0003535371273756041
acquisitions,0.025,0.024587756022810936,-0.0004122439771890654
champions-league,0.025,0.02452152408659458,-0.0004784759134054198
fdv,0.025,0.02444438822567463,-0.0005556117743253722
commodities,0.025,0.024434376507997513,-0.0005656234920024886
foreign-policy,0.025,0.024317767471075058,-0.0006822325289249434
colorado-midterm,0.025,0.024294309318065643,-0.0007056906819343581
colombia-election,0.025,0.0241563618183136,-0.0008436381816864028
crypto-prices,0.025,0.024068187922239304,-0.0009318120777606978
brazil,0.025,0.023944446817040443,-0.001055553182959558
best-of-2025,0.025,0.023673055693507195,-0.0013269443064928069
celebrities,0.025,0.02362458035349846,-0.0013754196465015425
fifa-world-cup,0.025,0.02361895889043808,-0.0013810411095619216
felix,0.025,0.023300861939787865,-0.0016991380602121367
epstein,0.025,0.023027893155813217,-0.0019721068441867842
2025-predictions,0.025,0.022589687258005142,-0.002410312741994859
congress,0.025,0.022189147770404816,-0.0028108522295951857
claude-5,0.025,0.02187720127403736,-0.0031227987259626402
economic-policy,0.025,0.021668266505002975,-0.003331733494997026
