timestamp,spy_ret_1,spy_ret_6,spy_vol_24,spy_trend_24,qqq_ret_1,qqq_ret_6,qqq_vol_24,qqq_trend_24,xle_ret_1,xle_ret_6,xle_vol_24,xle_trend_24,tlt_ret_1,tlt_ret_6,tlt_vol_24,tlt_trend_24,btc_usd_ret_1,btc_usd_ret_6,btc_usd_vol_24,btc_usd_trend_24,risk_on_raw,energy_raw,rates_raw,datetime_utc,exog_ref_datetime_utc,exog_age_sec,exog_is_stale,is_equity_open,is_weekend,risk_on_z,energy_z,rates_z
1774044033,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:33Z,2026-03-20T21:00:00Z,3633.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044035,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:35Z,2026-03-20T21:00:00Z,3635.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044036,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:36Z,2026-03-20T21:00:00Z,3636.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044037,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:37Z,2026-03-20T21:00:00Z,3637.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044040,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:40Z,2026-03-20T21:00:00Z,3640.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044041,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:41Z,2026-03-20T21:00:00Z,3641.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044043,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:43Z,2026-03-20T21:00:00Z,3643.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044044,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:44Z,2026-03-20T21:00:00Z,3644.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044047,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:47Z,2026-03-20T21:00:00Z,3647.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
1774044048,0.002145697732382601,-0.0051523535754072515,0.003673329836247236,-0.0014533873247523459,0.0023564345968951628,-0.006635213020616504,0.003872521982153109,-0.001511304500331212,-0.004036360583749676,-0.002608640019998554,0.0048889252725785445,0.00041989969153288786,0.000815609648498139,-0.004242071221327362,0.003645059387883069,-0.0007859837649964637,0.006796122698290219,0.01015887337262217,0.003824822408471582,2.3292599547438304e-05,-0.004415218063981681,0.001146593353909061,-5.9290102620290774e-05,2026-03-20T22:00:48Z,2026-03-20T21:00:00Z,3648.0,0,0,0,-0.9473709731128336,0.7252614396979266,0.10866094109411134
