domain,total_contribution,contribution_share_of_total_return
felix,0.08440662959016029,0.7950449680927795
colombia-election,0.03326203922430675,0.3133026048095225
economic-policy,-0.026400555277568686,-0.2486727491691378
claude-5,-0.01897874926989366,-0.1787650944124709
colorado-midterm,0.017172336635555615,0.16175008881157074
fifa-world-cup,0.015645874683064054,0.14737200144798085
celebrities,-0.01096731302417024,-0.10330358024841013
airdrops,0.010395379222716454,0.09791640754484544
2026-fifa-world-cup,-0.00997934713959694,-0.09399770807946736
california-midterm,-0.009962359070777894,-0.09383769365053238
climate-science,0.008772843654109156,0.08263338125133769
comex-gold-futures,0.007756796409072731,0.07306300445234618
best-of-2025,-0.0072749863566938106,-0.06852472754708003
acquisitions,-0.007114279449692793,-0.06701099315951708
extended,0.006339264793152973,0.05971095635112913
abraham-accords,0.006140774678758919,0.0578413334621286
business,-0.0050684967668554685,-0.047741307404989934
epstein,-0.004587777107578085,-0.0432133011568135
brazil,0.004577972403362354,0.043120948449588914
elon-musk,0.0034423637941631987,0.03242439635586712
fdv,0.0025833411666036287,0.02433306963384042
foreign-policy,0.00235187941288046,0.0221528794817509
base,0.0022252133344966645,0.020959783290894086
congress,-0.0019357121245516834,-0.018232906488193742
big-tech,0.001662695695730772,0.0156613035347922
bitcoin,0.001349735475169816,0.012713461051585166
democratic-primary,0.0009885600807295013,0.009311469035756926
bernie-sanders,-0.0007925119192245186,-0.0074648474485048836
champions-league,-0.0007748630864034202,-0.007298609135291146
comex-silver-futures,0.0006816246817299192,0.006420375697602659
2025-predictions,0.0003430194785037366,0.0032309773730616652
anthropic,-0.0003217873982611064,-0.0030309876490197387
bundesliga,0.000229210524311943,0.0021589853175391065
commodities,-5.279253036645542e-05,-0.0004972646796174003
connecticut-primary,4.983157563192306e-05,0.0004693747831262025
basketball,0.0,0.0
crypto-prices,0.0,0.0
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
