step,103367863677987537227281870345670478293273189433945337168589532296599991222509,103950812176015306889097643332505690876545410954871160290129574415932884036868,104812555872482040859204311862207595317318459151981099582262357665296846969541,108548893345759572446077602443398325305734327289834850738242401844282632332811,112756092474812837006608949040243623978128713942944679964506537771973932337876,11843131838379676792721059608342146205696413823676149302931627463939711085828,2317130722330994677503722994963086323403276367952762140016618274858179343506,24315108267836543154857233535536136482524552716493402526894829400485516895736,49662274238485451283220527378586398370959042852997899886824914466317758572224,50252300898375978140712321807178556639478099096013757990329224333771594910605,5906729942132388187374842778427213872782907171873674796265663843960406830445,59261866601270864198456845856841875150453626184437295894384368539724334278520,65396033350506725313266693161572493847482432654933099338943748693899562511370,7345183309756257693783741573478340128830660331823026035095352170224920670792,76953082602184447446392227868698611312931515419726728725776351799308439033216,77648433824716730185008177852682080573261442860361580435966309914289533557558,82402823484466457361170410951601106261368113664328436062375970009969959380598,92206458231325096769152348269441704588222763710040504959674288895806154976594,96156230578747105661476819749931380321917772151891667564189808442987244872145,98810428566585620214182469727337381592083535564740818468562839338072997379864
0,0.0766371563076973,0.07571575790643692,0.03871677815914154,0.0170185137540102,0.02057524025440216,0.0770634338259697,0.07758872956037521,0.07774900645017624,0.07706931233406067,0.00873499270528555,0.005427730735391378,0.03605283424258232,0.006255015730857849,0.011926550418138504,0.07675008475780487,0.07245749235153198,0.07784544676542282,0.01400429755449295,0.07587694376707077,0.07653466612100601
1,0.07684928178787231,0.07609470188617706,0.0388287752866745,0.017935872077941895,0.018702151253819466,0.07740456610918045,0.07813632488250732,0.07786248624324799,0.07787705957889557,0.007178690750151873,0.004105567932128906,0.035490937530994415,0.006136864423751831,0.011880878359079361,0.07682666927576065,0.07299120724201202,0.07769089937210083,0.014851181767880917,0.07601817697286606,0.07713771611452103
2,0.0777178704738617,0.07607106864452362,0.03961510211229324,0.01798701286315918,0.017829976975917816,0.07725383341312408,0.07888099551200867,0.07859152555465698,0.077828049659729,0.007494368590414524,0.0008520118426531553,0.03425347059965134,0.004900797735899687,0.012510407716035843,0.077262282371521,0.0725448876619339,0.07815612107515335,0.016012560576200485,0.0768093541264534,0.07742832601070404
3,0.07714738696813583,0.07620429247617722,0.03934038430452347,0.01884332299232483,0.018551362678408623,0.07706139981746674,0.07765363156795502,0.07755140960216522,0.07792283594608307,0.0076179830357432365,0.0014533420326188207,0.034286897629499435,0.00206328509375453,0.014108947478234768,0.07816770672798157,0.07453940808773041,0.07763464003801346,0.014770028181374073,0.07647909224033356,0.07860267907381058
4,0.0770585834980011,0.0763930007815361,0.040236301720142365,0.018271073698997498,0.020054228603839874,0.07674241811037064,0.0772939994931221,0.07679980248212814,0.07726667076349258,0.005591833032667637,0.0012361950939521194,0.03492424637079239,0.0012816285016015172,0.015850340947508812,0.07833746075630188,0.07560577988624573,0.07803995162248611,0.013954821974039078,0.0766841471195221,0.07837755233049393
5,0.07675879448652267,0.07674417644739151,0.041447483003139496,0.017884142696857452,0.019826747477054596,0.07733464986085892,0.07664027810096741,0.07595629245042801,0.07728272676467896,0.0041199191473424435,0.0016778133576735854,0.034480489790439606,0.0033256099559366703,0.01610076054930687,0.077852264046669,0.07710191607475281,0.07785376906394958,0.012979197315871716,0.0763680636882782,0.07826486974954605
6,0.07782290130853653,0.07686492055654526,0.040962159633636475,0.016893506050109863,0.019148975610733032,0.07783738523721695,0.07735142111778259,0.07708238065242767,0.07753297686576843,0.0002923428837675601,0.003666534321382642,0.03392414748668671,0.0023360871709883213,0.015114400535821915,0.07686889171600342,0.07781125605106354,0.0789259821176529,0.014045538380742073,0.07735511660575867,0.07816310226917267
7,0.07774218171834946,0.07720251381397247,0.04104910418391228,0.016601193696260452,0.019844816997647285,0.07850569486618042,0.07752992957830429,0.07737569510936737,0.0783231183886528,0.0007952128653414547,0.0037621527444571257,0.032578106969594955,0.0038998012896627188,0.013547682203352451,0.07600217312574387,0.07819347083568573,0.07816522568464279,0.014058802276849747,0.07681786268949509,0.07800529152154922
8,0.0779355987906456,0.07668694108724594,0.04159190133213997,0.016377229243516922,0.01910022832453251,0.07803678512573242,0.07826448976993561,0.07825004309415817,0.07795538753271103,0.0,0.006222243886440992,0.03308621048927307,0.00441199354827404,0.014259180054068565,0.07450469583272934,0.07711416482925415,0.07770945876836777,0.014914531260728836,0.07629261165857315,0.07728634774684906
9,0.07719335705041885,0.07703211158514023,0.042521245777606964,0.01579638384282589,0.017815543338656425,0.07788318395614624,0.0779692530632019,0.07786722481250763,0.07781562954187393,0.0,0.007092876825481653,0.03424038365483284,0.006143992301076651,0.014482447877526283,0.07353103160858154,0.07655517756938934,0.0769427940249443,0.01560028176754713,0.0760609358549118,0.07745619118213654
10,0.07661732286214828,0.07657873630523682,0.04285130649805069,0.017409292981028557,0.016513820737600327,0.07684285938739777,0.07764305174350739,0.0771750956773758,0.07680615782737732,0.0,0.006489787716418505,0.03563189506530762,0.007805654313415289,0.015188806690275669,0.07363314926624298,0.07603970170021057,0.07631821185350418,0.01725689135491848,0.0762128010392189,0.07698538154363632
11,0.07568039745092392,0.07655298709869385,0.043701570481061935,0.017755750566720963,0.017817899584770203,0.07644610106945038,0.07680682092905045,0.07646529376506805,0.07633662223815918,0.0,0.008426093496382236,0.037442825734615326,0.00770637858659029,0.013952089473605156,0.07399187982082367,0.07585357874631882,0.07570815086364746,0.016603095456957817,0.07595254480838776,0.07679993659257889
12,0.07626963406801224,0.07649143040180206,0.04272475838661194,0.017633948475122452,0.017928387969732285,0.07629840075969696,0.07736415416002274,0.07728307694196701,0.07612904906272888,0.0,0.008853752166032791,0.03688428923487663,0.007862165570259094,0.014328834600746632,0.07407110929489136,0.07522393763065338,0.07605750113725662,0.015978995710611343,0.07609356939792633,0.0765230804681778
13,0.07629168033599854,0.07630237936973572,0.04162873327732086,0.018148185685276985,0.019023530185222626,0.07679799199104309,0.07676518708467484,0.07714937627315521,0.0763184204697609,0.0,0.010431203991174698,0.036701787263154984,0.009130503050982952,0.014128933660686016,0.07395432144403458,0.07469632476568222,0.07556038349866867,0.013903314247727394,0.07620779424905777,0.07685995101928711
14,0.076503224670887,0.07549406588077545,0.04266507551074028,0.016973119229078293,0.01884547248482704,0.07653927803039551,0.07620012015104294,0.07739274203777313,0.07580353319644928,0.0,0.010798076167702675,0.037951938807964325,0.010570717975497246,0.014856538735330105,0.07407305389642715,0.07300445437431335,0.07589156180620193,0.012261046096682549,0.07770676910877228,0.07646922767162323
15,0.07730373740196228,0.07598383724689484,0.04192645102739334,0.01293498557060957,0.0183563195168972,0.07790796458721161,0.07644052058458328,0.07743269205093384,0.07691314071416855,0.0,0.011774798855185509,0.03741788491606712,0.01017920020967722,0.014880348928272724,0.07323867082595825,0.0731741264462471,0.07672421634197235,0.011359047144651413,0.07874508202075958,0.07730703055858612
16,0.07845607399940491,0.07629895210266113,0.041144441813230515,0.013667386956512928,0.016287457197904587,0.07789739221334457,0.07699041813611984,0.07772204279899597,0.07705515623092651,0.0,0.010407071560621262,0.03720160201191902,0.011010462418198586,0.016208184882998466,0.07244830578565598,0.07266277819871902,0.07757487893104553,0.010809694416821003,0.07915515452623367,0.07700255513191223
