domain,total_contribution,contribution_share_of_total_return
felix,0.07641018557830977,0.8584202634141529
claude-5,-0.03963190395722201,-0.4452394556704267
colombia-election,0.03335901473959287,0.3747674999512986
best-of-2025,0.027700928835716704,0.31120247186944
economic-policy,-0.026501511577293226,-0.297727775124146
colorado-midterm,0.017269659137193114,0.19401373303077213
fifa-world-cup,0.013549813148093667,0.15222360845961463
celebrities,-0.010917671263981802,-0.12265315378263865
airdrops,0.010721575573369021,0.12045014232394136
2026-fifa-world-cup,-0.010007744282484056,-0.1124306977941707
california-midterm,-0.010004279017448426,-0.11239176772611535
crypto-prices,-0.007624031953224189,-0.08565119254758649
climate-science,0.006823545972298941,0.07665823720525257
abraham-accords,0.006188737280460733,0.06952656175726052
acquisitions,-0.005930975469109277,-0.06663077030846659
extended,0.005152886392919982,0.05788943007107694
epstein,-0.004693186048345758,-0.05272498651038757
business,-0.0038729906656020364,-0.04351060846409475
comex-gold-futures,0.00369955007197873,0.04156211273753694
elon-musk,0.003422104797449019,0.0384451899890544
foreign-policy,-0.0027875910438051356,-0.031316827985736595
fdv,0.0023572886154222972,0.02648265148001953
base,0.002017981077667789,0.022670745204263626
congress,-0.0019665905741624167,-0.022093405295687478
big-tech,0.0013751000203568531,0.01544838181927693
brazil,0.0013541140069209554,0.015212617188615307
democratic-primary,0.001117455987942775,0.012553913542592634
bitcoin,0.0009347579434734012,0.010501416191988508
champions-league,-0.0008878172536206829,-0.00997406713448732
comex-silver-futures,0.0006194421593617489,0.006959042143199394
anthropic,-0.00029953422299946813,-0.0033650781589221316
connecticut-primary,-0.0002900771816452402,-0.0032588342613452184
2025-predictions,0.00020816197906359485,0.002338568602446983
bundesliga,0.00017403301348061024,0.001955151190173159
bernie-sanders,-2.6176929742140035e-05,-0.0002940813028335363
commodities,-1.694452440741557e-06,-1.9036104931762124e-05
basketball,0.0,0.0
delaware-midterm,0.0,0.0
awards,0.0,0.0
2026-nfl-draft,0.0,0.0
