trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
0,0.010849488496667576,0.0007708003491248144,48,256,0.0,0.09753066374713537,0.1,8,8.61708669491829,0.06851103059586158,5.042887488168768e-05,0.1367298356956326,-0.0067860629098999425
1,0.046145211983093105,0.0006775479706178306,48,512,0.0,0.059940210354398935,0.1,8,5.921991674784812,0.06316331758939832,2.3508331532545204e-05,0.38812235740283213,-0.019382609538609062
2,0.022659748845996155,0.0006853867613893924,48,256,0.0,0.09395381429618738,0.1,16,30.860035165847453,0.08621229597303534,3.848496195818388e-05,0.21452135065986735,-0.010687582571035185
3,0.013813497395793491,0.000679234190693855,24,512,0.0,0.05246466237463132,0.1,16,10.322540713926216,0.0721084342465223,3.9663803755224076e-05,0.1660987550411086,-0.008265273948300206
4,0.025403020472792106,0.0008352527197526529,96,256,0.0,0.09909390285611153,0.1,8,18.77069706653623,0.07634339787065983,3.7025206698248475e-05,0.2456757195566124,-0.012246760771132372
5,0.018655975803254874,0.0006225320617041832,96,512,0.0,0.07050427999347449,0.1,16,2.9056960393895332,0.08561121337115765,5.736415119416731e-05,0.17954756395829538,-0.008920014046720602
6,0.012438628432275589,0.0009223315063680383,24,256,0.0,0.07557290107943118,0.1,8,44.26934511813899,0.09670348875224591,5.053084887859431e-05,0.14575203131966105,-0.007237070717104459
7,0.03835116737211828,0.0005211835050557247,48,512,0.0,0.05337670822627843,0.1,8,6.1971097862328,0.06524815179407596,3.2187595305449794e-05,0.34358075669559945,-0.017146850239474522
9,0.011626837234197749,0.0005710636421735137,96,256,0.0,0.09239245094358922,0.1,8,28.812799375950352,0.09153545372188092,4.4133212628128584e-05,0.14129581859388252,-0.007020657717065997
8,0.04102080924751584,0.0009080889672561506,96,256,0.0,0.06458406690508128,0.1,16,9.454361129475545,0.060412453189492225,3.843209790067729e-05,0.3597763789921099,-0.017950386851704817
10,0.017224089450461454,0.0007143585841183055,96,512,0.0,0.0599800739903003,0.1,8,4.460931246708251,0.0801344119757414,4.311123481301641e-05,0.1787741881559743,-0.008895598172985698
