category,baseline_exposure,constrained_exposure,delta_exposure
2026-nfl-draft,0.025,0.04456533119082451,0.019565331190824507
champions-league,0.025,0.04456533119082451,0.019565331190824507
base,0.025,0.03795178607106209,0.012951786071062087
france,0.025,0.03789212927222252,0.012892129272222518
bundesliga,0.025,0.03661268576979637,0.01161268576979637
colorado-midterm,0.025,0.033849358558654785,0.008849358558654784
colombia-election,0.025,0.031379058957099915,0.006379058957099913
abraham-accords,0.025,0.03111240826547146,0.006112408265471457
connecticut-primary,0.025,0.030283749103546143,0.005283749103546141
acquisitions,0.025,0.02993694134056568,0.00493694134056568
delaware-midterm,0.025,0.029734859243035316,0.004734859243035315
anthropic,0.025,0.029145153239369392,0.004145153239369391
elon-musk,0.025,0.026248103007674217,0.0012481030076742158
celebrities,0.025,0.026046058163046837,0.0010460581630468355
formula1,0.025,0.02582298405468464,0.0008229840546846376
commodities,0.025,0.0245839711278677,-0.0004160288721323027
california-midterm,0.025,0.02372627891600132,-0.0012737210839986815
bitcoin,0.025,0.023589476943016052,-0.0014105230569839491
climate-science,0.025,0.02349129319190979,-0.0015087068080902113
democratic-primary,0.025,0.023405490443110466,-0.0015945095568895354
fdv,0.025,0.023318758234381676,-0.0016812417656183257
crypto-prices,0.025,0.023162946105003357,-0.0018370538949966445
extended,0.025,0.02305544912815094,-0.0019445508718490614
fifa-world-cup,0.025,0.02183322049677372,-0.0031667795032262816
airdrops,0.025,0.021679168567061424,-0.003320831432938577
comex-silver-futures,0.025,0.02164592407643795,-0.0033540759235620513
big-tech,0.025,0.02145276963710785,-0.0035472303628921523
brazil,0.025,0.02023915760219097,-0.00476084239780903
congress,0.025,0.019772613421082497,-0.005227386578917505
awards,0.025,0.01917899213731289,-0.005821007862687112
basketball,0.025,0.018866779282689095,-0.006133220717310907
business,0.025,0.018651971593499184,-0.006348028406500818
epstein,0.025,0.01857353001832962,-0.006426469981670381
comex-gold-futures,0.025,0.01822892762720585,-0.006771072372794153
foreign-policy,0.025,0.01819448731839657,-0.006805512681603433
2026-fifa-world-cup,0.025,0.017801577225327492,-0.00719842277467251
bernie-sanders,0.025,0.017693715170025826,-0.007306284829974176
best-of-2025,0.025,0.015556606464087963,-0.009443393535912038
economic-policy,0.025,0.014517627656459808,-0.010482372343540193
2025-predictions,0.025,0.012634442187845707,-0.012365557812154294
