token_a,token_b,corr,abs_corr
110251828161543119357013227499774714771527179764174739487025581227481937033858,46188547148926039629401836600536046235686521298444227481497804189293437954585,0.13846166546995345,0.13846166546995345
42645635688384173938505005153732536262139883933750646945028210271328873690888,79895259217313803731994821165811563835560123915015381398339503448680100356036,0.11935429497667314,0.11935429497667314
113032982619525852115420277512821190062380704297670231304441009678288132478177,110251828161543119357013227499774714771527179764174739487025581227481937033858,-0.09537297121188465,0.09537297121188465
108251591904413063139495882252154135107497878738832930637657538583440424739851,42645635688384173938505005153732536262139883933750646945028210271328873690888,0.04234934687619489,0.04234934687619489
14018274637090307878372326472471535510234764986484318979992031495866993899114,13278443981418985302116823794751942747516190107446009911143426402863687470127,0.02788681300094206,0.02788681300094206
12866525955904230927303623031235371756746217055499223046842196929511010589101,63907313656443890447578607530571289622813903996374626191028175281541399992719,-0.026869259468768964,0.026869259468768964
54073086346734626735797775941991553522163760164405051969883391401961188364109,63907313656443890447578607530571289622813903996374626191028175281541399992719,0.01698955321110181,0.01698955321110181
14018274637090307878372326472471535510234764986484318979992031495866993899114,82712470265251700739331694672360544122893066934757473974734613171971970115364,0.016134243308611754,0.016134243308611754
82742036522262670996662794097029680950132682539859985097974842241612036171395,79895259217313803731994821165811563835560123915015381398339503448680100356036,0.00774826216854029,0.00774826216854029
82742036522262670996662794097029680950132682539859985097974842241612036171395,42645635688384173938505005153732536262139883933750646945028210271328873690888,-0.002928119456656499,0.002928119456656499
46188547148926039629401836600536046235686521298444227481497804189293437954585,12866525955904230927303623031235371756746217055499223046842196929511010589101,0.0014132843103745888,0.0014132843103745888
82742036522262670996662794097029680950132682539859985097974842241612036171395,108251591904413063139495882252154135107497878738832930637657538583440424739851,-0.0012544504262428805,0.0012544504262428805
108251591904413063139495882252154135107497878738832930637657538583440424739851,12866525955904230927303623031235371756746217055499223046842196929511010589101,-0.001214982712169274,0.001214982712169274
108251591904413063139495882252154135107497878738832930637657538583440424739851,46188547148926039629401836600536046235686521298444227481497804189293437954585,0.0011845442306325298,0.0011845442306325298
12866525955904230927303623031235371756746217055499223046842196929511010589101,42645635688384173938505005153732536262139883933750646945028210271328873690888,0.0009781947766986927,0.0009781947766986927
46188547148926039629401836600536046235686521298444227481497804189293437954585,42645635688384173938505005153732536262139883933750646945028210271328873690888,-0.0009536884496935853,0.0009536884496935853
13278443981418985302116823794751942747516190107446009911143426402863687470127,12866525955904230927303623031235371756746217055499223046842196929511010589101,-0.0008107023760278169,0.0008107023760278169
13278443981418985302116823794751942747516190107446009911143426402863687470127,46188547148926039629401836600536046235686521298444227481497804189293437954585,0.0007903921699176218,0.0007903921699176218
12866525955904230927303623031235371756746217055499223046842196929511010589101,32431890167345181985795456212069136470689842825539004695200064630822423107335,-0.0007619147963032142,0.0007619147963032142
51987385801358926855910883595326267087055772360563428896396745951977155263507,12866525955904230927303623031235371756746217055499223046842196929511010589101,0.0007482696869290515,0.0007482696869290515
75712298340810272859765060308006832993211601931382911468417184675550881103879,12866525955904230927303623031235371756746217055499223046842196929511010589101,0.0007482696869290413,0.0007482696869290413
39133371819296059003541521092128254346605102576351704426326802558136998572706,12866525955904230927303623031235371756746217055499223046842196929511010589101,-0.0007482696869290335,0.0007482696869290335
46188547148926039629401836600536046235686521298444227481497804189293437954585,32431890167345181985795456212069136470689842825539004695200064630822423107335,0.0007428268461392845,0.0007428268461392845
39133371819296059003541521092128254346605102576351704426326802558136998572706,46188547148926039629401836600536046235686521298444227481497804189293437954585,0.0007295235822956398,0.0007295235822956398
75712298340810272859765060308006832993211601931382911468417184675550881103879,46188547148926039629401836600536046235686521298444227481497804189293437954585,-0.0007295235822956374,0.0007295235822956374
51987385801358926855910883595326267087055772360563428896396745951977155263507,46188547148926039629401836600536046235686521298444227481497804189293437954585,-0.0007295235822956237,0.0007295235822956237
14018274637090307878372326472471535510234764986484318979992031495866993899114,12866525955904230927303623031235371756746217055499223046842196929511010589101,-0.0006961543418959861,0.0006961543418959861
13278443981418985302116823794751942747516190107446009911143426402863687470127,108251591904413063139495882252154135107497878738832930637657538583440424739851,-0.0006794901883750157,0.0006794901883750157
14018274637090307878372326472471535510234764986484318979992031495866993899114,46188547148926039629401836600536046235686521298444227481497804189293437954585,0.0006787138623975526,0.0006787138623975526
113032982619525852115420277512821190062380704297670231304441009678288132478177,12866525955904230927303623031235371756746217055499223046842196929511010589101,0.0006623542441887801,0.0006623542441887801
113032982619525852115420277512821190062380704297670231304441009678288132478177,46188547148926039629401836600536046235686521298444227481497804189293437954585,-0.000645760545175182,0.000645760545175182
108251591904413063139495882252154135107497878738832930637657538583440424739851,32431890167345181985795456212069136470689842825539004695200064630822423107335,-0.0006385988789157481,0.0006385988789157481
39133371819296059003541521092128254346605102576351704426326802558136998572706,108251591904413063139495882252154135107497878738832930637657538583440424739851,-0.0006271622306300653,0.0006271622306300653
75712298340810272859765060308006832993211601931382911468417184675550881103879,108251591904413063139495882252154135107497878738832930637657538583440424739851,0.0006271622306300459,0.0006271622306300459
51987385801358926855910883595326267087055772360563428896396745951977155263507,108251591904413063139495882252154135107497878738832930637657538583440424739851,0.000627162230630044,0.000627162230630044
14018274637090307878372326472471535510234764986484318979992031495866993899114,108251591904413063139495882252154135107497878738832930637657538583440424739851,-0.0005834817547108209,0.0005834817547108209
113032982619525852115420277512821190062380704297670231304441009678288132478177,108251591904413063139495882252154135107497878738832930637657538583440424739851,0.0005551522031550341,0.0005551522031550341
82712470265251700739331694672360544122893066934757473974734613171971970115364,12866525955904230927303623031235371756746217055499223046842196929511010589101,-0.0005504951178605912,0.0005504951178605912
13278443981418985302116823794751942747516190107446009911143426402863687470127,42645635688384173938505005153732536262139883933750646945028210271328873690888,0.0005470643708992875,0.0005470643708992875
82712470265251700739331694672360544122893066934757473974734613171971970115364,46188547148926039629401836600536046235686521298444227481497804189293437954585,0.0005367037813146189,0.0005367037813146189
